"id","cau_hoi","A","B","C","D","dap_an","giai_thich"
"1","They take their _____ children to the park every day.","lovely small young African","African small young lovely","small young lovely African","young lovely African small","A","Trật tự tính từ OSASCOMP: O-quan điểm (lovely), S-kích thước (small), A-tuổi tác (young), O-nguồn gốc (African)."
"2","At first sight I met her. I was impressed with her _____","big beautiful round black eyes","beautiful black big round eyes","beautiful big round black eyes","beautiful round big black eyes","C","Trật tự tính từ OSASCOMP: O-quan điểm (beautiful), S-kích thước (big), S-hình dáng (round), C-màu sắc (black)."
"3","This is a picture of a _____ bus.","red bright London","bright red London","London bright red","London red bright","B","Trật tự tính từ OSASCOMP: O-quan điểm (bright), C-màu sắc (red), O-nguồn gốc (London)."
"4","Lara goes to a _____ temple every week.","great big ancient Buddhist","Buddhist great big ancient","ancient great big Buddhist","big great ancient Buddhist","A","Trật tự tính từ OSASCOMP: O-quan điểm (great), S-kích thước (big), A-tuổi tác (ancient), O-nguồn gốc (Buddhist)."
"5","There are some _____ pictures in this newspaper.","white interesting computer-generated new","computer-generated white interesting new","interesting new white computer-generated","new interesting computer-generated white","C","Trật tự tính từ OSASCOMP: O-quan điểm (interesting), A-tuổi tác (new), C-màu sắc (white), O-nguồn gốc (computer-generated)."
"6","She is doing extremely well in her _____ graduate course.","intensive one-year English","one-year English intensive","intensive English one-year","English intensive one-year","A","Trật tự tính từ OSASCOMP: O-quan điểm (intensive), A-tuổi tác (one-year), O-nguồn gốc (English)."
"7","During the winter I like having a _____ house.","pretty small red wooden","wooden pretty small red","small pretty red wooden","red wooden pretty small","A","Trật tự tính từ OSASCOMP: O-quan điểm (pretty), S-kích thước (small), C-màu sắc (red), M-chất liệu (wooden)."
"8","I would like to have _____ sports shoes to run in the park.","grey medium leather comfortable","comfortable medium grey leather","comfortable leather grey medium","medium leather comfortable grey","B","Trật tự tính từ OSASCOMP: O-quan điểm (comfortable), S-kích thước (medium), C-màu sắc (grey), M-chất liệu (leather)."
"9","They say he's a _____ student for his age.","tall mature brilliant","mature brilliant tall","brilliant tall mature","tall brilliant mature","C","Trật tự tính từ OSASCOMP: O-quan điểm (brilliant), S-kích thước (tall), A-tuổi tác (mature)."
"10","The speaker is a _____ professor.","old short Spanish kind","kind short old Spanish","Spanish kind old short","kind Spanish short old","B","Trật tự tính từ OSASCOMP: O-quan điểm (kind), S-kích thước (short), A-tuổi tác (old), O-nguồn gốc (Spanish)."
"11","My sister lives in a _____ apartment.","nice wooden new","new nice wooden","nice new wooden","wooden nice new","C","Trật tự tính từ OSASCOMP: O-quan điểm (nice), A-tuổi tác (new), M-chất liệu (wooden)."
"12","My cousin bought a _____ bowl.","blue ancient lovely small","lovely blue small ancient","small blue ancient lovely","lovely small ancient blue","D","Trật tự tính từ OSASCOMP: O-quan điểm (lovely), S-kích thước (small), A-tuổi tác (ancient), C-màu sắc (blue)."
"13","They cook a _____ meal for their children.","delicious big traditional Vietnamese","Vietnamese delicious big traditional","traditional delicious big Vietnamese","big delicious traditional Vietnamese","A","Trật tự tính từ OSASCOMP: O-quan điểm (delicious), S-kích thước (big), A-tuổi tác (traditional), O-nguồn gốc (Vietnamese)."
"14","They are trying to build a _____ house.","four-bedroom elegant modern Italian","modern elegant four-bedroom Italian","Italian elegant four-bedroom modern","elegant four-bedroom modern Italian","D","Trật tự tính từ OSASCOMP: O-quan điểm (elegant), S-kích thước (four-bedroom), A-tuổi tác (modern), O-nguồn gốc (Italian)."
"15","His brother presented her a _____ clock.","oval nice Japanese digital","nice oval digital Japanese","digital oval Japanese nice","digital Japanese oval nice","B","Trật tự tính từ OSASCOMP: O-quan điểm (nice), S-hình dáng (oval), M-chất liệu (digital), O-nguồn gốc (Japanese)."
"16","The old man owns a _____ coffee table.","French beautiful round old","beautiful French old round","old round beautiful French","beautiful old round French","D","Trật tự tính từ OSASCOMP: O-quan điểm (beautiful), S-hình dáng (round), A-tuổi tác (old), O-nguồn gốc (French)."
"17","My father has a _____ box.","old small black Turkish","small old Turkish black","small old black Turkish","small Turkish old black","C","Trật tự tính từ OSASCOMP: S-kích thước (small), A-tuổi tác (old), C-màu sắc (black), O-nguồn gốc (Turkish)."
"18","Jack's father bought him a(n) _____ bike as a birthday gift.","blue Japanese expensive","expensive Japanese blue","Japanese expensive blue","expensive blue Japanese","D","Trật tự tính từ OSASCOMP: O-quan điểm (expensive), C-màu sắc (blue), O-nguồn gốc (Japanese)."
"19","She is good at creating _____ paintings.","interesting Vietnamese new square","square Vietnamese new interesting","Vietnamese interesting square new","interesting new square Vietnamese","D","Trật tự tính từ OSASCOMP: O-quan điểm (interesting), S-hình dáng (square), A-tuổi tác (new), O-nguồn gốc (Vietnamese)."
"20","My mother would like to buy a _____ bag.","big plastic blue Russian","big Russian blue plastic","big blue Russian plastic","Russian plastic big blue","C","Trật tự tính từ OSASCOMP: S-kích thước (big), C-màu sắc (blue), O-nguồn gốc (Russian), M-chất liệu (plastic)."
