id,tu_vung,tu_loai,phien_am,nghia
1,Accumulate,v,/ə'kju:mjəleɪt/,"tích tụ"
2,Accumulation,n,/əˌkju:mjə'leɪʃən/,"sự tích tụ"
3,Acupuncture,n,/'ækjəpʌŋktʃər/,"phương pháp châm cứu"
4,Affection,n,/ə'fekʃən/,"sự ảnh hưởng"
5,Antibiotics,n,/ˌæntibaɪ'ɒtɪks/,"chất kháng sinh"
6,Appetite,n,/'æpətaɪt/,"sự thèm ăn"
7,Blocky,a,/'blɑ:ki/,"lùn và mập"
8,Breakthrough,n,/'breɪkθru:/,"bước đột phá"
9,Buxom,a,/'bʌksəm/,"đẫy đà"
10,Cardiovascular,a,/ˌkɑ:diəʊ'væskjələr/,"thuộc tim mạch"
11,Chronic,a,/'krɒnɪk/,"kéo dài kinh niên"
12,Chubby,a,/'tʃʌbi/,"mũm mĩm, mập mạp"
13,Chunky,a,/'tʃʌŋki/,"lùn và mập"
14,Commissioner,n,/kə'mɪʃənər/,"ủy viên hội đồng"
15,Diabetes,n,/ˌdaɪə'bi:ti:z/,"bệnh tiểu đường"
16,Dietary,a,/'daɪətəri/,"thuộc chế độ ăn kiêng"
17,Diet,n,/'daɪət/,"chế độ ăn kiêng"
18,Dietician,n,/ˌdaɪə'tɪʃən/,"chuyên gia về chế độ ăn kiêng"
19,Equality,n,/i'kwɒləti/,"sự công bằng"
20,Quality,n,/'kwɒləti/,"chất lượng"
21,Quantity,n,/'kwɒntəti/,"số lượng"
22,Expel,v,/ɪk'spel/,"trục xuất"
23,Hypertension,n,/ˌhaɪpə'tenʃən/,"chứng tăng huyết áp"
24,Immunity,n,/ɪ'mju:nəti/,"sự miễn dịch"
25,Indent,v,/ɪn'dent/,"làm lõm xuống"
26,Induce,v,/ɪn'dju:s/,"xui khiến"
27,Intake,v,/'ɪnteɪk/,"lấy vào, nạp vào"
28,Inhale,v,/ɪn'heɪl/,"hít vào"
29,Infection,n,/ɪn'fekʃən/,"sự lây nhiễm"
30,Intestine,n,/ɪn'testɪn/,"ruột"
31,Irritable,a,/'ɪrɪtəbəl/,"dễ cáu, dễ kích động"
32,Irritate,v,/'ɪrɪteɪt/,"chọc tức, kích động"
33,Jeopardy,n,/'dʒepədi/,"nguy cơ, cảnh nguy hiểm"
34,Longevity,n,/lɒn'dʒevəti/,"tuổi thọ"
35,Meditation,n,/ˌmedɪ'teɪʃən/,"sự trầm tư, sự thiền"
36,Motivation,n,/ˌməʊtɪ'veɪʃən/,"động lực, động cơ"
37,Motivate,v,/'məʊtɪveɪt/,"thúc đẩy, khuyến khích"
38,Nutritious,a,/nju:'trɪʃəs/,"bổ dưỡng, có dinh dưỡng"
39,Nutrition,n,/nju:'trɪʃən/,"sự nuôi dưỡng"
40,Nutrient,n,/'nju:triənt/,"chất dinh dưỡng"
41,Nutritionist,n,/nju:'trɪʃənɪst/,"chuyên gia dinh dưỡng"
42,Malnutrition,n,/ˌmælnju:'trɪʃən/,"sự suy dinh dưỡng"
43,Obesity,n,/əʊ'bi:səti/,"bệnh béo phì"
44,Obese,a,/əʊ'bi:s/,"béo phì"
45,Organically,adv,/ɔ:'gænɪkli/,"hữu cơ"
46,Precaution,n,/prɪ'kɔ:ʃən/,"sự đề phòng"
47,Prescription,n,/prɪ'skrɪpʃən/,"đơn thuốc"
48,Prolong,v,/prə'lɒŋ/,"kéo dài"
49,Reflection,n,/rɪ'flekʃən/,"sự phản chiếu"
50,Rejuvenate,v,/rɪ'dʒu:vəneɪt/,"làm trẻ lại"
51,Sanctuary,n,/'sæŋktʃuəri/,"nơi trú ẩn, khu bảo tồn"
52,Skeletal,a,/'skelətəl/,"thuộc xương"
53,Stretch,v,/stretʃ/,"duỗi ra, kéo thẳng ra"
54,Stubby,a,/'stʌbi/,"ngắn và dày"
55,Superficial,a,/ˌsu:pə'fɪʃəl/,"hời hợt, nông cạn"
56,Symptom,n,/'sɪmptəm/,"triệu chứng"
57,Temptation,n,/temp'teɪʃən/,"sự cám dỗ, sự lôi cuốn"
58,Turmeric,n,/'tɜ:mərɪk/,"bột nghệ"
59,Vulnerability,n,/ˌvʌlnərə'bɪləti/,"sự dễ bị tổn thương"
60,Well-being,n,/ˌwel'bi:ɪŋ/,"trạng thái hạnh phúc và khỏe mạnh"
