id,tu_vung,tu_loai,phien_am,nghia
1,Antagonistically,adv,/ænˌtæɡəˈnɪstɪkli/,"một cách đối địch"
2,Intensively,adv,/ɪnˈtensɪvli/,"một cách mạnh mẽ"
3,Adversely,adv,/ˈædvɜːsli/,"một cách bất lợi, tiêu cực"
4,Avant-garde,n,/ði ˌævɑ:ˈɡɑːd/,"người đi tiên phong"
5,Cutting-edge,a,/ˌkʌtɪŋ ˈedʒ/,"hiện đại"
6,Out-of-date,a,/ˌaʊt əv ˈdeɪt/,"lỗi thời"
7,Old-fashioned,a,/ˌəʊld ˈfæʃnd/,"lỗi mốt"
8,Brainstorming,n,/ˈbreɪnstɔːmɪŋ/,"phương pháp vận dụng trí tuệ tập thể để giải quyết một vấn đề phức tạp"
9,Compendium,n,/kəmˈpendiəm/,"bản tóm tắt, bản trích yếu"
10,Complexion,n,/kəmˈplekʃn/,"nước da, da dẻ"
11,Complexity,n,/kəmˈpleksəti/,"sự phức tạp"
12,Complex,a,/ˈkɒmpleks/,"phức tạp"
13,Consolidate,v,/kənˈsɒlɪdeɪt/,"củng cố"
14,Contraption,n,/kan'traepjan /,"dụng cụ thay thế tạm thời"
15,Counter,v,/ˈkaʊntər/,"phản tác dụng"
16,Productive,a,/prəˈdʌktɪv/,"hiệu quả"
17,Disruptive,a,/dɪsˈrʌptɪv/,"đập vỡ, phá vỡ, gián đoạn"
18,Efficacy,n,/ˈefɪkəsi/,"tính hiệu lực"
19,Emulate,v,/ˈemjuleɪt/,"cạnh tranh"
20,Endorse,v,/ɪnˈdɔːs/,"chứng thực, xác nhận"
21,Homeschooling,n,/ˌhəʊmˈskuːlɪŋ/,"giáo dục tại nhà"
22,Impugn,v,/ɪmˈpjuːn/,"công kích"
23,Interest-arousing,a,/ˈɪntrəst əˈraʊzɪŋ/,"có nhân tố hứng thú"
24,Juvenile,a,/ˈdʒuːvənaɪl/,"vị thành niên"
25,Nuance,n,/ˈnjuːɑːns/,"sắc thái"
26,Overreliance,n,/ˈəʊvərɪˈlaɪəns/,"sự quá tin tưởng"
27,Overview,n,/ˈəʊvəvjuː/,"tổng quan"
28,Oversight,n,/ˈəʊvəsaɪt/,"sai sót"
29,Overtone,n,/ˈəʊvətəʊn/,"sự gợi ý thêm"
30,Overture,n,/ˈəʊvətʃʊər/,"đàm phán, thương lượng"
31,Ownership,n,/ˈəʊnəʃɪp/,"quyền sở hữu"
32,Prospectus,n,/prəˈspektəs/,"tờ rơi quảng cáo"
33,Rigorously,adv,/ˈrɪɡərəsli/,"một cách nghiêm khắc"
34,Arduously,adv,/ˈɑːdʒuəsli/,"một cách gian khổ"
35,Severely,adv,/sɪˈvɪəli/,"một cách khắt khe"
36,Onerously,adv,/ˈəʊnərəsli/,"một cách khó nhọc"
37,Semi-skilled,a,/ˌsemi ˈskɪld/,"tay nghề vừa phải"
38,Storyboarding,n,/ˈstɔːribɔːdɪŋ/,"bảng phân cảnh"
39,Synthesize,v,/ˈsɪnθəsaɪz/,"tổng hợp, kết hợp"
40,Analyze,v,/ˈænəlaɪz/,"phân tích"
41,Evaluate,v,/ɪˈvæljueɪt/,"ước lượng, định giá"
42,Topsy-turvy,a,/ˌtɒpsi ˈtɜːvi/,"đảo lộn, rối rắm"
43,Bottom-up,a,/ˌbɒtəm ˈʌp/,"từ dưới lên trên, tỉ mỉ"
44,Inside-out,a,/ˌɪnˈsaɪd/,"từ trong ra ngoài, tường tận"
45,Upside-down,a,/ˌʌpsaɪd ˈdaʊn/,"từ trên xuống dưới"
46,Uncensored,a,/ʌnˈsensəd/,"chưa được kiểm duyệt"
47,Uppermost,a,/ˈʌpəməʊst/,"cao nhất, trên hết (vị trí)"
48,Supreme,a,/suːˈpriːm/,"tối cao, thượng hạng"
49,Dominant,a,/ˈdɒmɪnənt/,"vị trí thống trị"
50,Paramount,a,/ˈpærəmaʊnt/,"tột bậc, tối cao (về mức độ)"
51,Utmost,a,/ˈʌtməʊst/,"tận cùng, tột bậc"
52,Watchfully,adv,/ˈwɒtʃfəli/,"một cách cảnh giác, thận trọng"
53,Attentively,adv,/əˈtentɪvli/,"một cách chăm chú"
54,Prudently,adv,/ˈpruːdntli/,"một cách thận trọng"
55,Guardedly,adv,/ˈɡɑːdɪdli/,"một cách ý tứ, cẩn thận"
