id,tu_vung,tu_loai,phien_am,nghia
1,Accelerate,v,/ək'seləreɪt/,"đẩy nhanh, tăng tốc"
2,Agriculture,n,/'ægrɪkʌltʃər/,"nông nghiệp"
3,Industry,n,/'ɪndəstri/,"công nghiệp"
4,Forestry,n,/'fɒrɪstri/,"lâm nghiệp"
5,Amphibian,n,/æm'fɪbiən/,"động vật lưỡng cư"
6,Arguably,adv,/'ɑ:gjuəbli/,"có thể cho là"
7,Barren,a,/'bærən/,"cằn cỗi"
8,Biosphere,n,/'baɪəʊsfɪər/,"sinh quyển"
9,Canopy,n,/'kænəpi/,"vòm, mái che, tán cây"
10,Consequently,adv,/'kɒnsɪkwəntli/,"do đó, bởi vậy"
11,Consumption,n,/kən'sʌmpʃən/,"sự tiêu thụ"
12,Curb,v,/kɜ:b/,"kiềm chế, nén lại, hãm lại"
13,Deforestation,n,/di:ˌfɒrɪ'steɪʃən/,"sự phá rừng"
14,Reforestation,n,/ˌri:fɒrɪ'steɪʃən/,"sự trồng lại rừng"
15,Afforestation,n,/ˌæfˌɒrɪ'steɪʃən/,"sự trồng rừng"
16,Forestation,n,/ˌfɒrɪ'steɪʃən/,"sự trồng cây gây rừng"
17,Degradation,n,/ˌdegrə'deɪʃən/,"sự mất giá, sự suy thoái"
18,Deliberate,a,/dɪ'lɪbərət/,"có cân nhắc, suy nghĩ kĩ lưỡng"
19,Ecotourism,n,/'i:kəʊˌtʊərɪzəm/,"du lịch sinh thái"
20,Emission,n,/i'mɪʃən/,"sự phát ra, tỏa ra"
21,Environmentalist,n,/ɪnˌvaɪrən'mentəlɪst/,"chuyên gia môi trường"
22,Environment,n,/ɪn'vaɪrənmənt/,"môi trường"
23,Environmental,a,/ɪnˌvaɪrən'mentəl/,"thuộc môi trường"
24,Erosion,n,/ɪ'rəʊʒən/,"sự xói mòn"
25,Erode,v,/ɪ'rəʊd/,"xói mòn"
26,Evidently,adv,/'evɪdəntli/,"một cách hiển nhiên, rõ ràng"
27,Excessive,a,/ek'sesɪv/,"quá mức, thừa"
28,Expenditure,n,/ɪk'spendɪtʃər/,"sự tiêu dùng"
29,Exploit,v,/ɪk'splɔɪt/,"khai thác"
30,Exploitation,n,/ˌeksplɔɪ'teɪʃən/,"sự khai thác"
31,Furrow,n,/'fʌrəʊ/,"luống cày"
32,Indigenous,a,/ɪn'dɪdʒɪnəs/,"bản xứ, bản địa"
33,Indisputably,adv,/ˌɪndɪ'spju:təbəli/,"hiển nhiên, không thể bàn cãi thêm"
34,Integrity,n,/ɪn'tegrəti/,"tính toàn vẹn, nguyên vẹn"
35,Ironic,a,/aɪ'rɒnɪk/,"mỉa mai, châm biếm"
36,Justification,n,/ˌdʒʌstɪfɪ'keɪʃən/,"sự bào chữa, sự biện bạch"
37,Logging,n,/'lɒgɪŋ/,"việc đốn gỗ"
38,Mammal,n,/'mæməl/,"động vật có vú"
39,Microbial,a,/maɪ'krəʊbiəl/,"thuộc vi trùng, vi khuẩn"
40,Moral,a,/'mɒrəl/,"có đạo đức"
41,Perpetuate,v,/pə'petʃueɪt/,"duy trì"
42,Perspective,a,/pə'spektɪv/,"quan điểm"
43,Porous,a,/'pɔ:rəs/,"rỗ, có nhiều lỗ rỗng"
44,Potentially,adv,/pə'tenʃəli/,"một cách tiềm tàng"
45,Primate,n,/'praɪmeɪt/,"linh trưởng"
46,Ranching,n,/'rɑ:ntʃɪŋ/,"chăn nuôi gia súc"
47,Regulate,v,/'regjəleɪt/,"điều hòa, điều tiết"
48,Regulation,n,/ˌregjə'leɪʃən/,"sự điều hòa, điều tiết"
49,Reprocess,v,/ˌri:'prəʊses/,"tái xử lí"
50,Reclaim,v,/rɪ'kleɪm/,"cải tạo"
51,Recycle,v,/ˌri:'saɪkəl/,"tái chế"
52,Reuse,v,/ˌri:'ju:z/,"tái sử dụng"
53,Sewage,n,/'su:ɪdʒ/,"chất thải (nước cống...)"
54,Rubbish,n,/'rʌbɪʃ/,"rác thải"
55,Garbage,n,/'gɑ:bɪdʒ/,"rác thải, phế liệu"
56,Litter,n,/'lɪtər/,"rác vụn"
57,Trash,n,/træʃ/,"rác thải"
58,Sluggish,a,/'slʌgɪʃ/,"lờ đờ, chậm chạp"
59,Specifically,adv,/spə'sɪfɪkəli/,"một cách cụ thể"
60,Spongy,a,/'spʌndʒi/,"như bọt biển, xốp, thấm nước"
61,Stabilize,v,/'steɪbəlaɪz/,"làm ổn định"
62,Stable,a,/'steɪbəl/,"ổn định, vững chắc"
63,Stability,n,/stə'bɪləti/,"sự ổn định"
64,Stink,v,/stɪŋk/,"bốc mùi hôi thối"
65,Susceptible,a,/sə'septəbəl/,"dễ mắc phải, dễ tổn thương"
66,Topsoil,n,/'tɒpsɔɪl/,"lớp đất bề mặt, tầng đất mặt"
67,Unequivocally,adv,/ˌʌnɪ'kwɪvəkəli/,"một cách rõ ràng, không mập mờ"
68,Unobstructed,a,/'ʌnəb'strʌktɪd/,"không bị tắc nghẽn, không bị cản trở"
69,Wasteful,a,/'weɪstfəl/,"lãng phí"
