macauhoi,topic,kynang,mucdo,noidung,A,B,C,D,dapandung,giaithich
df47da23-f3e6-4e7d-be37-f256048ec79f,10,GRAMMAR,2,"500 years ago, the average human ___________ was about 40 years.",lifespan,lifetime,life cycle,life length,A,"A. lifespan /ˈlaɪfspæn/ (n): tuổi thọ | B. lifetime /ˈlaɪftaɪm/ (n): thời gian sống | C. life cycle: vòng đời. Tạm dịch: 500 năm trước, tuổi thọ trung bình của con người ở mức khoảng 40 tuổi."
7281df89-8e57-4f52-8634-e1c243a7a415,9,VOCAB,2,"A/an ___________ is a person who needs others to take care of him/her, because of illness that he/she had for a long time.",patient,martyr,invalid,addict,C,"A. patient: bệnh nhân | B. martyr: liệt sĩ | C. invalid /ɪnˈvælɪd/ (n): người bệnh tật, người tàn tật | D. addict: người nghiện. Tạm dịch: Một người tàn tật là người cần sự chăm sóc của người khác vì bệnh lâu ngày."
c64aeb3c-f03a-41dc-ae7f-69d15b3c1947,1,VOCAB,2,"Accepting that changes are _________ does not mean that we will allow everything to be wiped out, destroyed or forgotten.",avoidable,unavoidable,stoppable,unstoppable,B,"A. avoidable /əˈvɔɪdəbl/ (a): có thể tránh được | B. unavoidable /ˌʌnəˈvɔɪdəbl/ (a): không thể tránh được | C. stoppable /ˈstɒpəbl/ (a): có thể dừng lại | D. unstoppable /ʌnˈstɒpəbl/ (a): không thể dừng lại. Tạm dịch: Việc chấp nhận rằng các thay đổi là điều không thể tránh được không có nghĩa là chúng ta cho phép mọi thứ bị xóa bỏ, phá hủy hay quên lãng."
81b800b4-ff33-4507-9ad4-616bc6eed122,3,VOCAB,2,"Accordingly, urbanization is very common in developing and developed worlds as more and more people have the ___________ of moving closer to towns and cities to acquire “privileged” social and economic services as well as benefits.",tendency,ambition,intention,dream,A,"A. tendency /ˈtendənsi/(n): xu hướng | B. ambition /æmˈbɪʃn/(n): hoài bão, tham vọng | C. intention /ɪnˈtenʃn/(n): ý định, mục đích | D. dream /driːm/(n): giấc mơ. Tạm dịch: Vì lý do đó, sự đô thị hóa rất phổ biến ở các nước phát triển và đang phát triển vì ngày càng có nhiều người có xu hướng dịch chuyển đến gần các thành phố, thị xã để có được các quyền lợi xã hội, các dịch vụ kinh tế cũng như lợi ích."
af9c9f89-47d7-4921-bea1-72cc803b2941,12,GRAMMAR,2,"According to a survey, a lot of young people prefer to live in ___________ families which consist of parents and children.",nuclear,extended,three generation,four generation,A,"A. nuclear /'nju:klɪər/ (a): hạt nhân | B. extended (a): mở rộng. Cấu trúc: Nuclear family: gia đình hạt nhân (bố mẹ và con cái). Tạm dịch: Theo một nghiên cứu, rất nhiều người trẻ thích sống trong những gia đình hạt nhân, chỉ có bố mẹ và con cái."
b681055d-9aa2-416f-aab0-13378de53afd,18,VOCAB,2,According to futurist Ray Kurzweil human _____ will be unavoidably transformed in the year 2045 by an event that he call The Singularity.,civics,civilization,cavils,civilians,B,"A. civics /'sɪvɪks/ (v): ngành nghiên cứu quyền và nghĩa vụ của công dân | B. civilization /ˌsɪvəlaɪˈzeɪʃən/ (n): nền văn minh | C. cavil /'kævəlz/ (v): cãi bướng, cãi vặt | D. civilians /sɪ'vɪljən/ (n): dân thường. Tạm dịch: Theo như những người theo thuyết vị lai Ray Kurzweil, nền văn minh của loài người sẽ không thể tránh khỏi bị biến đổi vào năm 2045 bởi một sự kiện mà ông gọi là The Singularity."
dfb1f2ad-da5a-4e32-a577-d475a2aae6c6,26,VOCAB,2,"According to Public Health England, 40% of the over 50s are leading _____ lifestyles these days.",depressive,vulnerable,powerful,sedentary,D,"A. depressive /dɪˈpresɪv/ (a): làm suy nhược, suy yếu | B. vulnerable /ˈvʌlnərəbl/ (a): dễ tổn thương | C. powerful /ˈpaʊəfl/ (a): hùng mạnh | D. sedentary /ˈsedntri/ (a): ngồi nhiều, ít đi chỗ khác. Tạm dịch: Theo cơ quan Y tế công cộng của Anh, 40% trong số những người trên 50 tuổi đang có lối sống ít vận động những ngày này."
2fb80d3b-a34f-404b-8b26-faabdcf8c87e,20,VOCAB,2,"According to the chairman's spokesperson, further _____ in the marketing division are to be expected.",cutbacks,breakdowns,layouts,drop-backs,A,"A. cutbacks /ˈkʌtbæk/ (n): sự cắt giảm | B. breakdowns /ˈbreɪkdaʊn/ (n): sự hỏng hóc, suy sụp, tan vỡ, thất bại | C. layouts /ˈleɪaʊt/ (n): bản thiết kế, bố cục, sự bố trí | D. drop-backs / drɒpbæks/ (n): bị bỏ lại, tụt hậu. Tạm dịch: Theo người phát ngôn của Chủ tịch, người ta dự kiến sẽ cắt giảm thêm trong bộ phận tiếp thị."
169dda21-c29a-419c-a1d7-a97c795c2860,13,GRAMMAR,2,"According to the dictionary, friendship is a feeling and ___________ that exist between people, but what these feelings are and what this behavior is everyone should decide for himself.",behavior,behave,behaved,behaviors,A,"A. behavior /bɪ'heɪvjər/ (n): hành vi, cách cư xử. Tạm dịch: Theo từ điển, tình bạn là một cảm giác và hành vi tồn tại giữa con người với nhau, nhưng những cảm giác này là gì và hành vi này là gì mỗi người nên tự quyết định."
53eef0d2-7294-4ed7-a49e-40ea711d8a4e,16,GRAMMAR,2,"According to the latest _____ figures, 119 boys are born for every 100 girls.",census,censure,censurable,censor,A,"A. census /‘sensəs/ (n): việc điều tra dân số | B. censure /'senʃər / (n): sự phê bình, chỉ trích | C. censurable /'sənʃərəbl/ (a): đáng phê bình, khiển trách | D. censor /'sensə/ (n): giám thị, nhân viên kiểm duyệt. Tạm dịch: Theo số liệu điều tra dân số mới nhất cứ 119 bé trai thì có 100 bé gái được sinh ra."
3b97b9af-5284-45be-94b9-6aa8b77768c6,18,VOCAB,2,"Aerial, ground and marine robots are used in intelligence surveillance and reconnaissance (ISR) applications, bomb disposable and cargo _____.",transports,transportation,traffic,transmission,B,"A. transport /ˈtrænspɔːt/ (n): phương tiện giao thông | B. transportation /ˌtrænspɔːˈteɪʃn/ (n): sự vận tải, chuyên chở | C. traffic /ˈtræfɪk/ (n): sự đi lại, giao thông | D. transmission /trænzˈmɪʃn/ (n): sự truyền, chuyển giao. Tạm dịch: Robot trên không, trên mặt đất và trên biển được sử dụng trong các ứng dụng trinh sát tình báo (ISR), bom dùng một lần và vận chuyển hàng hóa."
5fe99783-917a-41e0-852a-c63349734d96,12,GRAMMAR,2,"A family can be two or more people who share goals and values, have long-term ___________ to one another, and usually live in the same house.",commit,commitments,committed,commutative,B,"A. commit (v): phạm tội | B. commitment /kə'mɪtmənt/ (n): sự cam kết, sự tận tụy | C. committed (a): tận tụy | D. commutative (a): thay thế. Tạm dịch: Một gia đình có thể có hai hay nhiều người, người mà chia sẻ những mục tiêu và giá trị, có một sự cam kết dài hạn với nhau và thường sống chung một nhà."
f5394cc6-8757-4a49-813a-25ec5ba7e430,28,VOCAB,2,"A few people argue that the special events need to be celebrated _____ , as it happens only a few times in a lifetime.",nicely,grandly,expressively,tremendously,B,"A. nicely /ˈnaɪsli/ (adv): thú vị, dễ chịu, xinh | B. grandly /ˈɡrændli/ (adv): đàng hoàng, long trọng, đâu ra đấy | C. expressively /ɪkˈspresɪvli/ (adv): truyền cảm | D. tremendously /trəˈmendəsli/ (adv): ghê gớm, khủng khiếp, rất lớn. Tạm dịch: Một số ý kiến cho rằng các sự kiện đặc biệt cần được tổ chức một cách long trọng vì nó chỉ xảy ra một vài lần trong đời."
0e9748c6-49c7-404f-a385-48c8c979423f,13,VOCAB,2,"A friend is a person who can help you in no time, lend you a hand, who supports you in all your beginnings and who will never ___________ you.",mock,deceive,tease,pretend,B,"A. mock (v): chế nhạo | B. deceive /dɪ'si:v/ (v): lừa dối | C. tease (v): trêu chọc | D. pretend (v): giả vờ. Tạm dịch: Một người bạn là một người có thể giúp bạn không nề hà gì, người ủng hộ bạn trong mọi khởi đầu và sẽ không bao giờ lừa dối bạn."
8c560155-08e8-46ac-8320-cb12dac9f834,3,VOCAB,2,"After a decade of economic liberalization, Vietnam has seen a dramatic rise in living ___________ in urban areas.",surface,standards,levels,backgrounds,B,"A. surface (n): bề mặt | B. standard /ˈstændəd/(n): tiêu chuẩn, mức độ | C. level (n): mức, cấp độ | D. background (n): nền tảng. Tạm dịch: Sau một thập kỷ tự do hóa kinh tế, Việt Nam đã chứng kiến sự gia tăng mạnh mẽ về mức sống ở khu vực thành thị."
f6a1a679-179a-4958-9dcb-892831f8e4cd,2,VOCAB,2,"After a momentary ___________ of concentration, Simon managed to regain his focus and completed the test.",lapse,fault,failure,error,A,"A. lapse /læps/ (n): sự sa ngã, sai xót | B. fault /fɔːlt/ (n): khiếm khuyết, thiếu xót | C. failure /ˈfeɪljə(r)/ (n): sự thất bại | D. error /ˈerə(r)/ (n): lỗi (sai số kỹ thuật,...). Cụm từ : lapse of concentration: sự mất tập trung. Tạm dịch: Sau một vài giây mất tập trung, Simon đã xoay sở để lấy lại tập trung của mình và hoàn thành các bài kiểm tra."
a5d8722f-89b0-47f1-8693-d247e7b5d8ef,20,VOCAB,2,"After a short _____ of being unemployed, I decided to take a risk and set up my own business.",phase,spell,span,session,B,"A. phase /feɪz/ (n): giai đoạn, thời kỳ | B. spell /spel/ (n): đợt, lượt, phiên, thời gian nghỉ ngắn | C. span /spæn/ (n): khoảng, quãng | D. session /ˈseʃn/ (n): buổi họp, phiên họp. Tạm dịch: Sau một thời gian ngắn thất nghiệp, tôi quyết định mạo hiểm và thành lập doanh nghiệp riêng."
e016b8e3-37f3-4842-a3f1-c7f748ea9816,13,GRAMMAR,2,"After graduating from university, she ___________ her mother’s footsteps, starting her own business.",followed in,succeeded in,went after,kept up,A,"Cấu trúc: follow in one's footsteps: tiếp bước ai. Tạm dịch: Sau khi tốt nghiệp đại học, cô tiếp bước mẹ mình và bắt đầu tự kinh doanh."
9b02bfcc-839d-4b34-88c9-560f42ca5184,14,VOCAB,2,"After many weeks, his solo album ___________ a profound influence on the youth all over the country.",remains,maintains,becomes,persuades,A,"A. remain /rɪ'meɪn/ (v): vẫn còn | B. maintain (v): duy trì | C. become (v): trở thành | D. persuade (v): thuyết phục. Tạm dịch: Sau nhiều tuần, album đơn của cô ấy vẫn giữ được ảnh hưởng đối với giới trẻ."
eee5a0fa-90c6-446a-bd31-05a3cb08607c,29,GRAMMAR,2,"After nearly five months of _____ , the first tenants of the international space station said they are eager to return to Earth.",weight,weighting,weightless,weightlessness,D,"A. weight /'weɪt (n): trọng lượng | B. weighting /'weɪtɪŋ/ (n): khoản thanh toán thêm, phụ cấp thêm (trong các trường hợp đặc biệt) | C. weightless /'weɪtləs/ (a): không trọng lượng | D. weightlessness /'weɪtləsnəs/ (n): tình trạng không trọng lượng. Tạm dịch: Sau gần năm tháng ở trong tình trạng không trọng lượng, những người chủ sở hữu đầu tiên của trạm không gian quốc tế nói rằng họ háo hức quay về trái đất."
