id,tu_vung,tu_loai,phien_am,nghia
1,Abnormal,a,/ˌæbˈnɔːməl/,"không bình thường"
2,Normal,a,/ˈnɔːml/,"bình thường"
3,Advertise,v,/ˈædvətaɪz/,"quảng cáo"
4,Advertising,n,/ˈædvətaɪzɪŋ/,"việc quảng cáo"
5,Advertisement,n,/ədˈvɜːtɪsmənt/,"bài quảng cáo"
6,Broadcast,v/n,/ˈbrɔːdkɑːst/,"phát sóng"
7,catalogue,v,/ˈkætəlɒɡ/,"chia thành mục"
8,Circulation,n,/ˌsɜːkjəˈleɪʃn/,"sự lưu thông, phát hành"
9,Commentator,n,/ˈkɒmənteɪtə(r)/,"bình luận viên"
10,Witness,n,/ˈwɪtnəs/,"nhân chứng"
11,Viewer,n,/ˈvjuːər/,"khán giả (xem truyền hình)"
12,Audience,n,/ˈɔːdiəns/,"khán giả (trong hội trường)"
13,Spectator,n,/spekˈteɪtər/,"khán giả (ngoài trời)"
14,Announcer,n,/əˈnaʊnsər/,"phát thanh viên"
15,Compilation,n,/ˌkɒmpɪˈleɪʃn/,"sự biên soạn"
16,Cornpile,n v,/ˌkɒmpɪˈleɪʃn/ /kəm'paɪl/,"sự biên soạn biên soạn"
17,Complementary,a,/ˌkɒmplɪˈmentri/,"bù, bổ sung"
18,Correspondent,n,/ˌkɒrəˈspɒndənt/,"phóng viên thường trú"
19,Editor,n,/ˈedɪtər/,"biên tập viên"
20,Columnist,n,/ˈkɒləmnɪst/,"người phụ trách một chuyên mục trong tờ báo"
21,Proprietor,n,/prəˈpraɪətər/,"chủ sở hữu, ông chủ"
22,Coverage,n,/ˈkʌvərɪdʒ/,"việc đưa tin, độ che phủ"
23,Cyberspace,n,/ˈsaɪbəspeɪs/,"không gian máy tính"
24,Cyberattack,n,/ˈsaɪbərətæk/,"tấn công mạng"
25,Cyberbully,n,/ˈsaɪbəbʊli/,"kẻ quấy rối trên mạng (đặc biệt là qua tin nhắn)"
26,Cyberbullying,n,/ˈsaɪbəbʊliɪŋ/,"việc quấy rối trên mạng"
27,Direction,n,/dəˈrekʃn/,"sự hướng dẫn"
28,Director,n,/dəˈrektər/,"đạo diễn, giám đốc"
29,Directory,n,/dəˈrektəri/,"sách hướng dẫn, thư mục"
30,Disproportionate,a,/ˌdɪsprəˈpɔːʃənət/,"không cần đối"
31,Dissemination,n,/dɪˌsemɪˈneɪʃn/,"sự phân tán, sự khuếch tán"
32,Enmesh,v,/ɪnˈmeʃ/,"đánh lưới, đặt vào cạm bẫy"
33,Gratuitous,a,/ɡrəˈtjuːɪtəs/,"không có ỉý do, vô cớ"
34,Illustrate,v,/ˈɪləstreɪt/,"minh họa"
35,Illustration,n,/ˌɪləˈstreɪʃn/,"sự minh họa"
36,Illustrative,a,/ˈɪləstrətɪv/,"có tính minh họa"
37,Immortal,a,/ɪˈmɔːtl/,"bất tử"
38,Mortal,a,/ˈmɔːtl/,"chết, không thể sống mãi"
39,Incapacitate,v,/ˌɪnkəˈpæsɪteɪt/,"làm mất khả năng"
40,Journal,n,/ˈdʒɜːnl/,"nhật báo"
41,Journalism,n,/ˈdʒɜːnəlɪzəm/,"nghề báo"
42,Journalist,n,/ˈdʒɜːnəlɪst/,"nhà báo"
43,Journalistic,a,/ˌdʒɜːnəˈlɪstɪk/,"thuộc báo chí"
44,Massive,a,/ˈmæsɪv/,"to lớn, đồ sộ"
45,Mass,n,/mæs/,"khối, đống"
46,Memory,n,/ˈmeməri/,"trí nhớ"
47,Memorial,n,/maˈmorrial/,"đài tưởng niệm"
48,Memorable,a,/ˈmemarabal/,"đáng nhớ"
49,Obsession,n,/əbˈseʃn/,"nỗi ám ảnh"
50,Ordinary,a,/ˈɔːdnri/,"bình thường"
51,Extraordinary,a,/ɪkˈstrɔːdnri/,"phi thường"
52,Persecute,v,/ˈpɜːsɪkjuːt/,"khủng bố"
53,Prosecute,v,/ˈprɒsɪkjuːt/,"khởi tố, kiện"
54,Personal,n,/ˈpɜːsənl/,"nhân vật"
55,Personalize,v,/ˈpɜːsənəlaɪz/,"cá nhân hóa"
56,Personify,v,/pəˈsɒnɪfaɪ/,"nhân cách hóa"
57,Profound,a,/prəˈfaʊnd/,"sâu sắc"
58,Recording,n,/rɪˈkɔːdɪŋ/,"bản ghi âm"
59,Superficial,a,/ˌsuːpəˈfɪʃl/,"thuộc bề mặt, trên bề mặt"
60,Superhighway,n,/ˌsuːpəˈhaɪweɪ/,"siêu xa lộ"
61,Tabloid,n,/ˈtæblɔɪd/,"báo khổ nhỏ"
62,Tangible,a,/ˈtændʒəbl/,"hữu hình"
63,Intangible,a,/ɪnˈtændʒəbl/,"vô hình"
64,Transmit,v,/trænzˈmɪt/,"truyền phát"
65,Transmission,n,/trænzˈmɪʃn/,"sự truyền phát"
66,Weak-tie,a,/ˈwiːktaɪ/,"trong mối quan hệ xã giao"
