id,tu_vung,tu_loai,phien_am,nghia
1,Abundant,a,/əˈbʌndənt/,"thừa thãi, nhiều"
2,Abundance,n,/əˈbʌndəns/,"sự phong phú, thừa thãi"
3,Ambition,n,/æmˈbɪʃn/,"tham vọng, hoài bão"
4,Apparent,a,/əˈpærənt/,"rõ ràng, bề ngoài"
5,Backward,a,/ˈbækwəd/,"về phía sau, chậm phát triển, lạc hậu"
6,Comparison,n,/kəmˈpærɪsn/,"sự so sánh"
7,Compare,v,/kəmˈpeə[r]/,"so sánh, đối chiếu"
8,Comparative,a,/kəmˈpærətɪv/,"tương đối"
9,Congress,n,/ˈkɒŋɡres/,"đại hội, Quốc hội"
10,Congestion,n,/kənˈdʒestʃn/,"sự quá tải"
11,Counter-urbanization,a,/ˈkaʊntə[r]- ɪnˌdʌstriəlaɪˈzeɪʃn/,"đô thị hóa ngược, phản đô thị hóa"
12,Crime,n,/kraɪm/,"tội ác, sự phạm tội"
13,Criminal,a,/ˈkrɪmɪnl/,"có tội, phạm tội"
14,Downward,a,/ˈdaʊnwəd/,"đi xuống, giảm sút"
15,Dream,n,/driːm/,"ước mơ"
16,Economic,a,/ˌiːkəˈnɒmɪk/,"thuộc kinh tế"
17,Economical,a,/ˌiːkəˈnɒmɪkl/,"tiết kiệm, kinh tế"
18,Economist,n,/ɪˈkɒnəmɪst/,"nhà kinh tế học"
19,Economically,adv,/ˌiːkəˈnɒmɪkli/,"một cách tiết kiệm, về mặt kinh tế"
20,Expand,v,/ɪkˈspænd/,"trải ra, mở rộng"
21,Expanse,n,/ɪkˈspæns/,"dải rộng (đất), sự mở rộng"
22,Forward,a,/ˈfɔːwəd/,"tiến về phía trước, tiến bộ"
23,Hard,a,/hɑːd/,"cứng rắn, siêng năng, vất vả"
24,Harden,v,/ˈhɑːdn/,"làm cho cứng, rắn"
25,Hardship,n,/ˈhɑːdʃɪp/,"sự gian khổ"
26,Health,n,/helθ/,"sức khỏe"
27,Heath,n,/hiːθ/,"cây thạch nam"
28,Hostage,n,/ˈhɒstɪdʒ/,"con tin"
29,Immigrate,v,/ˈɪmɪɡreɪt/,"nhập cư"
30,Immigrant,n,/ˈɪmɪɡrənt/,"dân nhập cư"
31,Migrate,v,/maɪˈɡreɪt/,"di cư (tạm thời)"
32,Migrant,n,/ˈmaɪɡrənt/,"người di trú"
33,Emigrate,v,/ˈemɪɡreɪt/,"di cư (vĩnh viễn)"
34,Industry,n,/ˈɪndəstri/,"ngành công nghiệp"
35,Industrial,a,/ɪnˈdʌstriəl/,"thuộc về công nghiệp"
36,Industrious,a,/ɪnˈdʌstriəs/,"cần cù, siêng năng"
37,Industrialization,a,/ɪnˌdʌstriəlaɪˈzeɪʃn/,"sự công nghiệp hóa"
38,Inhabit,v,/ɪnˈhæbɪt/,"ở, sống ở"
39,Inhabitant,n,/ɪnˈhæbɪtənt/,"người ở, người dân"
40,Habitat,n,/ˈhæbɪtæt/,"môi trường sống, chỗ ở"
41,Inner,n,/ˈɪnə[r]/,"bên trong, nội bộ, thân cận"
42,Intention,n,/ɪnˈtenʃn/,"ý định, sự cố ý, cố tình"
43,Modern,a,/ˈmɒdn/,"hiện đại, cận đại"
44,Modernization,n,/ˌmɒdənaɪˈzeɪʃn/,"sự hiện đại hóa"
45,Modernize,v,/ˈmɒdənaɪz/,"hiện đại hóa"
46,Mortgage,n,/ˈmɔːɡɪdʒ/,"sự cầm cố, thế chấp"
47,Nearby,adv,/ˈnɪəbaɪ/,"gần, gần bên"
48,Occur,v,/əˈkɜː[r]/,"xảy ra, xảy đến"
49,Occurrence,n,/əˈkʌrəns/,"sự xảy ra, sự cố"
50,Privileged,a,/ˈprɪvəlɪdʒd/,"có đặc quyền"
51,Proportion,n,/prəˈpɔːʃn/,"tỉ lệ, sự tương xứng"
52,Recreation,n,/ˌrekriˈeɪʃn/,"trò tiêu khiển"
53,Recreational,a,/ˌrekriˈeɪʃənl/,"có tính chất giải trí"
54,Rural,a,/ˈrʊərəl/,"thuộc nông thôn"
55,Sector,n,/ˈsektə[r]/,"khu vực"
56,Slum,n,/slʌm/,"nhà ổ chuột"
57,Stealth,n,/stelθ/,"sự giấu giếm, lén lút"
58,Suburban,a,/ˈsʌbɜːbən/,"ở ngoại ô"
59,Tendency,n,/ˈtendənsi/,"xu hướng, chiều hướng"
60,Upward,a,/ˈʌpwəd/,"hướng lên"
61,Urbanization,n,/ˌɜːbənaɪˈzeɪʃn/,"sự đô thị hóa"
62,Urbanize,v,/ˈɜːbənaɪz/,"đô thị hóa"
63,Urban,a,/ˈɜːbən/,"thuộc thành thị, đô thị"
64,Wage,n,/weɪdʒ/,"lương (thường trả hàng tuần)"
65,Salary,n,/ˈsæləri/,"lương"
66,Pension,n,/ˈpenʃn/,"lương hưu, tiền trợ cấp"
67,Income,n,/ˈɪnkʌm/,"thu nhập"
68,Wealth,n,/welθ/,"sự giàu có, của cải"
69,Whereby,adv,/weəˈbaɪ/,"nhờ đó, bởi đó, bằng cách nào"
