id,loai,idiom,nghia
1,color,The black sheep,"nghịch tử, phá gia chi tử"
2,color,Blue in the face,"mãi mãi, lâu đến vô vọng"
3,color,Red-letter day,"ngày đáng nhớ vì có chuyện tốt lành, ngày vui"
4,color,White as a ghost/sheet,"trắng bệch, nhợt nhạt"
5,color,With flying colors,xuất sắc
6,color,Once in a blue moon,"năm thì mười hoạ, hiếm khi"
7,color,Black and white,rõ ràng
8,color,Catch sb red-handed,bắt tại trận
9,color,Have a yellow streak,có tính nhát gan
10,color,Get/give the green light,bật đèn xanh
11,color,Out of the blue,hoàn toàn bất ngờ
12,color,Paint the town red,ăn mừng
13,color,Red tape,nạn quan liêu
14,color,In the pink = in good health,sức khoẻ tốt
15,color,Lend color to st,chứng minh cái gì
16,body,Break a leg,Good luck! (thường dùng để chúc may mắn)
17,body,Scratch someone's back = Help someone out with the assumption that they will return the favor in the future,giúp đỡ người khác với hi vọng họ sẽ giúp lại mình
18,body,Hit the nail on the head = Do or say something exactly right,"nói chính xác, làm chính xác"
19,body,Splitting headache = A severe headache,đau đầu như búa bổ
20,body,Make someone's blood boil,"làm ai sôi máu, giận dữ"
21,body,Pay through the nose = To pay too much for something,trả giá quá đắt
22,body,By the skin of one's teeth,"sát sao, rất sát"
23,body,Pull someone's leg,chọc ai
24,body,Fight tooth and claw/nail,"đánh nhau dữ dội, cấu xé nhau"
25,body,Not bat an eye = To not show any shock or surprise,không tỏ ra ngạc nhiên hay sốc
26,body,Cost an arm and a leg,rất là đắt đỏ
27,body,Go to one's head,khiến ai kiêu ngạo
28,body,Get/have cold feet,"mất hết can đảm, chùn bước"
29,body,Led somebody by the nose = To control someone and make them do exactly what you want them to do,"nắm đầu, dắt mũi ai"
30,body,Off one's head,"điên, loạn trí"
31,body,Put one's foot in it,"gây nhầm lẫn, bối rối, phạm một sai lầm gây bối rối"
32,body,Stay/keep/be on one's toe,"cảnh giác, thận trọng"
33,body,Have in mind,"đang suy tính, cân nhắc"
34,body,At heart,"thực chất, cơ bản (basically, fundamentally)"
35,body,Face the music,chịu trận
36,body,Like the back of one's hand,rõ như lòng bàn tay
37,body,The twinkling of an eye,trong nháy mắt
38,body,On the tip of tongue,dùng khi muốn diễn tả ai đó không thể nhớ ra được điều gì mặc dù đã chắc chắn biết về nó
39,body,Put one's foot in one's mouth,nói một điều ngu ngốc làm xúc phạm đến người khác
40,body,Stick one's nose into one's business,chúi mũi vào việc của người khác
41,body,Feel st in one's bones,cảm nhận rõ rệt
42,body,A real pain in the neck,"sốc, nghiêm trọng"
43,body,Face to face,trực tiếp
44,body,See eye to eye with sb = totally agree,đồng tình
45,body,Keep one's head above the water,xoay xở
46,body,Have egg on one's face,xấu hổ
47,body,Word of mouth,"đồn đại, truyền miệng"
48,body,Heart to heart,chân thành
49,body,Body and soul,"hết lòng, hết dạ"
50,body,Flesh and blood,người có máu mủ ruột thịt
51,body,Skin and bones,"tiều tụy thảm thương, chỉ còn da bọc xương"
52,body,Lend an ear to sb/st,lắng nghe một cách chân thành
53,body,Trip over one's big feet,tự vấp ngã
54,body,In one's capable hands,trong quyền giải quyết
55,body,Up to your eyes,rất bận
56,body,Have a head for st,giỏi về cái gì
