id,tu_vung,tu_loai,phien_am,nghia
1,Assimilate,v,/əˈsɪməleɪt/,"đồng hóa"
2,Behave,v,/bɪ'heɪv/,"cư xử"
3,Behavior,n,/bɪˈheɪvjər/,"hành vi"
4,Behavioral,a,/bɪˈheɪvjərəl/,"thuộc hành vi"
5,Misbehave,v,/ˌmɪsbɪˈheɪv/,"cư xử không đúng đắn"
6,Belch Burp,v v,/beltʃ/ /bɜːp/,"ợ hơi (theo cách tự nhiên) ợ (có sự tác động: vỗ lưng...)"
7,Boycott,v,/ˈbɔɪkɒt/,"tẩy chay"
8,Check-up,n,/ˈtʃek ʌp/,"sự kiểm tra sức khỏe"
9,Mix-up,/ˈmɪks ʌp/, cuộc ẩu đả,""
10,Break-down,/’breɪk daʊn/,sự hỏng hóc,""
11,Run-through,/ˈrʌn θruː/,sự tóm tắt lại,""
12,Colloquial,a,/kəˈləʊkwiəl/,"thông tục"
13,Communal,a,/kəˈmjuːnl/,"chung, công cộng"
14,Conceive,v,/kənˈsiːv/,"nghĩ tới, tưởng tượng"
15,Confabulate,v,/kən'fæbjəleɪt/,"tán phét, nói chuyện phiếm"
16,Contemplate,v,/ˈkɒntəmpleɪt/,"ngắm, thưởng ngoạn"
17,Convict,v,/kənˈvɪkt/,"kết án"
18,Crucify,v,/ˈkruːsɪfaɪ/,"hành hạ"
19,Cunning,a,/ˈkʌnɪŋ/,"xảo trá, tinh ranh"
20,Naive,a,/naɪˈiːv/,"khờ dại"
21,Snooty,a,/ˈsnuːti/,"khinh khỉnh, kiêu kì"
22,Humble,a,/ˈhʌmbl/,"khiêm tốn, nhún nhường"
23,Deformity,n,/dɪˈfɔːməti/,"dị dạng, dị hình"
24,Diplomatically,adv,/ˌdɪpləˈmætɪkli/,"bằng con đường ngoại giao"
25,Diplomatic,adv a,/ˌdɪpləˈmætɪkli/ /ˌdɪpləˈmætɪk/,"bằng con đường ngoại giao ngoại giao"
26,Dissuade,v,/dɪˈsweɪd/,"khuyên ngăn"
27,Eloquent,a,/ˈeləkwənt/,"có khả năng hùng biện"
28,Exaggerate,v,/ɪɡˈzædʒəreɪt/,"phóng đại"
29,Face-to-face,a,/ˌfeɪs tə ˈfeɪs/,"trực tiếp"
30,Mouth-to-mouth,a,/ˌhænd tə ˈmaʊθ/,"hà hơi qua miệng để sơ cứu"
31,Heart-to-heart,a,/ˌhɑːt tə ˈhɑːt/,"thành thật, chân tình"
32,Familiarize,v,/fəˈmɪliəraɪz/,"làm quen với"
33,Gauge,v,/ɡeɪdʒ/,"đo, định cỡ"
34,Grieve,v,/gri:v/,"gây đau buồn, gây đau lòng"
35,Idiomatic,a,/ˌɪdiəˈmætɪk/,"có tính thành ngữ"
36,Ill-mannered,a,/ˌɪlˈmænəd/,"thô lỗ, cộc cằn"
37,Well mannered,a,/ˌwelˈmænəd/,"lịch sự, tao nhã"
38,Incoherent,a,/ˌɪnkəʊˈhɪərənt/,"không mạch lạc, rời rạc"
39,Individual,a/n,/ˌɪndɪˈvɪdʒuəl/,"cá nhân"
40,Individuality,n,/ˌɪndɪˌvɪdʒuˈæləti/,"tính chất cá nhân"
41,Individualistic,a,/ˌɪndɪˌvɪdʒuəˈlɪstɪk/,"thuộc chủ nghĩa cá nhân"
42,Individualism,n,/ˌɪndɪˈvɪdʒuəlɪzəm/,"chủ nghĩa cá nhân"
43,Inspiring,a,/ɪnˈspaɪərɪŋ/,"truyền cả m h ứng"
44,Insult,n/v,/ɪnˈsʌlt/,"lăng mạ, sỉ nhục"
45,Intervene,v,/ˌɪntəˈviːn/,"xen vào, can thiệp"
46,Interfere,v,/ˌɪntəˈfɪər/,"quấy rầy, gây trở ngại"
47,Intercede,v,/ˌɪntəˈsiːd/,"đứng ra hòa giải"
48,Intersect,v,/ˌɪntəˈsekt/,"giao nhau"
49,Irredeemably,adv,/ˌɪrɪˈdiːməbli/,"không thể cứu vãn"
50,Irrevocably,adv,/ɪˈrevəkəbli/,"không thể thay đổi"
51,Irreparably,adv,/ɪˈrepərəbli/,"không thể sửa lại được"
52,Irreplaceably,adv,/ˌɪrɪˈpleɪsəbəli/,"không thể thay thế được"
53,Lament,v,/lə'ment/,"than vãn, rên rỉ"
54,Lick,v,/lɪk/,"liếm"
55,Linger,v,/ˈlɪŋɡər/,"chần chừ, nán lại"
56,Lionize,v,/ˈlaɪənaɪz/,"đối đãi như danh nhân"
57,Malformation,n,/ˌmælfɔːˈmeɪʃn/,"dị tật cơ thể"
58,Moan,v,/məʊn/,"than vãn, rên rỉ"
59,Mushrooming,n,/ˈmʌʃrʊm/,"việc đi hái nấm"
60,Norm,n,/nɔːm/,"quy phạm"
61,Ostracize,v,/ˈɒstrəsaɪz/,"tẩy chay"
