id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,I couldn't help ........................................ at his jokes.,laugh,laughing,to laugh,laughed,B,"can't help + V-ing: không thể nhịn được. Tạm dịch: Tôi không thể nhịn được cười câu chuyện hài hước của anh ấy."
2,"Tom offered ........................................ Jane a ticket to the theater, but she refused to take it.",to give,give,giving,to be given,A,"offer + to V: đề nghị làm gì; refuse + to V: từ chối làm gì. Tạm dịch: Tom đề nghị tặng Jane một chiếc vé nhưng cô ấy từ chối."
3,Those workers stopped ........................................ their coffee because they felt tired of their new work.,drink,drank,drinking,to drink,D,"stop + to V: dừng một việc để làm việc khác. Tạm dịch: Những công nhân đó dừng lại để uống cà phê vì mệt mỏi."
4,He asked them ........................................ .,help him,should help him,to help him,help to him,C,"ask sb + to V: đề nghị/yêu cầu ai làm gì. Tạm dịch: Anh ấy đề nghị họ giúp mình."
5,Mr Minh advised my family ........................................ leaving Vietnam.,to think,not to think,against,against to,C,"advise sb against + V-ing: khuyên ai không nên làm gì. Tạm dịch: Ông Minh khuyên gia đình tôi không nên rời Việt Nam."
6,I hope ........................................ that woman again.,to see,of seeing,seeing,have seen,A,"hope + to V: hi vọng làm gì. Tạm dịch: Tôi hi vọng gặp lại người phụ nữ đó."
7,She wasted much time ........................................ her old pair of shoes.,mend,to mend,mending,to be mended,C,"waste time + V-ing: lãng phí thời gian làm gì. Tạm dịch: Cô ấy lãng phí nhiều thì giờ vào việc sửa đôi giày cũ đó."
8,He regrets ........................................ lazy last year. He lost his job.,to be,be,been,being,D,"regret + V-ing: hối tiếc vì đã làm gì (trong quá khứ). Tạm dịch: Anh ấy hối hận vì năm trước đã lười nhác dẫn đến mất việc."
9,She remembered ........................................ that woman last month.,of seeing,to see,seeing,have seen,C,"remember + V-ing: nhớ đã làm gì. Tạm dịch: Cô ấy nhớ là đã gặp người phụ nữ đó tháng trước."
10,David tried his best ........................................,but his girlfriend refused ........................................ .,explaining; to listen,explaining; listening,to explain; to listen,to explain; listening,C,"try one’s best + to V: cố gắng hết sức; refuse + to V: từ chối. Tạm dịch: David cố giải thích nhưng bạn gái từ chối nghe."
11,We heard a baby ........................................ in a neighbouring village.,cry,to cry,cried,to crying,A,"hear sb + V(bare): nghe thấy toàn bộ sự việc đã xảy ra. Tạm dịch: Chúng tôi nghe thấy tiếng trẻ con khóc ở làng bên."
12,Willy denied ........................................ a whole bag of chocolate chip cookies before lunch.,eat,to eat,having eaten,eaten,C,"deny + V-ing/having Vp2: phủ nhận đã làm gì. Tạm dịch: Willy phủ nhận đã ăn hết cả hộp bánh trước bữa trưa."
13,I was delighted ........................................ my old friends again.,to see,seeing,seen,to be seen,A,"to be delighted + to V: vui sướng khi làm gì. Tạm dịch: Tôi rất vui khi gặp lại những người bạn cũ."
14,We regret ........................................ you that we cannot approve your suggestion.,inform,to inform,informing,informed,B,"regret + to V: lấy làm tiếc khi phải báo tin gì. Tạm dịch: Chúng tôi rất tiếc phải thông báo rằng không thể tán thành gợi ý của bạn."
15,Have you ever considered ........................................ a pharmacist?,become,becoming,to become,became,B,"consider + V-ing: xem xét/cân nhắc làm gì. Tạm dịch: Bạn đã từng cân nhắc việc trở thành dược sĩ chưa?"
16,You had better ........................................ at home until you feel better.,staying,stayed,to stay,stay,D,"had better + V-bare: tốt hơn hết nên làm gì. Tạm dịch: Tốt hơn hết bạn nên ở nhà cho đến khi khỏe hơn."
17,I remember ........................................ my mother said the grass in the garden needed ........................................ .,to hear; cutting,hear; cut,heard; to cut,hearing; cutting,D,"remember + V-ing: nhớ đã làm gì; S(vật) + need + V-ing: cái gì cần được làm (bị động)."
18,My teacher doesn't allow us ........................................ while he is explaining the lesson.,talk,to talk,talking,talked,B,"allow sb + to V: cho phép ai làm gì. Tạm dịch: Thầy giáo không cho chúng tôi nói chuyện khi đang giảng bài."
19,We have plenty of time. We needn't ........................................ .,hurry,to hurry,hurrying,hurried,A,"needn't + V-bare: không cần thiết phải làm gì. Tạm dịch: Chúng ta không cần phải vội."
20,I promised ........................................ on time. I mustn't ........................................ late.,be; be,to be; to be,to be; be,be; to be,C,"promise + to V: hứa làm gì; mustn't + V-bare: không được phép làm gì."
