id,tu_vung,tu_loai,phien_am,nghia
1,Accentuate,v,/əkˈsentʃueɪt/,"nhấn trọng âm"
2,Acquiesce,v,/ækwiˈes/,"bằng lòng"
3,Actuarial,a,/æktʃuˈeəriəl/,"thuộc tính toán bảo hiểm"
4,Administrator,n,/ədˈmɪnɪstreɪtər/,"người quản lí"
5,Ambassador,n,/æmˈbæsədər/,"đại sứ"
6,Amply,adv,/'æmpəli/,"một cách dư dả"
7,Analyst,n,/ˈænəlɪst/,"nhà phân tích"
8,Analytical,a,/ˌænəˈlɪtɪkəl/,"thuộc phân tích"
9,Analysis,n,/əˈnæləsɪs/,"sự phân tích"
10,Anthropologist,n,/ˌænθrəˈpɒlədʒɪst/,"nhà nhân loại học"
11,Archaeologist,n,/ˌɑːkiˈɒlədʒɪst/,"nhà khảo cổ học"
12,Bankruptcy,n,/ˈbæŋkrʌptsi/,"sự phá sản"
13,Bilingual,a,/ˌbaɪˈlɪŋɡwəl/,"song ngữ"
14,Blissfully,adv,/ˈblɪsfəli/,"một cách hạnh phúc, sung sướng"
15,Conscience,n,/ˈkɒnʃəns/,"lương tâm"
16,Cutback,n,/’kʌtbæk/,"sự cắt giảm"
17,Breakdown,n,/ˈbreɪkdaʊn/,"sự hỏng hóc"
18,Layout,n,/'leɪaʊt/,"bản mẫu"
19,Drop-back,n,/’drɒpbæk/,"sự bỏ lại, sự tụt lại"
20,Decorously,adv,/'dekərəsli/,"một cách lịch thiệp"
21,Demographics,n,/ˌdeməˈɡræfɪk/,"số liệu thống kê dân số"
22,Diligence,n,/'dɪlɪdʒəns/,"sự chăm chỉ"
23,Disengage,v,/ˌdɪsɪŋˈɡeɪdʒ/,"tách rời"
24,Dismissal,n,/dɪ'smɪsəl/,"sự sa thải"
25,Ecstatically,adv,/ɪk'stætɪkli/,"một cách ngây ngất, mê ly"
26,Employment,n,/ɪmˈplɔɪmənt/,"việc làm"
27,Employ,v,/ɪmˈplɔɪ/,"thuê"
28,Employee,n,/ɪmˈplɔɪi:/,"người làm công"
29,Employer,n,/ɪmˈplɔɪər/,"ông chủ"
30,Employable,a,/ɪmˈplɔɪəbəl/,"có thể thuê được"
31,Experimentation,n,/ɪkˌsperɪmenˈteɪʃn/,"sự thí nghiệm"
32,Ferociously,adv,/fəˈrəʊʃəsli/,"một cách hung tợn"
33,Gloomy,a,/'glu:mi/,"u ám, ảm đạm"
34,Idleness,n,/'aɪdəlnɪs/,"sự lười biếng, lười nhác"
35,Incompetence,n,/ɪnˈkɒmpɪtəns/,"sự thiếu khả năng"
36,Indolence,n,/ˈɪndələns/,"sự lười biếng"
37,Interim,a,/ˈɪntərɪm/,"lâm thời"
38,Intimately,adv,/ˈɪntɪmətli/,"một cách thân mật"
39,Intriguingly,adv,/ɪnˈtriːɡɪŋli/,"một cách ngấm ngầm"
40,Jubilantly,adv,/ˈdʒuːbɪləntli/,"một cách vui vẻ, hân hoan"
41,Legitimate,a,/lɪˈdʒɪtɪmət/,"hợp pháp"
42,Meteorologist,n,/ˌmiːtiəˈrɒlədʒɪst/,"nhà khí tượng học"
43,Meticulously,adv,/məˈtɪkjələsli/,"một cách tỉ mỉ, kĩ càng"
44,Multilingual,a,/ˌmʌltiˈlɪŋɡwəl/,"đa ngữ"
45,Negligence,n,/ˈneɡlɪdʒəns/,"tính cẩu thả"
46,Notably,adv,/ˈnəʊtəbli/,"đáng kể, đáng chú ý"
47,Occupation,n,/ˌɒkjuˈpeɪʃn/,"công việc"
48,Philanthropist,n,/fɪˈlænθrəpɪst/,"người nhân đức"
49,Provisional,a,/prəˈvɪʒənəl/,"tạm thời"
50,Punctuality,n,/ˌpʌŋktʃuˈæləti/,"sự đúng giờ"
51,Recruiter,n,/rɪˈkruːtər/,"nhà tuyển dụng"
52,Requisite,n,/ˈrekwɪzɪt/,"điều kiện tất yểu"
53,Revenue,n,/ˈrevənjuː/,"thu nhập"
54,Salary,n,/ˈsæləri/,"lương"
55,Wage,n,/weɪdʒ/,"lương (theo giờ)"
56,Bonus,n,/ˈbəʊnəs/,"thưởng"
57,Pension,n,/ˈpenʃən/,"lương hưu"
58,Scenario,n,/səˈnɑːriəʊ/,"viễn cảnh"
59,Segment,n,/ˈsegmənt/,"đoạn, khúc"
60,Spokesperson,n,/ˈspəʊksmən/,"người phát ngôn"
61,Substantially,adv,/səbˈstænʃəli/,"về thực chất, về căn bản"
62,Superficially,adv,/ˌsuːpəˈfɪʃəli/,"một cách hời hợt nông cạn, thiển cận"
63,Tactfully,adv,/ˈtæktfəli/,"một cách khéo léo trong cư xử, lịch thiệp"
64,Trainee,n,/ˌtreɪˈniː/,"thực tập sinh"
65,Undersized,a,/ˌʌndəˈsaɪzd/,"chưa đủ kích thước, dưới cỡ tiêu chuẩn, còi cọc"
66,Overused,a,/ˌəʊvəˈjuːz/,"lạm dụng"
67,Overstaffed,a,/ˌəʊvəˈstɑːft/,"thừa nhân viên"
68,Undercharged,a,/ˌʌndəˈtʃɑːdʒ/,"định giá thấp"
69,Upsurge,n,/ˈʌpsɜːdʒ/,"sự đột ngột tăng"
70,Upshot,n,/ˈʌpʃɒt/,"kết cục, kết luận"
71,Upkeep,n,/ˈʌpkiːp/,"sự bảo dưỡng"
72,Uproar,n,/ˈʌprɔːr/,"sự ồn ào, om xòm"
