id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"Not only __________ to determine the depth of the ocean floor, but it is also used to locate oil.",seismology is used,using seismology,is seismology used,to use seismology,C,"Đảo ngữ với 'Not only': Not only + trợ động từ/to be + S. Seismology là danh từ số ít nên đảo 'is' lên trước."
2,"__________ advised on what and how to prepare for the interview, he might have got the job.",Had he been,If he had,Unless he had been,Were he to be,A,"Đảo ngữ câu điều kiện loại 3: Had + S + Vp2. Diễn tả giả định không có thật trong quá khứ."
3,Not until 1856 __________ across the Mississippi River.,the first bridge was built,was the first bridge built,the first bridge built,did the first bridge build,B,"Đảo ngữ với 'Not until': Not until + mốc thời gian + mệnh đề đảo ngữ. Vì 'bridge' là vật nên dùng bị động 'was... built'."
4,"Only when you grow up, __________ the truth.",you will know,you know,do you know,will you know,D,"Đảo ngữ với 'Only when': Only when + clause + mệnh đề đảo ngữ. Ngữ cảnh tương lai nên dùng 'will you know'."
5,"__________, Mozart was an accomplished compose while still a child.",Remarkable as it seems,As it seems remarkable,No matter remarkable it seems,Remarkable however it seem,A,"Cấu trúc đảo tính từ chỉ sự tương phản: Adj + as/though + S + V (Dù... nhưng...)."
6,Out __________ for a walk after she finished doing her homework.,did Mary go,Mary went,Mary did go,went Mary,D,"Đảo ngữ toàn bộ với trạng từ chỉ phương hướng (Out): Adv + V + S. Khi chủ ngữ là danh từ (Mary) thì đảo cả động từ lên."
7,__________ she could not say anything.,So upset was she that,So upset was she,However upset was she that,Therefore upset was she that,A,"Cấu trúc đảo ngữ 'So... that': So + Adj + be + S + that + clause."
8,"__________ with my previous job, I would have won a higher promotion and I __________ in this unfortunate position now.",Unless I had stayed / am not,If I stayed / would not be,If had I stayed / will not be,Had I stayed / would not be,D,"Câu điều kiện loại trộn (loại 3 ở vế giả thiết và loại 2 ở vế kết quả hiện tại): Had + S + Vp2... S + would + V."
9,"Not only __________ to speak to him, but she also vowed never to see him again.",she refused,did she refuse,she did refuse,when she refused,B,"Đảo ngữ với 'Not only' đi với động từ thường ở quá khứ: Not only + did + S + V(nguyên thể)."
10,__________ an emergency arise call 911.,Should,If,Will,Were,A,"Đảo ngữ câu điều kiện loại 1: Should + S + V(nguyên thể). Dùng để đưa ra lời khuyên hoặc giả định có thể xảy ra."
11,Nowhere in the northern section of the United States __________ for growing citrus crops.,is there suitability of the climate,where the climate is suitable,the climate is suitable,is the climate suitable,D,"Đảo ngữ với trạng từ phủ định 'Nowhere': Nowhere + trợ động từ/to be + S."
12,Only after she had finished the course did she realize she __________ a wrong choice.,had made,has made,had been making,was making,A,"Hành động 'lựa chọn sai' xảy ra trước hành động 'nhận ra' trong quá khứ nên chia thì quá khứ hoàn thành (had made)."
13,Never __________ him stand on the deserted station platform.,will I forget to see,I will forget to see,will I forget seeing,I will forget seeing,C,"Đảo ngữ với 'Never'. 'Forget + V-ing' nghĩa là quên đã làm gì trong quá khứ."
14,The instructor blew his whistle and __________,off the runners were running,off ran the runners,off were running the runners,the runners runs off,B,"Đảo ngữ toàn bộ với trạng từ chỉ phương hướng (Off): Adv + V + S. Chú ý động từ 'ran' đảo lên trước chủ ngữ là danh từ."
15,Seldom __________ far enough north to disturb South Pacific shipping lanes.,Antarctic icebergs will move,will Antarctic icebergs move,will move Antarctic icebergs,move Antarctic icebergs will,B,"Đảo ngữ với trạng từ phủ định 'Seldom': Seldom + trợ động từ + S + V."
16,__________ will China be the first to use nuclear weapons.,At any time,At no time,At a time,At one time,B,"'At no time' tương đương với 'Never'. Cấu trúc: At no time + trợ động từ + S + V."
17,He listened so attentively that not a word __________,he had missed,he missed,he didn’t miss,did he miss,D,"Đảo ngữ với 'Not': Not + a/an + N + trợ động từ + S + V."
18,"We spent nearly 3 hours waiting outside the station, then out __________",the star came,did the star come,came the star,be the star coming,C,"Đảo ngữ với trạng từ chỉ phương hướng 'Out': Out + V + S (đảo nguyên động từ lên trước danh từ)."
19,"The African killer bees could not be handled safely, nor __________",their honey could be harvested,harvested could their honey be,could not their honey be harvested,could their honey be harvested,D,"Đảo ngữ với 'Nor': Vế trước phủ định, Nor + trợ động từ + S + V."
20,Down __________ when he was passing under the tree.,an apple fall,an apple fell,did an apple fall,fell an apple,D,"Đảo ngữ toàn bộ với trạng từ chỉ vị trí/phương hướng: Down + V + S. Dùng khi chủ ngữ là danh từ."
