id,cau_hoi,A,B,C,D,dap_an,giai_thich
41,"“To give someone a ring” is to ........................................ .",call him up,marry him,admire him,pick him up,A,"call sb up = give sb a ring: gọi điện cho ai"
42,"Because of heavy rain, the game was ........................................ for a few days.",taken out,put off,set up,gotten away,B,"put off: trì hoãn"
43,"What may happen if John will not arrive in time?",go along,count on,keep away,turn up,D,"turn up = arrive: đến nơi"
44,"Johnny sometimes visits his grandparents in the countryside.",calls on,keeps off,takes in,goes up,A,"call on = visit: ghé thăm"
45,"I do not use those things any more. You can ........................................ them away.",get,fall,throw,make,C,"throw away: vứt đi"
46,"At the station, we often see the sign “........................................ for pickpockets”.",Watch on,Watch out,Watch up,Watch at,B,"watch out for: coi chừng, cảnh giác"
47,"The passengers had to wait because the plane ........................................ off one hour late.",took,turned,cut,made,A,"take off: (máy bay) cất cánh"
48,"He ........................................ on many subjects at the meeting.",held down,held forth,held good,held over,B,"held forth: nói hăng hái/đề cập nhiều về chủ đề gì"
49,"If I had not held him ........................................ , he would have beaten you soundly.",back,over,by,out,A,"hold sb back: ngăn cản ai lại"
50,"Please let me ........................................ . I promise not to do it again.",off,on,up,in,A,"let sb off: tha thứ, không trừng phạt"
51,"He knows where the boy was hiding but he didn’t let ........................................ .",up,off,on,in,C,"let on: tiết lộ bí mật"
52,"He promised to deliver the stuff today and has let us ........................................ again.",up,on,off,down,D,"let sb down: làm ai thất vọng"
53,"It seems that the rain is letting ........................................ .",up,on,off,in,A,"let up: ngớt mưa, giảm cường độ"
54,"The traffic was held ........................................ by fog.",up,over,back,out,A,"hold up: làm tắc nghẽn giao thông"
55,"Because of the heavy rain, today the meeting will be held ........................................ until next week.",up,back,out,over,D,"hold over: hoãn lại"
56,"I would have been here sooner but the rain kept me ........................................ .",back,from,on,up with,A,"keep back: cản trở, giữ lại"
57,"Keep children ........................................ from the fire.",in with,from,away,back,C,"keep away from: tránh xa khỏi cái gì"
58,"It is the most important to keep ........................................ your neighbors.",touch with,up with,in with,away from,C,"keep in with sb: hòa thuận với ai"
59,"He promised to keep ........................................ us while he was abroad.",in touch with,up with,in with,away from,A,"keep in touch with: giữ liên lạc"
60,"I took ........................................ him at once, and we have been friends over since.",after,to,over,up,B,"take to sb: bắt đầu thích ai đó"
61,"Our teacher told us that if we don’t ........................................ the environment, our grandchildren may not even be able to carry on living.",look into,look out for,look after,look for,C,"look after: chăm sóc, bảo vệ môi trường"
62,"He may have deceived you, but he didn’t take me ........................................",in,off,over,up,A,"take sb in: lừa gạt ai"
63,"I can’t make ........................................ what he means.",up,for,out,after,C,"make out: hiểu được"
64,"They are all making ........................................ the exit.",after,out,for,against,C,"make for: tiến về hướng"
65,"The pain will soon pass ........................................ .",away,off,over,int,B,"pass off: mất dần, biến mất"
66,"We must make ........................................ some stories to explain our absence.",out,away,off,up,D,"make up: bịa đặt chuyện"
67,"Stephen always wanted to be an actor when he ........................................ up.",came,grew,brought,settled,B,"grow up: trưởng thành"
68,"The bus only stops here to ........................................ passengers.",put down,get on,get off,pick up,D,"pick up: đón khách"
69,"If anything urgent comes ........................................ , you can contact me at this number.",across,by,up,round,C,"come up: nảy sinh, xảy ra bất ngờ"
70,"Your daughter’s just started work, hasn’t she? How’s she getting ........................................ ?",by,on,out,in,B,"get on: tiến triển công việc"
71,"We had to turn ........................................ their invitation to lunch as we had a previous appointment .",over,out,up,down,D,"turn down: từ chối lời mời"
72,"He died ........................................ heart disease.",from,because,of,in,C,"die of + bệnh: chết vì bệnh gì"
73,"The elevator is not running today. It is ........................................ order.",to,out,out of,in,C,"out of order: bị hỏng"
74,"I explained ........................................ him what it meant.",to,about,over,from,A,"explain to sb: giải thích cho ai"
75,"Who will ........................................ the children while you go out to work?",look for,look up,look after,look at,C,"look after: chăm sóc trẻ"
76,"If you want to join this club, you must ........................................ this application form.",make up,write down,do up,fill in,D,"fill in: điền vào mẫu đơn"
77,"The water company will have to ........................................ off water supplies while repairs to the pipes are carried ........................................ .",take/ in,cut/ out,set/ up,break/ to,B,"cut off: cắt nước / carry out: tiến hành sửa chữa"
78,"They were 30 minutes later because their car ........................................ down.",got,put,cut,broke,D,"break down: xe bị hỏng"
79,"That problem is ........................................ them. We can’t make ........................................ our mind yet.",out off/ on,up to/ up,away from/ for,on for/ off,B,"be up to sb: tùy ai quyết định / make up one's mind: quyết định"
80,"Do you want to stop in this town, or shall we ........................................ ?",turn on,turn off,go on,look after,C,"go on: tiếp tục đi tiếp"
