id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,disease,humor,cancer,cattle,A,"A. disease /dɪ'ziːz/ (âm tiết 2). B. humor /'hjuːmər/ (âm tiết 1). C. cancer /'kænsər/ (âm tiết 1). D. cattle /'kætl/ (âm tiết 1)."
2,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,persuade,reduce,increase,offer,D,"D. offer /'ɒfə/ (âm tiết 1). Các từ còn lại: persuade /pə'sweɪd/ (2), reduce /rɪ'djuːs/ (2), increase /ɪn'kriːs/ (2)."
3,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,appoint,gather,threaten,vanish,A,"A. appoint /ə'pɔɪnt/ (âm tiết 2). Các từ còn lại trọng âm âm tiết 1: gather /'gæðə/, threaten /'θretn/, vanish /'vænɪʃ/."
4,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,explain,provide,finish,surprise,C,"C. finish /'fɪnɪʃ/ (âm tiết 1). Các từ còn lại trọng âm âm tiết 2: explain /ɪk'spleɪn/, provide /prə'vaɪd/, surprise /sə'praɪz/."
5,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,beauty,easy,lazy,reply,D,"D. reply /rɪ'plaɪ/ (âm tiết 2). Các từ còn lại trọng âm âm tiết 1: beauty /'bjuːti/, easy /'iːzi/, lazy /'leɪzi/."
6,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,significant,convenient,fashionable,traditional,C,"C. fashionable /'fæʃnəbl/ (âm tiết 1). Các từ còn lại âm tiết 2: significant /sɪg'nɪfɪkənt/, convenient /kən'viːnɪənt/, traditional /trə'dɪʃənl/."
7,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,contrary,graduate,document,attendance,D,"D. attendance /ə'tendəns/ (âm tiết 2). Các từ còn lại âm tiết 1: contrary /'kɒntrəri/, graduate /'grædʒuət/, document /'dɒkjumənt/."
8,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,emphasize,contribute,maintenance,heritage,B,"B. contribute /kən'trɪbjuːt/ (âm tiết 2). Các từ còn lại âm tiết 1: emphasize /'emfəsaɪz/, maintenance /'meɪntənəns/, heritage /'herɪtɪdʒ/."
9,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,committee,referee,employee,refugee,A,"A. committee /kə'mɪti/ (âm tiết 2). Các từ còn lại tận cùng -ee trọng âm rơi vào chính nó (âm tiết 3)."
10,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,apprehension,preferential,conventional,Vietnamese,C,"C. conventional /kən'venʃənl/ (âm tiết 2). Các từ còn lại trọng âm âm tiết 3."
