id,tu_vung,tu_loai,phien_am,nghia
1,Accentuate,v,/əkˈsentʃueɪt/,"nhấn mạnh, làm nổi bật, nêu bật"
2,Argument,n,/ˈɑːɡjumənt/,"sự tranh cãi"
3,Agreement,n,/əˈɡriːmənt/,"sự đồng tình"
4,Approval,n,/əˈpruːvl/,"sự tán thành"
5,Quarrel,n n,/ˈkwɒrəl/,"sự cãi nhau, sự tranh chấp"
6,Authoritative,a,/ɔːˈθɒrətətɪv/,"có thẩm quyền"
7,Authority,n,/ɔːˈθɒrəti/,"quyền uy, quyền thế"
8,Authorize,v,/ˈɔːθəraɪz/,"ủy quyền"
9,Blueprint,n,/ˈbluːprɪnt/,"bản thiết kế"
10,Census,n,/ˈsensəs/,"sự điều tra dân số"
11,Censure,n,/ˈsensər/,"sự phê bình, khiển trách"
12,Censurable,a,/ˈsensərəbl/,"phê bình, khiển trách nặng"
13,Censor,n,/ˈsensər/,"người thẩm định"
14,Coercive,a,/kəʊˈɜːsɪv/,"bắt buộc"
15,Complementary,a,/ˌkɒmplɪˈmentri/,"bù, bổ sung vào"
16,Consequential,a,/ˌkɒnsɪˈkwenʃl/,"hậu quả"
17,Controversy,n,/ˈkɒntrəvɜːsi/,"sự tranh luận, sự tranh cãi"
18,Controversial,a,/ˌkɒntrəˈvɜːʃl/,"tranh luận, tranh cãi"
19,Corporation,n,/ˌkɔːpəˈreɪʃn/,"tập đoàn, công ty kinh doanh"
20,Cooperation,n,/kəʊˌɒpəˈreɪʃn/,"sự hợp tác"
21,Operation,n,/ˌɒpəˈreɪʃn/,"sự hoạt động"
22,Coloration,n,/ˌkʌləˈreɪʃn/,"sự tô màu, sự nhuộm màu"
23,Countably,adv,/ˈkaʊntəbli/,"có thể đếm được"
24,Degradation,n,/ˌdeɡrəˈdeɪʃn/,"sự thoái hóa, sự suy thoái"
25,Densely,adv,/ˈdensli/,"dày đặc, rậm rạp, đông đúc"
26,Density,n,/ˈdensəti/,"mật độ"
27,Deprivation,n,/ˌdeprɪˈveɪʃn/,"sự tước đoạt, sự thiếu mất"
28,Deterioration,n,/dɪˌtɪəriəˈreɪʃn/,"sự làm hỏng, sự hư hỏng"
29,Domineering,a,/ˌdɒmɪˈnɪərɪŋ/,"áp bức, độc đoán, hống hách"
30,Downward,a,/ˈdaʊnwəd/,"hạ xuống, trở xuống"
31,Equilibrium,n,/ˌiːkwɪˈlɪbriəm/,"thăng bằng, cân bằng"
32,Exclusive,a,/ɪkˈskluːsɪv/,"dành riêng cho, độc quyền"
33,Explosion,n,/ɪkˈspləʊʒn/,"sự nổ"
34,Explode,v,/ɪkˈspləʊd/,"nổ"
35,Explosive,,/ɪkˈspləʊsɪv/,"thuốc nổ, gây nổ, dễ nổ"
36,Extension,n,/ɪkˈstenʃn/,"sự mở rộng"
37,Expansion,n,/ɪkˈspænʃn/,"sự mở rộng, sự bành trướng"
38,Enlargement,n,/ɪnˈlɑːdʒmənt/,"sự phóng to, sự mở rộng"
39,Surplus,n,/ˈsɜːpləs/,"phần dư, phần thừa"
40,Fertility,n,/fəˈtɪləti/,"khả năng sinh sản"
41,Fetus,n,/ˈfiːtəs/,"thai nhi"
42,Fluctuate,v,/ˈflʌktʃueɪt/,"dao động"
43,Fluctuation,n,/ˌflʌktʃuˈeɪʃn/,"sự dao động"
44,Gender,n,/ˈdʒendə(r)/,"giống"
45,Germinate,v,/ˈdʒɜːmɪneɪt/,"nảy mầm"
46,Guarantee,n,/ˌɡærənˈtiː/,"sự bảo đảm"
47,Implementation,n,/ˌɪmplɪmenˈteɪʃn/,"sự thi hành"
48,Implement,v,/ˈɪmplɪment/,"thi hành"
49,Impoverishment,n,/ɪmˈpɒvərɪʃmənt/,"sự bần cùng hóa"
50,Incentive,n,/ɪnˈsentɪv/,"sự khuyến khích, sự khích lệ"
51,Insurance,n,/ɪnˈʃʊərəns/,"sự bảo hiểm"
52,Inundate,v,/ˈɪnʌndeɪt/,"tràn ngập"
53,Metropolitan,a,/ˌmetrəˈpɒlɪtən/,"thuộc thủ đô, thuộc trung tâm"
54,Mindset,n,/ˈmaɪndset/,"tư duy"
55,Momentous,a,/məˈmentəs/,"quan trọng, chủ yếu"
56,Parallel,n,/ˈpærəlel/,"đường song song"
57,Patriarchic,a,/ˈpeɪtriɑːkik/,"thuộc phụ hệ, gia trưởng"
58,Percentage,n,/pəˈsentɪdʒ/,"tỉ lệ phần trăm"
59,Percent,n,/pəˈsent/,"phần trăm"
60,Policymaker,n,/ˈpɒləsiˈmeɪkə(r)/,"người hoạch định chính sách"
61,Population,n,/ˌpɒpjuˈleɪʃn/,"dân số"
62,Populate,v,/ˈpɒpjuleɪt/,"ở, cư trú"
63,Populous,a,/ˈpɒpjələs/,"đông dân cư"
64,Populated,a,/ˈpɒpjuleɪt/,"định cư, cư trú"
65,Pressure,n,/ˈpreʃə(r)/,"áp lực"
66,Pressurize,v,/ˈpreʃəraɪz/,"gây áp lực, gây sức ép"
67,Pressurization,n,/ˌpreʃəraɪˈzeɪʃn/,"sự gây áp lực, sức ép"
68,Presumably,adv,/prɪˈzjuːməbli/,"có lẽ"
69,Procedure,n,/prəˈsiːdʒə(r)/,"thủ tục, quy trình"
70,Productivity-based,a,/ˌprɒdʌkˈtɪvəti - beɪst/,"dựa trên năng suất"
71,Prosperity,n,/prɒˈsperəti/,"sự thịnh vượng"
72,Racism,n,/ˈreɪsɪzəm/,"chủ nghĩa phân biệt chủng tộc"
73,Racial,a,/ˈreɪʃl/,"đặc trưng cho chủng tộc"
74,Race,n,/reɪs/,"chủng tộc"
75,Ratio,n,/ˈreɪʃiəʊ/,"tỷ số"
76,Refraction,n,/rɪˈfrækʃn/,"sự khúc xạ"
77,Reinsurance,n,/ˌriːɪnˈʃʊərəns/,"sự tái bảo hiểm"
78,Reoriented,a,/riˈɔːrient/,"thay đổi quan điểm, thay đổi thái độ"
79,Replenish,v,/rɪˈplenɪʃ/,"làm đầy lại"
80,Restrict,v,/rɪˈstrɪkt/,"hạn chế"
81,Restriction,n,/rɪˈstrɪkʃn/,"sự hạn chế"
82,Restrictive,a,/rɪˈstrɪktɪv/,"bị hạn chế"
83,Roughly,adv,/ˈrʌfli/,"xấp xỉ, thô ráp"
84,Seniority-based,a,/ˌsiːniˈɒrəti - beɪst/,"nền tảng thâm niên"
85,Sexuality,n,/ˌsekʃuˈæləti/,"bản năng sinh dục"
86,Sexual,a,/ˈsekʃuəl/,"thuộc giới tính"
87,Starvation,n,/stɑːˈveɪʃn/,"sự chết đói"
88,Strategically,adv,/strəˈtiːdʒɪkli/,"một cách có chiến lược"
89,Strategic,a,/strəˈtiːdʒɪk/,"có kế hoạch, có chiến lược"
90,Strategy,n,/ˈstrætədʒi/,"chiến lược"
91,Ultrasound,n,/ˈʌltrəsaʊnd/,"siêu âm, sóng siêu âm"
92,Violate,v,/ˈvaɪəleɪt/,"vi phạm, làm trái (luật...)"
93,Violation,n,/ˌvaɪəˈleɪʃn/,"sự vi phạm"
94,Wastefully,adv,/ˈweɪstfəli/,"một cách lãng phí"
95,Scarcely,adv,/ˈskeəsli/,"hầu như không"
96,Sparely,adv,/ˈspeərli/,"một cách thanh đạm"
97,Sparsely,adv,/ˈspɑːsli/,"một cách rải rác, thưa thớt"
