id,tu_vung,tu_loai,phien_am,nghia
1,Alternative,a/n,/ɔl'tɜ:nətɪv/,"thay thế, thay phiên nhau"
2,Alternation,n,/ˌɔltə'neɪʃən/,"sự xen kẽ, sự luân phiên"
3,Apatite,n,/'æpətaɪt/,"a-pa-tít"
4,Artificial,a,/ˌɑ:tɪ'fɪʃəl/,"nhân tạo"
5,Authentic,a,/ɔ:'θentɪk/,"chuẩn xác, thật"
6,Bauxite,n,/'bɔ:ksaɪt/,"bô-xít"
7,Biodegradable,a,/ˌbaɪəʊdɪ'greɪdəbəl/,"có thể bị vi khuẩn phân hủy"
8,Boundless,a,/'baʊndləs/,"bao la, bát ngát"
9,Campaign,n,/kæm'peɪn/,"chiến dịch"
10,Capitalize,v,/'kæpɪtəlaɪz/,"tư bản hóa, dùng làm vốn"
11,Capital,n,/'kæpɪtəl/,"thủ đô, tiền vốn, tư bản"
12,Capitalist,n,/'kæpɪtəlɪst/,"nhà tư bản"
13,Capitalism,n,/'kæpɪtəlɪzəm/,"chủ nghĩa tư bản"
14,Consume,v,/kən'sju:m/,"tiêu thụ"
15,Consumer,n,/kən'sju:mər/,"người tiêu thụ"
16,Consummation,n,/ˌkɒnsə'meɪʃən/,"sự làm xong, sự hoàn thành"
17,Consumption,n,/kən'sʌmpʃən/,"sự tiêu thụ"
18,Decayed,a,/dɪ'keɪd/,"bị sâu, bị mục rỗng"
19,Delivery,n,/dɪ'lɪvəri/,"sự giao hàng, sự chuyển phát"
20,Deliver,v,/dɪ'lɪvər/,"giao hàng, chuyển phát"
21,Devastate,v,/'devəsteɪt/,"tàn phá"
22,Devastation,n,/ˌdevə'steɪʃən/,"sự tàn phá"
23,Energetic,a,/ˌenə'dʒetɪk/,"tràn đầy năng lượng"
24,Energy,n,/'enədʒi/,"năng lượng"
25,Enkindle,v,/ɪn'kɪndl/,"nhen nhóm"
26,Enterprise,n,/'entəpraɪz/,"hãng, tổ chức kinh doanh"
27,Exhaustion,n,/ɪg'zɔ:stʃən/,"sự cạn kiệt"
28,Exhaust,v,/ɪg'zɔ:st/,"làm cạn kiệt"
29,Exhaustive,a,/ɪg'zɔ:stɪv/,"thấu đáo, toàn diện"
30,Exhausting,a,/ɪg'zɔ:stɪŋ/,"kiệt sức, cạn kiệt"
31,Expenditure,n,/ɪk'spendɪtʃər/,"sự chi tiêu"
32,Exploit,v,/ɪk'splɔɪt/,"khai thác"
33,Exploitation,n,/ˌeksplɔɪ'teɪʃən/,"sự khai thác"
34,Extinguish,v,/ɪk'stɪŋgwɪʃ/,"dập tắt"
35,Fossil fuel,np,/'fɒsəl ˌfjuəl/,"nhiên liệu hóa thạch"
36,Geodetic,a,/ˌdʒi:əʊ'detɪk/,"thuộc đo đạc"
37,Geothermal,a,/ˌdʒi:əʊ'θɜ:məl/,"thuộc địa nhiệt"
38,Granite,n,/'grænɪt/,"đá granit"
39,Harness,v,/'hɑ:nəs/,"khai thác"
40,Homogeneous,a,/ˌhɒmə'dʒi:niəs/,"thuần nhất, đồng nhất"
41,Implement,v,/'ɪmplɪmənt/,"thi hành, thực hiện"
