id,tu_vung,tu_loai,phien_am,nghia
1,Astronaut,n,/'æstrənɔ:t/,"phi hành gia"
2,Bubble,n,/'bʌbəl/,"bong bóng, bọt khí"
3,Charity,n,/'tʃærəti/,"sự từ thiện"
4,Charitable,a,/'tʃærətəbəl/,"từ thiện"
5,Cognitive,a,/'kɒgnətɪv/,"liên quan đến nhận thức"
6,Community,n,/kə'mju:nəti/,"cộng đồng"
7,Considerate,a,/kən'sɪdərət/,"ân cần, chu đáo"
8,Considerable,a,/kən'sɪdərəbəl/,"đáng kể"
9,Disadvantaged,a,/ˌdɪsəd'vɑ:ntɪdʒd/,"thiệt thòi"
10,Discrimination,n,/dɪˌskrɪmɪ'neɪʃən/,"sự phân biệt"
11,Disorientate,v,/dɪ'sɔ:riənteɪt/,"làm mất phương hướng"
12,Dominance,n,/'dɒmɪnəns/,"địa vị thống trị"
13,Donate,v,/dəʊ'neɪt/,"quyên góp"
14,Donation,n,/dəʊ'neɪʃən/,"sự quyên góp"
15,Donor,n,/'dəʊnər/,"người quyên góp"
16,Dynamic,a,/daɪ'næmɪk/,"năng động, năng nổ"
17,Energetic,a,/ˌenə'dʒetɪk/,"tràn đầy năng lượng"
18,Financial,a,/faɪ'nænʃəl/,"thuộc tài chính"
19,Finance,n,/'faɪnəns/,"tài chính"
20,Frustration,n,/frʌs'treɪʃən/,"sự thất vọng, vỡ mộng"
21,Homeless,a,/'həʊmləs/,"vô gia cư"
22,Honorable,a,/'ɒnərəbəl/,"vinh dự"
23,Horizontal,a,/ˌhɒrɪ'zɒntəl/,"thuộc chân trời"
24,Horizon,n,/hə'raɪzən/,"chân trời, đường chân trời"
25,Hostile,a,/'hɒstaɪl/,"thù địch"
26,Illiteracy,n,/ɪ'lɪtərəsi/,"tình trạng mù chữ"
27,Impairment,n,/ɪm'peəmənt/,"sự làm suy yếu"
28,Impoverished,a,/ɪm'pɒvərɪʃt/,"nghèo túng"
29,Investment,n,/ɪn'vestmənt/,"sự đầu tư"
30,Irritation,n,/ˌɪrɪ'teɪʃən/,"sự chọc tức, làm phát cáu"
31,Long-duration,a,/ˌlɒŋ djuə'reɪʃən/,"lâu dài"
32,Martyr,n,/'mɑ:tər/,"liệt sĩ"
33,Meaningful,a,/'mi:nɪŋfəl/,"có ý nghĩa"
34,Meaningless,a,/'mi:nɪŋləs/,"vô nghĩa"
35,Miserable,a,/'mɪzərəbəl/,"khốn cùng, cùng cực"
36,Module,n,/'mɒdʒu:l/,"mô đun"
37,Motivation,n,/ˌməʊtɪ'veɪʃən/,"động lực"
38,Parentless,a,/'peərəntləs/,"mồ côi cha mẹ"
39,Pharmacy,n,/'fɑ:məsi/,"quầy thuốc"
40,Priority,n,/praɪ'ɒrəti/,"sự ưu tiên, ưu thế"
41,Privileged,a,/'prɪvəlɪdʒd/,"có đặc quyền"
42,Prospect,n,/'prɒspekt/,"viễn cảnh"
43,Purposefully,adv,/'pɜ:pəsfəli/,"một cách có mục đích"
44,Reckon,v,/'rekən/,"tính đến, kể đến"
45,Solitary,a,/'sɒlɪtəri/,"cô độc"
46,Spiritual,a,/'spɪrɪtʃuəl/,"thuộc tinh thần, thuộc linh hồn"
47,Stably,adv,/'steɪbli/,"một cách ổn định"
48,Stagnation,n,/stæg'neɪʃən/,"sự trì trệ"
49,Symbiotic,a,/ˌsɪmbaɪ'ɒtɪk/,"cộng sinh"
50,Volunteer,n/v,/ˌvɒlən'tɪər/,"tình nguyện viên, tình nguyện"
51,Voluntary,a,/'vɒləntəri/,"tình nguyện, tự nguyện"
52,Voluntarily,adv,/'vɒləntrəli/,"một cách tình nguyện"
53,Volunteerism,n,/ˌvɒlən'tɪərɪzəm/,"chủ nghĩa tự nguyện"
54,Weightlessness,n,/'weɪtləsnəs/,"không trọng lượng"
