id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"In Vietnam it is normally _____ in the South than in the North.",hot,hotter,hottest,hoter,B,"Trong câu có ""than"" nên ta sử dụng so sánh hơn. ""Hot"" là tính từ ngắn kết thúc bằng 1 nguyên âm + 1 phụ âm nên ta gấp đôi phụ âm trước khi thêm -er."
2,"The food is _____ than the last time I ate it.",badder,bad,worse,worst,C,"Trong câu có ""than"" nên ta sử dụng so sánh hơn. ""Bad"" là tính từ đặc biệt."
3,"Ho Chi Minh city is _____ than Hanoi.",big,bigger,biggest,biger,B,"Trong câu có ""than"" nên ta sử dụng so sánh hơn. ""Big"" là tính từ ngắn kết thúc bằng 1 nguyên âm + 1 phụ âm nên ta gấp đôi phụ âm trước khi thêm -er."
4,"Her voice is _____ than her sister's.",beautiful,more beautiful,beautifully,more beautifully,B,"Trong câu có ""than"" nên ta sử dụng so sánh hơn. Động từ ""to be"" đi kèm với tính từ."
5,"Her literature result is much _____ than it was last year.",good,well,more well,better,D,"Trong câu có ""than"" nên ta sử dụng so sánh hơn. ""Good"" là tính từ đặc biệt."
6,"Cinderella danced _____ than any other girls at the ball.",more graceful,gracefuler,gracefully,more gracefully,D,"Trong câu có ""than"" nên ta sử dụng so sánh hơn. Động từ ""danced"" đi kèm với trạng từ."
7,"This book is the _____ of all.",bored,boring,more boring,most boring,D,"Trong câu có ""the"" nên ta sử dụng so sánh nhất. ""Boring"" là tính từ dài."
8,"Mary speaks English very _____.",fluent,fluently,more fluently,most fluently,B,"Trong câu thiếu một trạng từ bổ nghĩa cho động từ ""speak""."
9,"Tom runs faster than John and David runs the _____ in the group.",fast,most fast,fastest,most fastly,C,"Trong ý sau có ""the"" nên ta sử dụng so sánh nhất. ""Fast"" là trạng từ ngắn."
10,"There is nothing _____ than going swimming in hot weather.",gooder,good,better,best,C,"Trong câu có ""than"" nên ta sử dụng so sánh hơn. ""Good"" là tính từ đặc biệt."
11,"Mary is _____ responsible as Peter.",more,the most,much,as,D,"Trong câu có ""as"" nên ta sử dụng so sánh bằng."
12,"She is _____ student in my class.",most hard-working,more hard-working,the most hard-working,as hard-working,C,"Trong câu so sánh ""she"" với tất cả học sinh còn lại trong lớp nên ta dùng so sánh nhất."
13,"He drives _____ his brother.",more careful than,more carefully,more carefully than,as careful as,C,"Trong câu so sánh ""he"" và ""his"" brother nên ta dùng so sánh hơn. Động từ ""drives"" đi với trạng từ."
14,"Tuan writes more _____ with fewer mistakes than the previous term.",careless,careful,carefully,carelessly,C,"Trong câu có ""than"" nên ta sử dụng so sánh hơn. Động từ ""writes"" đi với trạng từ. Nghĩa của câu là ít lỗi hơn nên trạng từ phải là cẩn thận hơn."
15,"My father is happy because I get _____ results at school.",bad,good,intelligent,well,B,"Trong câu cần một tính từ bổ nghĩa cho danh từ ""results"". Nghĩa của câu trước là bố tôi cảm thấy vui nên tính từ phải là ""good""."
16,"Peter does better at school because he works _____.",harder,more carelessly,more lazily,worse,A,"Vì câu trước là ""Peter"" học tốt hơn ở trường nên trạng từ mô tả cho câu sau phải mang nghĩa tích cực (học hành chăm chỉ hơn)."
17,"He can do sums more _____ and read faster.",badly,quickly,difficultly,fastly,B,"Dựa vào ý sau là đọc nhanh hơn nên ý trước phải là làm tính cộng nhanh hơn."
18,"Jane is not _____ her brother.",more intelligent as,intelligent as,so intelligent as,so intelligent that,C,"Trong câu so sánh ""Jane"" và ""her brother"" và có ""not"". Xét các phương án thì chỉ có C (so sánh bằng) là phù hợp về cấu trúc."
19,"She is a very _____ pupil. She spends most of her time studying.",hard-working,difficult,hard,easy,A,"Trong câu cần một tính từ bổ nghĩa cho danh từ ""pupil"". Vì cô ấy dành hầu hết thời gian cho việc học nên cô ấy là một học sinh chăm chỉ."
20,"My English this term is _____ than that of last year.",good,gooder,better,best,C,"Trong câu có ""than"" nên ta sử dụng so sánh hơn. ""Good"" là tính từ đặc biệt."
21,"_____ you study for these exams, _____ you will do.",The harder / the better,The more / the much,The hardest / the best,The more hard / the more good,A,"Trong câu sử dụng so sánh kép. ""Hard"" là tính từ ngắn và ""good"" là tính từ đặc biệt. (Bạn càng học tập cho các kì thi này chăm chỉ, thì bạn càng làm tốt chúng)."
22,"My neighbor is driving me mad! It seems that _____ it is at night, _____ he plays his music!",the less / the more loud,the less / less,the more late / the more loudlier,the later / the louder,D,"Trong câu sử dụng so sánh kép. ""Late"" và ""loud"" là trạng từ ngắn. Dựa theo nghĩa, người hàng xóm này đang làm tôi phát điên. Dường như là đêm càng muộn thì anh ta chơi nhạc càng to."
23,"Thanks to the progress of science and technology, our lives have become _____.",more and more good,better and better,the more and more good,gooder and gooder,B,"Trong câu sử dụng so sánh kép. ""Good"" là tính từ đặc biệt."
24,"The Sears Tower is _____ building in Chicago.",taller,the more tall,the tallest,taller and taller,C,"Trong câu so sánh ""the Sears Tower"" với các toà nhà còn lại ở ""Chicago"" nên ta dùng so sánh nhất."
25,"Peter is _____ John.",younger and more intelligent than,more young and intelligent than,more intelligent and younger than,the more intelligent and younger than,A,"Trong câu so sánh ""Peter"" và ""John"" nên ta dùng so sánh hơn. ""Young"" là tính từ ngắn và ""intelligent"" là tính từ dài."
26,"San Diego is _____ town in Southern California.",more nice and nice,the nicer,the nicest,nicer and nicer,C,"Trong câu so sánh ""the San Diego"" với thị trấn còn lại ở ""Southern California"" nên ta dùng so sánh nhất."
27,"It gets _____ when the winter is coming.",cold and cold,the coldest and coldest,colder and colder,more and more cold,C,"Trong câu sử dụng so sánh kép. ""Cold"" là tính từ ngắn."
28,"The faster we finish _____.",the sooner we can leave,we can leave sooner and sooner,the sooner can we leave,we can leave the sooner,A,"Trong câu sử dụng so sánh kép. Chúng ta áp dụng công thức: The + comparative + S + V, the + comparative + S + V. (Chúng ta hoàn thành càng nhanh, chúng ta càng có thể về sớm)."
29,"Of all athletes, Alex is _____.",the less qualified,the less and less qualified,the more and more qualified,the least qualified,D,"Trong câu so sánh ""Alex"" với các cầu thủ còn lại nên ta dùng so sánh nhất."
30,"The faster Thanh walk  _____.",more tired,the more tired he gets,he gets tired,he gets more tired,B,"Trong câu sử dụng so sánh kép. Chúng ta áp dụng công thức: The + comparative + S + V, the + comparative + S + V. (Thanh đi bộ càng nhanh, anh ấy càng mệt)."
