id,tu_vung,tu_loai,phien_am,nghia
1,Abolish,v,/əˈbɒlɪʃ/,"bãi bỏ"
2,Academic,a,/ˌækəˈdemɪk/,"thuộc học viện"
3,Academics,n,/ˌækəˈdemɪks/,"các môn học tại học viện"
4,Academy,n,/əˈkædəmi/,"học viện"
5,Accommodation,n,/əˌkɒməˈdeɪʃən/,"chỗ ở"
6,Administration,n,/ədˌmɪnɪˈstreɪʃən/,"sự quản lí"
7,Auditory,a,/ˈɔːdɪtəri/,"thuộc thính giác"
8,Augment,v,/ɔːɡˈment/,"gia tăng, tăng thêm"
9,Bachelor,n,/ˈbætʃələr/,"cử nhân"
10,Care-taker,n,/ˈkeəˌteɪkər/,"người quản gia"
11,Compulsory,a,/kəmˈpʌlsəri/,"bắt buộc"
12,Compel,n,/kəmˈpel/,"sự bắt buộc"
13,Construction,n,/kənˈstrʌkʃən/,"cấu trúc, sự xây dựng"
14,Constructive,a,/kənˈstrʌktɪv/,"có tính cách xây dựng"
15,Construct,v,/kənˈstrʌkt/,"xây dựng, kiến thiết"
16,Cram,v,/kræm/,"nhồi nhét"
17,Daunting,a,/ˈdɔːntɪŋ/,"nản chí"
18,Degree,n,/dɪˈɡriː/,"bằng cấp"
19,Certificate,n,/səˈtɪfɪkət/,"chứng nhận"
20,Diploma,n,/dɪˈpləʊmə/,"chứng chỉ, văn bằng"
21,Qualification,n,/ˌkwɒlɪfɪˈkeɪʃən/,"trình độ"
22,Deplorable,a,/dɪˈplɔːrəbəl/,"tồi tệ, tệ hại"
23,Determination,n,/dɪˌtɜːmɪˈneɪʃən/,"sự quyết tâm, sự xác định"
24,Diligent,a,/ˈdɪlɪdʒənt/,"cần cù, chuyên cần"
25,Discipline,n,/ˈdɪsəplɪn/,"kỷ luật"
26,Dolefully,adv,/ˈdəʊlfəli/,"một cách u sầu"
27,Encouragement,n,/ɪnˈkʌrɪdʒmənt/,"sự cổ vũ, sự động viên"
28,Courage,n,/ˈkʌrɪdʒ/,"dũng khí, sự can đảm"
29,Endurance,n,/ɪnˈdjʊərəns/,"sự chịu đựng"
30,Enrolment,n,/ɪnˈrəʊlmənt/,"sự kết nạp, sự đăng kí"
31,Evaluate,v,/ɪˈvæljueɪt/,"định giá, ước lượng"
32,Evaluation,n,/ɪˌvæljuˈeɪʃən/,"sự định giá, sự ước lượng"
33,Exasperate,v,/ɪɡˈzɑːspəreɪt/,"làm ai đó bực tức, phát cáu"
34,Expel,v,/ɪkˈspel/,"đuổi học"
35,Deport,v,/dɪˈpɔːt/,"trục xuất"
36,Eject,v,/ɪˈdʒekt/,"đuổi ra"
37,Exile,v,/ˈeksaɪl/,"lưu đày"
38,Flip-chart,n,/ˈflɪp ˌtʃɑːt/,"bảng kẹp giấy"
39,Giftedness,n,/ˈɡɪftɪdnəs/,"sự có tài, có năng khiếu"
40,Independent/private school,,/ˌɪndɪˈpendənt/ˈpraɪvət ˈskuːl/,"trường tư thục"
41,Instinctively,adv,/ɪnˈstɪŋktɪvli/,"một cách bản năng"
42,Institution,n,/ˌɪnstɪˈtjuːʃən/,"học viện"
43,Kinesthetic,a,/ˌkɪnɪsˈθetɪk/,"thuộc cảm giác vận động"
44,Majority,n,/məˈdʒɒrəti/,"đa số"
45,Minority,n,/maɪˈnɒrəti/,"thiểu số"
46,Moderately,adv,/ˈmɒdərətli/,"một cách vừa phải"
47,Mortgage,n,/ˈmɔːɡɪdʒ/,"vật thế chấp"
48,Obstruction,n,/əbˈstrʌkʃən/,"sự cản trở, sự làm tắc nghẽn"
49,Outcome,n,/ˈaʊtkʌm/,"kết quả, đầu ra"
50,Outburst,n,/ˈaʊtbɜːst/,"sự bộc phát (cảm xúc...)"
51,Outbreak,n,/ˈaʊtbreɪk/,"sự bùng phát (dịch bệnh...)"
52,Outset,n,/ˈaʊtset/,"sự bắt đầu, sự khởi đầu"
53,Pathetically,adv,/pəˈθetɪkli/,"một cách thương tâm"
54,Postgraduate,n,/ˌpəʊstˈɡrædʒuət/,"nghiên cứu sinh"
55,Undergraduate,n,/ˌʌndəˈɡrædʒuət/,"sinh viên chưa tốt nghiệp"
56,Graduation,n,/ˌɡrædʒuˈeɪʃən/,"sự tốt nghiệp"
57,Graduate,n/v,/ˈɡrædʒuət/,"(người) tốt nghiệp"
58,Prestigious,a,/presˈtɪdʒəs/,"có uy tín, có thanh thế"
59,Profoundly,adv,/prəˈfaʊndli/,"một cách sâu sắc"
60,Requisite,n,/ˈrekwɪzɪt/,"điều kiện thiết yếu"
61,Respectable,a,/rɪˈspektəbəl/,"đáng kính trọng, tôn trọng"
