id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,This organization is quick ............... sending relief goods to the flooded areas.,with,at,for,about,B,"to be quick at st/doing st: nhanh chóng làm gì. Tạm dịch: Tổ chức này nhanh chóng gửi hàng cứu trợ tới những vùng bị bão lụt."
2,When are you leaving ............... Singapore? This week or next week?,for,in,to,at,A,leave for: rời khỏi đâu. Tạm dịch: Khi nào bạn sẽ rời Singapore? Tuần này hay là tuần sau?
3,"Can you help me, please? I can't see the differences ............... these words.",from,in,between,about,C,differences between st: sự khác nhau giữa cái gì. Tạm dịch: Làm ơn hãy giúp tôi được không? Tôi không thấy sự khác biệt giữa những từ này.
4,That house reminds me ............... the one where I used to live.,of,for,about,with,A,remind sb of st: gợi cho ai nhớ tới cái gì. Tạm dịch: Ngôi nhà đó gợi cho tôi nhớ tới ngôi nhà mà tôi đã từng sống.
5,It was very kind ............... you to lend me the money I needed.,for,of,to,with,B,to be kind of sb: lòng tốt của ai. Tạm dịch: Bạn thật là tốt khi cho tôi vay tiền lúc cần.
6,We have to apply effective measures to save many plant and animal species ............... extinction.,from,in,for,on,A,save sb/st from: cứu ai/cái gì thoát khỏi... Tạm dịch: Chúng ta cần phải áp dụng nhiều biện pháp hữu hiệu để cứu nhiều loài động thực vật từ nguy cơ tuyệt chủng.
7,Clearing forests for timber has resulted ............... the loss of biodiversity.,with,at,in,for,C,result in: dẫn tới. Tạm dịch: Phá rừng để lấy gỗ đã dẫn tới sự mất cân bằng sinh thái.
8,She is looking ............... a new place to live because she does not want to depend ............... her parents any more.,for / on,after / with,up / forward,at / into,A,"look for: tìm kiếm; depend on: phụ thuộc vào. Tạm dịch: Cô ấy đang tìm một nơi mới để sống bởi vì cô ấy không muốn dựa dẫm vào bố mẹ nữa."
9,"Due to industrialization, we have to cope ............... the fact that many species are ............... danger ............... extinction.",over / at / for,at / upon / over,for / on / with,with / in / of,D,"cope with: đương đầu với, đối phó với; in danger of: có nguy cơ. Tạm dịch: Vì sự công nghiệp hoá, chúng ta phải đương đầu với thực tế là có nhiều loài đang có nguy cơ bị tuyệt chủng."
10,Boys! Put your toys ............... It is time to go to bed. Don't stay ............... late.,off / on,away / up,down / off,around / for,B,"put st away: dọn, cất cái gì đi; stay up late: thức khuya, thức muộn. Tạm dịch: Các bé! Dọn đồ chơi đi! Đã đến giờ đi ngủ rồi. Đừng thức khuya thế."
