id,tu_vung,tu_loai,phien_am,nghia
1,Abundantly,adv,/əˈbʌndəntli/,"hết sức, rất là"
2,Acutely,adv,/əˈkjuːtli/,"một cách sâu sắc"
3,Amalgamate,v,/əˈmælɡəmeɪt/,"trộn lẫn, pha trộn"
4,Amendment,n,/əˈmendmənt/,"sự sửa đổi cho tốt hơn"
5,Adjustment,n,/əˈdʒʌstmənt/,"sự điều chỉnh, sự chỉnh lý"
6,Modification,n,/ˌmɒdɪfɪˈkeɪʃn/,"sự sửa đổi, sự biến đổi"
7,Analogous,a,/əˈnæləɡəs/,"tương tự"
8,Anti-carcinogenic,a,/ˌænti ˌkɑːsɪnəˈdʒenɪk/,"chống ung thư"
9,Antiscientific,a,/ˌæntiˌsaɪənˈtɪfɪk /,"phản khoa học"
10,Assuage,v,/əˈsweɪdʒ/,"làm khuây khỏa"
11,Begrudgingly,adv,/bɪˈɡrʌdʒɪŋli/,"một cách ghen tị, thèm muốn"
12,Benign,a,/bɪˈnaɪn/,"lành tính"
13,Blatantly,adv,/ˈbleɪtəntli/,"rành rành, hiển nhiên"
14,Blemish,v,/ˈblemɪʃ/,"làm xấu, làm ô uế"
15,Camouflage,n,/ˈkæməflɑːʒ/,"sự ngụy trang"
16,Capability,n,/ˌkeɪpəˈbɪləti/,"khả năng"
17,Ability,n,/əˈbɪləti/,"khả năng"
18,Characteristic,a,/ˌkærəktəˈrɪstɪk/,"riêng, riêng biệt, đặc trưng"
19,Characteristically,adv,/ˌkærəktəˈrɪstɪkli/,"một cách riêng biệt tiêu biểu"
20,Characterize,v,/ˈkærəktəraɪz/,"đặc trưng hóa"
21,Character,n,/ˈkærəktər/,"tính cách, nhân vật"
22,Clandestine,a,/klænˈdestɪn/,"giấu giếm, bí mật"
23,Coalesce,v,/ˌkəʊəˈles/,"thống nhất làm một, liền lại"
24,Colloid,n,/ˈkɒlɔɪd/,"chất keo"
25,Congenial,a,/kənˈdʒiːniəl/,"hợp nhau, có tính tương đồng, thoải mái"
26,Consanguineous,a,/ˌkɒnsæŋˈɡwɪnəti/,"cùng dòng máu"
27,Contagious,a,/kənˈteɪdʒəs/,"lây lan"
28,Contiguous,a,/kənˈtɪɡjuəs/,"kề nhau, tiếp giáp nhau"
29,Contingent,a,/kənˈtɪndʒənt/,"ngẫu nhiên, tình cờ"
