id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,You don’t look well. You .................... see a doctor.,could,need to,are to,should,D,"Should + V-bare: nên làm gì (khuyên bảo). Tạm dịch: Bạn trông không khỏe. Bạn nên đi khám bác sĩ."
2,She .................... home yesterday because her little son was sick.,could have stayed,must have stayed,had to stay,should have stayed,B,"Must + have + Vp2: suy luận logic dựa trên sự việc có thật ở quá khứ. Tạm dịch: Chắc là hôm qua cô ấy đã ở nhà vì con trai bị ốm."
3,You .................... disturb him during his work!,should not,needn’t,mustn’t,don’t have to,C,"Mustn’t + V-bare: cấm đoán/không được phép. Tạm dịch: Bạn không được quấy rầy anh ấy khi anh ấy đang làm việc."
4,"Whose car is this? - It .................... be Anton’s. I think I saw him driving a red car like this one.",could,might,must,would,B,"Might + V-bare: diễn tả phỏng đoán không chắc chắn. Tạm dịch: Nó có thể là của Anton."
5,"Though he was ill and weak, he .................... get out of the burning building.",was able to,might,could,should,A,"Was able to: diễn tả khả năng vượt qua khó khăn nhờ nỗ lực. Tạm dịch: Mặc dù yếu nhưng anh ấy vẫn thoát được khỏi ngôi nhà cháy."
6,.................... lending me your CD player for a couple of days?,Can you,Would you mind,Would you,Could you,B,"Would you mind + V-ing: Bạn có phiền... (lời yêu cầu lịch sự). Căn cứ vào đuôi ""-ing"" của từ lending."
7,The windows look clean. You .................... wash them.,are not to,needn’t,don’t have to,mustn’t,B,"Needn’t + V-bare: không cần thiết phải làm gì. Tạm dịch: Cửa sổ sạch rồi, bạn không cần lau chúng đâu."
8,I don’t believe it. It .................... be true.,can’t,mustn’t,shouldn’t,wouldn’t,A,"Can't + V-bare: không thể nào (phủ định của sự chắc chắn). Tạm dịch: Tôi không tin, nó không thể là sự thật."
9,Young people .................... obey their parents.,must,may,will,ought to,A,"Must + V-bare: phải làm gì (bổn phận/bắt buộc). Tạm dịch: Người trẻ phải vâng lời cha mẹ."
10,Jenny’s engagement ring is enormous! It .................... have cost a fortune.,must,might,will,should,A,"Must + have + Vp2: suy đoán gần như chắc chắn về một việc trong quá khứ. Tạm dịch: Cái nhẫn to quá, chắc chắn nó rất đắt tiền."
11,You .................... to write them today.,should,must,had,ought,D,"Ought to + V-bare: nên/phải làm gì. Căn cứ vào từ ""to"" sau chỗ trống (Should và Must không đi với to)."
12,“.................... you hand me that pair of scissors please?”,May,Will,Shall,Should,B,"Will you...: Lời đề nghị/nhờ vả. Tạm dịch: Bạn làm ơn đưa giúp mình cái kéo được không?"
13,Jeanette did very badly on the exam. She .................... harder.,must have studied,could have studied,should have studied,must studied,C,"Should have + Vp2: lẽ ra nên làm gì (nhưng đã không làm). Tạm dịch: Lẽ ra cô ấy nên học hành chăm chỉ hơn."
14,Marcela didn’t come to class yesterday. She .................... an accident.,should have had,must have,might have,may have had,D,"May have + Vp2: có lẽ đã xảy ra (không chắc chắn). Tạm dịch: Có khả năng là cô ấy đã bị tai nạn."
15,John still hasn’t come out. He .................... everything for the trip now.,must have been preparing,must be preparing,will be preparing,will have prepared,B,"Must be + V-ing: chắc là đang làm gì (ở hiện tại). Tạm dịch: Anh ấy chắc đang chuẩn bị đồ cho chuyến đi."
16,Thomas received a warning for speeding. He .................... so fast.,shouldn’t have driven,should have,would have driven,might have driven,A,"Shouldn’t have + Vp2: lẽ ra không nên làm gì (nhưng đã làm). Tạm dịch: Anh ấy lẽ ra không nên lái xe nhanh như thế."
17,The photos are black. The X-ray at the airport .................... them.,should have damaged,would have damaged,would damage,must have damaged,D,"Must have + Vp2: suy đoán có căn cứ ở quá khứ. Tạm dịch: Chắc chắn tia X đã làm hỏng những bức ảnh rồi."
18,"Tom didn’t do his homework, so the teacher became very angry. He .................... his homework.",must have done,should have done,might have,will have done,B,"Should have + Vp2: lẽ ra đã nên làm gì. Tạm dịch: Anh ấy đáng lẽ nên làm bài tập về nhà."
19,My car stopped on the high way. It .................... out of gas.,may run,must be,may have run,should have run,C,"May have + Vp2: dự đoán về một khả năng trong quá khứ. Tạm dịch: Có lẽ xe đã hết xăng."
20,.................... I be here by 6 o'clock? - No you ....................,Shall; mightn’t,Must; needn’t,Will; mayn’t,Might; won’t,B,"Hỏi ""Must I...?"" (Tôi có phải... không?) - Trả lời ""No, you needn't"" (Không, không cần thiết)."
