id,tu_vung,tu_loai,phien_am,nghia
1,Artisan,n,/ˌɑːtɪˈzæn/,"nghệ nhân nghệ sĩ"
2,Assault,n,/əˈsɔːlt/,"cuộc tấn công, cuộc đột kích"
3,Audition,n,/ɔːˈdɪʃn/,"buổi thử giọng"
4,Bureau,n,/ˈbjʊərəʊ/,"ban, cục"
5,Chaos,n,/ˈkeɪɒs/,"tình trạng hỗn độn, hỗn loạn"
6,Mess,n,/mes/,"đống bừa bộn"
7,Shambles,n,/ˈʃæmblz/,"tình trạng hỗn độn; tình trạng rối ren"
8,Confusion,n,/kənˈfjuːʒn/,"sự mơ hồ, đầy hỗn độn"
9,Commencement,n,/kəˈmensmənt/,"sự khởi đầu, sự bắt đầu"
10,Delicacy,n,/ˈdelɪkəsi/,"sự tinh tế"
11,Dilemma,n,/dɪˈlemə/,"thể tiến thoái lưỡng nan"
12,Direct,v,/dəˈrekt/,"hướng dẫn, chỉ huy"
13,Direction,n,/dəˈrekʃn/,"sự hướng dẫn, chỉ thị, lời hướng dẫn"
14,Directive,n,/dəˈrektɪv/,"điều khiển, chỉ huy"
15,Directional,a,/dəˈrekʃənəl/,"điều khiển, chỉ huy"
16,Dutiful,a,/ˈdjuːtɪfəl/,"biết làm tròn bổn phận"
17,Entice,v,/ɪnˈtaɪs/,"dụ dỗ"
18,Exposition,n,/ˌekspəˈzɪʃən/,"sự phơi bày"
19,Extrude,v,/ɪkˈstruːd/,"đẩy ra, ấn ra"
20,Fuel-hungry,a,/ˈfjuːəl ˈhʌŋɡri/,"khát/thiếu nhiên liệu"
21,Galvanize,v,/ˈɡælvənaɪz/,"kích động"
22,Grandly,adv,/ˈɡrændli/,"một cách đàng hoàng, đâu ra đấy"
23,Hierarchically,adv,/ˌhaɪəˈrɑːkɪkli/,"một cách có phân cấp"
24,Indigenous,a,/ɪnˈdɪdʒənəs/,"bản xứ, bản địa"
25,Infancy,n,/ˈɪnfənsi/,"tuổi ấu thơ, từ lúc sơ khai"
26,Inscribe,v,/ɪnˈskraɪb/,"khắc chữ, viết chữ"
27,Interculturally,adv,/ˌɪntəˈkʌltʃərəli/,"một cách đa văn hóa"
28,Intriguingly,adv,/ɪnˈtriːɡɪŋli/,"một cách có mưu đồ"
29,Invasion,n,/ɪnˈveɪʒn/,"sự xâm lược"
30,Invigorate,v,/ɪnˈvɪɡəreɪt/,"tiếp thêm sinh lực"
31,Lucrative,a,/ˈluːkrətɪv/,"có lợi, sính lợi"
32,Manifestation,n,/ˌmænɪfeˈsteɪʃn/,"sự biểu lộ, sự biểu thị"
33,Masterpiece,n,/ˈmɑːstəpiːs/,"kiệt tác"
34,Miraculously, adv,/mɪˈrækjələsli/,"một cách kì diệu, phi thường"
35,Onerous,a,/ˈəʊnərəs/,"nhọc nhằn, cần nhiều nỗ lực"
36,Onslaught,n,/ˈɒnslɔːt/,"sự công kích dữ dội"
37,Recital, n,/rɪˈsaɪtl/,"sự kể lại, sự thuật lại"
38,Score, n,/skɔːr/,"số điểm, bàn thắng"
39,Concert, n,/ˈkɒnsət/,"buổi hòa nhạc"
40,Rehearsal, n,/rɪˈhɜːsl/,"sự diễn tập"
41,Religion,n,/rɪˈlɪdʒən/,"tôn giáo"
42,Religious, a,/rɪˈlɪdʒəs/,"thuộc tôn giáo"
43,Religionist,n,/rɪˈlɪdʒənɪst/,"người cuồng tín"
44,Religiously,adv,/rɪˈlɪdʒəsli/,"một cách sùng đạo"
43,Retrospective, a,/ˌretrəˈspektɪv/,"hồi tưởng quá khứ"
44,Revenue, n,/ˈrevənjuː/,"thu nhập"
45,Stronghold,n,/ˈstrɒŋhəʊld/,"pháo đài"
46,Strengthen,n,/ˈstreŋθn/,"làm cho mạnh"
47,Tarnish,v,/ˈtɑːnɪʃ/,"làm mờ"
48,Token,n,/ˈtəʊkən/,"dấu hiệu, biểu hiện"
49,Unruly, a,/ʌnˈruːli/,"một cách ngang bướng"
50,Well-organized,a,/ˌwelˈɔːɡənaɪzd/,"có tổ chức"
51,High-spirited,a,/ˌhaɪ ˈspɪrɪtɪd/,"dũng cảm, can đảm"
52,Strong-willed,a,/ˌstrɒŋ ˈwɪld/,"cứng cỏi, kiên quyết"
