"id","cau_hoi","A","B","C","D","dap_an","giai_thich"
"1","The young man _____ was released after the court was found innocent of all the charges against him.","who","who he","which","whose","A","The young man là danh từ chỉ người, vị trí còn thiếu cần một chủ ngữ. Dùng who thay thế cho người làm chủ ngữ."
"2","Is that the same film _____ we watched last year?","when","which","why","who","B","The same film là danh từ chỉ vật, vị trí còn thiếu cần một tân ngữ. Dùng which thay thế cho vật làm tân ngữ."
"3","The girl _____ I borrowed the dictionary asked me to use it carefully.","whose","from whom","from whose","whom","B","The girl là danh từ chỉ người, vị trí còn thiếu cần một tân ngữ. Động từ borrow thường đi kèm với giới từ from. Ta chỉ sử dụng giới từ trước whom và which."
"4","The first television picture _____ John Logie Baird transmitted on 25 November 1905 was a boy _____ worked in the office next to Baird's workroom in London.","which; whom","who; which","that; whose","that; who","D","The first television picture là danh từ chỉ vật cần tân ngữ -> that. A boy là danh từ chỉ người cần chủ ngữ -> who."
"5","Joyce Bews, _____ was born and grew up in Portsmouth on the south coast of England, _____ she still lives, was 100 last year.","that; in which","who; where","that; where","who; that","B","Joyce Bews là tên riêng chỉ người cần chủ ngữ -> who. The south coast of England là danh từ chỉ nơi chốn cần trạng ngữ -> where. Câu có dấu phẩy không dùng that."
"6","The pollution _____ they were talking is getting worse.","that","about which","which","whom","B","The pollution là danh từ chỉ vật cần tân ngữ, động từ talk đi với giới từ about. Dùng about which."
"7","Robert Riva, an Italian player _____ used to play for Cremonese, now coaches the Reigate under 11's football team.","when","which","where","who","D","An Italian player là danh từ chỉ người, vị trí còn thiếu cần một chủ ngữ. Dùng who."
"8","When I was at school, there was a girl in my class _____ skin was so sensitive that she couldn't expose her skin to the sun even with cream on.","where","whose","whom","that","B","A girl là danh từ chỉ người, skin là danh từ thuộc sở hữu của a girl. Dùng whose để thể hiện quan hệ sở hữu."
"9","Unfortunately, the friend with _____ I intended to go on holiday to Side is ill, so I'll have to cancel my trip.","who","whom","where","that","B","The friend là danh từ chỉ người, giới từ chỉ đi trước whom và which. Dùng whom sau giới từ with."
"10","The new stadium, _____ will be completed next year, will seat 30,000 spectators.","what","where","when","which","D","The new stadium là danh từ chỉ vật, vị trí còn thiếu cần một chủ ngữ. Câu có dấu phẩy dùng which."
