id,cau_hoi,A,B,C,D,dap_an,giai_thich
45,She is walking on the ................ . She doesn't know how to say.,air,road,street,garden,A,"walk on air: cảm thấy cực kỳ hạnh phúc, bay bổng."
46,"When you do something, you should ................ .",pay through the nose,turn over a new leaf,weigh up the pros and cons,huddle into a pen,C,"weigh up the pros and cons: cân nhắc ưu và nhược điểm (lợi và hại)."
47,Someone who is inexperienced is ................ .,red,blue,black,green,D,"green: còn non nớt, thiếu kinh nghiệm."
48,The year-end party was out of this world. We had never tasted such delicious food.,enormous,terrific,strange,awful,B,"out of this world: tuyệt vời, xuất sắc (vượt ngoài mong đợi)."
49,The nominating committee always meet behind closed doors lest its deliberations become known prematurely.,privately,safely,publicly,dangerously,A,"behind closed doors: kín, không công khai, riêng tư."
50,She's so ................; you really have to watch you say or she'll walk out of the room.,high and dry,prim and proper,rough and ready,sick and tired,B,"prim and proper: kỹ lưỡng (quá mức), bảo thủ, dễ bị sốc bởi điều khiếm nhã."
51,"Like everyone else, Sue has her ................ of course but on the whole, she's quite satisfied with life.",ups and downs,ins and outs,safe and sound,odds and ends,A,"ups and downs: những lúc thăng trầm của cuộc đời."
52,"Peter is working in an office. He's a white-................ worker.",collar,sleeve,shirt,button,A,"white-collar worker: công chức, lao động trí óc (ngược với blue-collar)."
53,When confronted with a mass of ................ tape many people feel a sense of powerlessness.,red,green,blue,brown,A,"red tape: nạn quan liêu, thủ tục rườm rà."
54,"Although they are important, these visible expressions of culture, which are taught deliberately and learned consciously, are only the ................ of the iceberg of culture.",ship,rid,tone,tip,D,"the tip of the iceberg: phần nổi của tảng băng chìm (chỉ là một phần nhỏ thấy được)."
55,I'm ................ my brother is.,nowhere near as ambitious as,nothing near as ambitious as,nowhere like so ambitious as,nothing as ambitious as,A,"nowhere near: còn lâu mới bằng, chắc chắn là không bằng."
56,I felt a bit ................ and seemed to have more aches and pains than usual.,out of sorts,on the mend,over the worst,under the fevers,A,"out of sorts: cảm thấy mệt, khó chịu trong người."
57,"Man: ""I heard you have a part in the school play tonight."" Woman: ""Yes, and I'm on ................ and needles.""",bins,pins,tins,rins,B,"on pins and needles: lo lắng, bồn chồn."
58,I'm really feeling under the ................ today; I have a terrible cold.,weather,climate,storm,cloud,A,"under the weather: cảm thấy không khỏe, bị ốm."
59,"George has ................; he loves cakes, chocolate, ice-cream-anything which is sweet.",a sweet mouth,sweet lips,a sweet tooth,a sweet tongue,C,"a sweet tooth: người thích ăn đồ ngọt."
60,The political candidate knew the issue was a hot ................ so he deferred to his chief of staff who directed questions to the committee chairperson.,tomato,potato,pot,dog,B,"a hot potato: vấn đề nan giải, vấn đề nóng hổi gây tranh cãi."
61,Making mistakes is all ................ of growing up.,chalk and cheese,top and bottom,part and parcel,odds and ends,C,"part and parcel: phần thiết yếu, phần không thể tách rời."
62,Don't let my mother watch any of those sad movies. She cries at the drop of a ................ .,hat,bag,cat,rag,A,"at the drop of a hat: ngay lập tức, không cần do dự."
63,Denise has been burning the midnight ................ trying to finish this report so she must be exhausted.,lamp,candle,oil,gas,C,"burn the midnight oil: thức khuya làm việc, học bài."
64,You can't believe a word that woman says – she is a ................ liar.,dedicated,devoted,committed,compulsive,D,"a compulsive liar: kẻ nói dối chuyên nghiệp, thói quen khó bỏ."
65,"I was excited to start taking night classes after work, but now, without enough time to devote either to school or to my job, I feel like I'm falling between ................ stools.",one,two,three,four,B,"fall between two stools: tiến thoái lưỡng nan, hỏng cả hai việc."
66,You'd better ................ the books if you want to pass your exam on Friday.,hit,beat,stab,bite,A,"hit the books: bắt đầu học bài, dùi mài kinh sử."
67,I heard ................ that Jack has been dropped from the basketball team.,in the woods,on the grapevine,under your feet,on the olive branch,B,"on the grapevine: nghe đồn, nghe phong phanh."
68,"At school, people always used to take the ................ out of him for having red hair.",cat,dog,mickey,rat,C,"take the mickey out of sb: chế nhạo, châm chọc ai đó."
69,When you use the Internet you have so much information at your ................ .,fingers,hands,fingertips,thumbs,C,"at one's fingertips: có sẵn thông tin/kiến thức và sử dụng nhanh chóng."
70,They ................ their car at our disposal for our entire stay.,had,took,put,got,C,"put st at one's disposal: cho ai tùy ý sử dụng cái gì."
71,Today we ................ electricity for granted and perhaps we do not realize just how useful this discovery has been.,take,have,make,get,A,"take st for granted: coi cái gì là hiển nhiên (nên không trân trọng)."
72,"This food is ................ the house, you don't have to pay for it.",at,on,in,at,B,"on the house: miễn phí (do nhà hàng chiêu đãi)."
73,She went to college to study history but changed ................ and is now a doctor.,horses in midstream,for a better,her tune,hands,A,"change horses in midstream: thay đổi giữa chừng (đặc biệt là kế hoạch/quyết định)."
74,"When I hear stories of cruelty to animals, it makes my ................ boil.",stomach,oil,blood,head,C,"make one's blood boil: làm cho ai đó sôi máu, cực kỳ giận dữ."
75,"She is a rising star as a standup comedian, always able to bring down the ................ during each performance.",house,rain,roof,稳定,A,"bring down the house: làm cho cả khán phòng vỗ tay nhiệt liệt."
