id,tu_vung,tu_loai,phien_am,nghia
1,Action film,np,/'ækʃən fɪlm/,"phim hành động"
2,Beneficent,a,/bə'nefɪsənt/,"hay làm việc thiện, từ tâm"
3,Benevolent,a,/bə'nevələnt/,"nhân đức"
4,Best-seller,n,/'best'selər/,"(sản phẩm)bán chạy nhất"
5,Biography,n,/baɪ'ɒgrəfi/,"tiểu sử, lý lịch"
6,Broadcast,v,/'brɔ:dkɑ:st/,"phát thanh"
7,Celebrity,n,/sə'lebrəti/,"người nổi tiếng"
8,Character,n,/'kærəktər/,"nhân vật"
9,Classical music,np,/'klæsɪkəl'mju:zɪk/,"nhạc cổ điển"
10,Comedian,n,/kə'mi:diən/,"danh hài"
11,Comedy,n,/'kɒmədi/,"hài kịch"
12,Composer,n,/kəm'pəʊzər/,"nhà sáng tác"
13,Condense,v,/kən'dens/,"cô đọng, súc tích lại"
14,Convey,v,/kən'veɪ/,"truyền tải"
15,Counteract,v,/ˌkaʊntər'ækt/,"chống lại, kháng cự"
16,Cover version,np,/'kʌvər 'vɜ:ʃən/,"phiên bản làm lại, bản nhái lại"
17,Debut album,np,/'deɪbju 'ælbəm/,"album ra mắt"
18,Detective film,np,/dɪ'tektɪv fɪlm/,"phim trinh thám"
19,Divergent,a,/daɪ'vɜ:dʒənt/,"trệch ra, lệch ra"
20,Explicit,a,/ɪk'splɪsɪt/,"rõ ràng, dứt khoát"
21,Extravagance,n,/ɪk'strævəgənt/,"hành động thái quá"
22,Figure,n,/'fɪgər/,"con số"
23,Film director,np,/'fɪlm daɪˌrektər/,"đạo diễn"
24,Film maker,np,/'fɪlmˌmeɪkər/,"nhà sản xuất phim"
25,Film star,np,/'fɪlm ˌstɑ:r/,"ngôi sao điện ảnh"
26,Filmgoer,n,/'fɪlmˌgəʊər/,"người đi xem phim"
27,Folk music,np,/fəʊk'mju:zɪk/,"nhạc dân gian"
28,Frippery,n,/'frɪpəri/,"vật linh tinh, rẻ tiền"
29,Horror film,np,/'hɒrə ˌfɪlm/,"phim kinh dị"
30,Infamous,a,/'ɪnfəməs/,"tai tiếng, khét tiếng"
31,Insatiable,a,/ɪn'seɪʃəbəl/,"lòng tham vô đáy"
32,Intuition,n,/ˌɪntju:'ɪʃən/,"trực giác"
33,Joyfulness,n,/'dʒɔɪfʊlnəs/,"sự vui mừng, vui vẻ"
34,Joyful,a,/'dʒɔɪfəl/,"vui vẻ, vui sướng"
35,Joy,n,/dʒɔɪ/,"niềm vui"
36,Lofty,a,/'lɒfti/,"kiêu căng, kiêu ngạo"
37,Love story film,np,/lʌv'stɔ:ri fɪlm/,"phim tình cảm lãng mạn"
38,Lyrics,n,/'lɪrɪks/,"lời bài hát"
39,Manipulate,v,/mə'nɪpjəleɪt/,"thao tác"
40,Melody,n,/'melədi/,"giai điệu"
41,Mournful,a,/'mɔ:nfəl/,"buồn rầu, tang thương"
42,Musician,n,/mju:'zɪʃən/,"nhà soạn nhạc"
43,Omnipresent,a,/ˌɒmni'prezənt/,"có mặt khắp mọi nơi"
44,Parochial,a,/pə'rəʊkiəl/,"thuộc về giáo xứ"
45,Patriotic,a,/ˌpætri'ɒtɪk/,"yêu nước"
46,Penurious,a,/pə'njʊəriəs/,"túng thiếu, túng quẫn"
47,Playwright,n,/'pleɪraɪt/,"nhà soạn kịch"
48,Poet,n,/'pəʊɪt/,"nhà thơ"
49,Poetic,a,/pəʊ'etɪk/,"thuộc thơ ca"
50,Poetry,n,/'pəʊɪtri/,"thơ ca"
51,Poem,n,/'pəʊɪm/,"bài thơ"
52,Prodigy,n,/'prɒdɪdʒi/,"thiên tài, thần đồng"
53,Profound,a,/prə'faʊnd/,"sâu sắc"
54,Prominent,a,/'prɒmɪnənt/,"xuất chúng, nổi bật"
55,Query,n,/'kwɪəri/,"câu hỏi, thắc mắc"
56,Rejuvenated,a,/rɪ'dʒu:vəneɪtɪd/,"trẻ lại, hồi xuân"
57,Relative,n,/'relətɪv/,"họ hàng"
58,Relation,n,/rɪ'leɪʃən/,"sự liên quan"
59,Relationship,n,/rɪ'leɪʃənʃɪp/,"mối quan hệ"
60,Repulse,v,/rɪ'pʌls/,"đẩy lùi, đánh lui"
61,Rhythm,n,/'rɪðəm/,"nhịp điệu"
62,Scene,n,/si:n/,"quang cảnh, cảnh tượng"
63,Scent,n,/sent/,"mùi thơm, hương thơm"
64,Scenery,n,/'si:nəri/,"phong cảnh"
65,Screen,n,/skri:n/,"màn hình"
66,Science fiction film,np,/ˌsaɪəns 'fɪkʃən fɪlm/,"phim khoa học viễn tưởng"
67,Script writer,np,/'skrɪptˌraɪtər/,"người viết kịch bản"
68,Sequence,n,/'si:kwəns/,"cảnh (trong phim...)"
69,Serene,a,/sə'ri:n/,"thanh bình"
70,Smash hit,np,/'smæʃ hɪt/,"thắng lợi bất ngờ"
71,Solemn,a,/'sɒləm/,"long trọng, trang nghiêm"
72,Super star,np,/'su:pəstɑ:r/,"siêu sao"
73,Syntax,n,/'sɪntæks/,"cú pháp"
74,Thriller,n,/'θrɪlə/,"phim giật gân"
75,Undue,a,/ʌn'dʒu:/,"quá đáng, quá mức"
