id,tu_vung,tu_loai,phien_am,nghia
1,Affiliate,v,/əˈfɪlieɪt/,"nhập, liên kết"
2,Allegedly,adv,/əˈledʒɪdli/,"được cho là, được coi là"
3,Antiquity,n,/ænˈtɪkwəti/,"đời xưa"
4,Archaeological,a,/ˌɑːkiəˈlɒdʒɪkl/,"thuộc khảo cổ học"
5,Archaeology,n,/ˌɑːkiˈɒlədʒi/,"khảo cổ học"
6,Archaeologist,n,/ˌɑːkiˈɒlədʒɪst/,"nhà khảo cổ học"
7,Authentic,a,/ɔːˈθentɪk/,"thật, đích thực"
8,Backpacker,n,/ˈbækpækər/,"Tây ba-lô"
9,Backstabber, n,/ˈbækˌstæbər/,"sự đánh lén, đánh từ phía sau"
10,Backseat driver,n,/ˌbæk siːt ˈdraɪvər/,"người ngồi sau nhưng chỉ cách lái xe, chỉ đường"
11,Backhander,n,/ˈbækhændə(r)/,"cú đánh trái, của đút lót"
12,Bombardment,n,/bɒmˈbɑːdmənt/,"sự ném bom oanh tạc"
13,Chamber,n,/ˈtʃeɪmbər/,"buồng, phòng; buồng ngủ"
14,Chaotic,a,/keɪ'ɒtik/,"hỗn độn, lộn xộn"
15,Citadel,n,/'sɪtədel/,"thành lũy, thành quách"
16,Cruise,n,/kru:z/,"cuộc đi chơi biển"
17,Destination,n,/ˌdestɪˈneɪʃn/,"điểm đến"
18,Departure,n,/dɪˈpɑːrtʃər/,"sự khởi hành"
19,Dynasty,n,/'dɪnəsti/,"triều đại, triều vua"
20,Elegance,n,/ˈelɪɡəns,"tính thanh lịch, tính tao nhã"
21,Empire,n,/'empaɪər/,"đế quốc, đế chế"
22,Endemic,a,/en'demɪk/,"đăc thù"
23,Excavation,n,/ˌekskəˈveɪʃn/,"sự khai quật"
24,Excavate,v,/ˈekskəveɪt/,"khai quật"
25,Excavator,n,/ˈekskəveɪtər/,"máy xúc"
26,Feudalism,n,/'fju:dəɪzəm/,"chế độ phong kiến"
27,Frigid,a,/ˈfrɪdʒɪd/,"giá lạnh, lạnh lẽo"
28,Glacier,n,/ˈɡleɪʃər/,"sông băng"
29,Gravestone,n,/ˈɡreɪvstəʊn/,"bia mộ"
30,Grumpily,adv,/ˈɡrʌmpɪli/,"một cách gắt gỏng, cộc cằn"
31,Heritage,n,/ˈherɪtɪdʒ/,"di sản"
32,Holy,a,/'həʊli/,"linh thiêng, thần thánh"
33,Horizon,n,/həˈraɪzn/,"chân trời"
34,Horizontal,n,/ˌhɒrɪˈzɒntl/,"thuộc chân trời"
35,Idolatry,n,/aɪ'dɒlətri/,"sự sùng bái thần tượng"
36,Imperial,a,/ɪmˈpɪəriəl/,"thuộc hoàng đế"
37,Insulate,v,/'ɪnsjəleɪt/,"cô lập, cách ly"
38,Invasion,n,/ɪnˈveɪʒn/,"sự xâm lược"
39,Invade,v,/ɪn'veɪd/,"xâm lược"
40,Landscape,n,/ˈlændskeɪp/,"phong cảnh"
41,Landmark,n,/ˈlændma:k/,"cột mốc ranh giới"
42,Landslide,n,/ˈlændslaɪd/,"sự lở đất"
43,Landmass,n,/ˈlændmæs/,"khu vực đất đai rộng lớn"
44,Magnificence,n,/mæɡˈnɪfɪsns/,"vẻ nguy nga, vẻ lộng lẫy"
45,Majesty,n,/ˈmædʒəsti/,"vẻ oai nghiêm, vẻ oai vệ bệ hạ, đức vua, hoàng hậu"
46,Masterpiece,n,/ˈmɑːstəpiːs/,"kiệt tác"
47,Memorial,n,/məˈmɔːriəl/,"vật kỉ niệm, tượng kỷ niệm"
48,Monument,n,/ˈmɒnjumənt/,"đài kỉ niệm"
49,Mosaic,a,/məʊˈzeɪɪk/,"được khảm"
50,Mosque,n,/mɒsk/,"nhà thờ hồi giáo"
51,Picturesque,a,/ˌpɪktʃəˈresk/,"đẹp như tranh"
52,Pillar,n,/'pɪlər/,"cột trụ"
53,Precipitate,v,/prɪ'sɪpɪteɪt/,"kết tủa"
54,Priest,n,/pri:st/,"linh mục"
55,Prophecy,n,/ˈprɒfəsi/,"sự tiên tri"
56,Pyramid,n,/'pɪrəmɪd/,"kim tự tháp"
57,Relics,n,/'relɪks/,"di tích"
58,Residence,n,/'rezɪdəns/,"sự cư trú"
59,Rucksack,n,/ˈrʌksæk/,"cái ba-lô"
60,Scintillating,a,/ˈsɪntɪleɪtɪŋ/,"sắc sảo"
61,Semantic,a,/sɪˈmæntɪk/,"về ngữ nghĩa"
62,Skepticism,n,/ˈskeptɪsɪzəm/,"thái độ hoài nghi"
63,Skeptical,a,/ˈskeptɪkəl/,"hoài nghi"
64,Spectacular,a,/spekˈtækjələr/,"ngoạn mục"
65,Superstition,n,/ˌsuːpəˈstɪʃn/,"sự mê tín dị đoan"
66,Superstitious,a,/ˌsuːpəˈstɪʃəs/,"mê tín dị đoan"
67,Synonymous,a,/sɪˈnɒnɪməs/,"đồng nghĩa"
68,Timely,a,/ˈtaɪmli/,"xảy ra đúng lúc, hợp thời"
69,Timeless,a,/ˈtaɪmləs/,"vô tận, mãi mãi"
70,Timed,a,/taɪmd/,"được ấn định thời gian"
71,Wisdom,n,/ˈwɪzdəm/,"trí khôn"
72,Wise,a,/waiz/,"khôn ngoan"
73,Wonder,n,/wʌndər/,"kì quan"
