id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,________ of the committee I’d like to thank you for your generous donation.,Instead,On behalf,According,In spite,B,"On behalf of + N: Thay mặt cho. A: thay vì, C: Theo như, D: Mặc dù."
2,"________, I decided to stop trading with them.",Despite of the fact that they were the biggest dealer,Though being the biggest dealer,Being the biggest dealer,Even though they were the biggest dealer,D,"Cấu trúc tương phản đối lập: (Even) though S V O. Loại A vì sai cấu trúc (Despite the fact that), loại B và C không phù hợp ngữ pháp."
3,I think it’s ________ to take a few more pictures.,enough light,lightly enough,light enough,enough as light,C,"Cấu trúc: tính từ + enough + to V (đủ... để làm gì)."
4,________ I heard the phone ring I didn’t answer it.,because,Only if,Even though,Provided that,C,Mặc dù tôi nghe thấy tiếng chuông điện thoại reo nhưng tôi không trả lời.
5,"Determining the mineral content of soil samples is an exacting process; ________, experts must perform detail tests to analyze soil specimens.",therefore,afterward,so that,however,A,"therefore: do đó, vì vậy. Phù hợp để nối hai vế có quan hệ nguyên nhân - kết quả."
6,Businesses will not survive ________ they satisfy their customers.,or else,in case,unless,if,C,"unless = if not: trừ khi. Các doanh nghiệp sẽ không tồn tại trừ phi họ thoả mãn khách hàng."
7,This investigation is not only one that is continuing and worldwide ________ we expect to continue for quite some time.,but one also that,but one that also,but also one that,but that also one,C,"Cấu trúc ""not only... but also..."": không những ... mà còn..."
8,A few natural elements exist in ________ that they are rarely seen in their natural environments.,such small quantities,so small quantities,very small quantities,small quantity,A,"Such + N + that: quá ... đến nỗi mà. ""Quantities"" là danh từ nên dùng such."
9,He decided to quit the job ________ the high salary he got.,although,in spite,despite,much as,C,"Despite + cụm danh từ. ""The high salary"" là cụm danh từ."
10,I will stand here and wait for you ________ you come back.,because,though,so,until,D,"until: mãi đến khi. Chờ cho đến khi em quay lại."
11,My sister won’t go to the party tonight and ________.,so will I,I will too,neither will I,I will neither,C,"Diễn đạt ""ai đó cũng không"" dùng: Neither + trợ từ + S."
12,"When he came to the counter of pay, he found that he had ________ cash ________ his credit card with him.",either/or,neither/nor,both/and,not/neither,B,"Neither ... nor ...: không cái này cũng không cái kia."
13,________ we understand his reasons we cannot accept his behaviour.,As if,What if,Even if,Only if,C,"Even if: kể cả (như thế), dù. Dịch: Dù chúng ta hiểu lý do, chúng ta vẫn không chấp nhận hành vi đó."
14,________ his poor English he managed to communicate his problem very clearly.,Because,Even though,Because of,In spite of,D,"In spite of + cụm danh từ: mặc dù. ""His poor English"" là cụm danh từ."
15,Neither the students nor their lecturer ________ English in the classroom.,have used,use,are using,uses,D,"Cấu trúc Neither S1 nor S2: động từ chia theo S2 (their lecturer - số ít)."
16,________ the price is high we can’t afford to buy a new car.,Now that,Although,Whereas,As long as,A,"Now that + S + V: Vì/Giờ đây khi mà. Chỉ nguyên nhân."
17,He hurried ________ he wouldn’t be late for class.,since,as if,unless,so that,D,"so that + mệnh đề: để mà (chỉ mục đích)."
18,"I’m sorry you’ve decided not to go with us on the river trip, but ________ you change your mind, there will still be enough room on the boat for you.",even,nevertheless,in the event that,provided that,C,"in the event that + S + V: trong trường hợp. Phù hợp ngữ cảnh đề bài."
19,________ you read the instructions carefully you will understand what to do.,as well as,as far as,as soon as,provided that,D,"Provided that + S + V: Với điều kiện là / Miễn là."
20,My father is getting old and forgetful. ________ he is experienced and helpful.,Be that as it may,Regardless,Lest,Consequently,A,"Be that as it may: Mặc dù như thế. Dùng để chỉ sự nhượng bộ."
21,We've had ________ problems with our new computer that we had to send it back to the shop.,so,such,enough,too,B,"Such + N + that: quá đến nỗi mà. ""Problems"" là danh từ."
22,The baby can't even sit up yet ________ stand and walk!,but for,let alone,all but,rather than,B,"let alone: chứ đừng nói đến, huống chi là."
23,All the candidates for the scholarship will be equally treated ________ of their sex age or nationality.,regardless,regard,regarding,regards,A,"regardless of: bất kể, bất chấp cái gì."
24,"Don't be late for the interview, ________ people will think you are a disorganized person.",Unless,lest,so,otherwise,D,"otherwise: nếu không thì/hoặc là."
25,You should take regular exercise ________ sitting in front of the television all day.,in spite of,instead of,without,even,B,"instead of: thay vì."
26,High-level sport people must maintain a high level of fitness ________ run the risk of suffering injuries that cause permanent damage.,or else,besides,unless,on account of,A,"or else: nếu không thì/hoặc là."
27,________ irritating they are you shouldn't lose temper with small children.,No matter how much,As much as,However,Although,C,"However + adj + S + V: dù ... thế nào đi nữa."
