id,tu_vung,tu_loai,phien_am,nghia
1,Abrasive,a,/ə'breɪsɪv/,"có tính mài mòn, làm trầy xước"
2,Adventure,n,/əd'ventʃər/,"sự phiêu lưu, mạo hiểm"
3,Adventurous,a,/əd'ventʃərəs/,"thích phiêu lưu, mạo hiểm"
4,Adventurer,n,/əd'ventʃərər/,"người thích phiêu lưu mạo hiểm"
5,Advertisement,n,/əd'vɜ:tɪsmənt/,"bài quảng cáo"
6,Advertising,n,/'ædvətaɪzɪŋ/,"sự quảng cáo"
7,Aesthetic,a,/es'θetɪk/,"có tính thẩm mỹ"
8,Assignation,n,/ˌæsɪg'neɪʃən/,"sự phân công, nhượng lại/ sự hẹn hò bí mật"
9,Astounding,a,/ə'staʊndɪŋ/,"rất sửng sốt, kinh ngạc"
10,Astringent,a,/ə'strɪndʒənt/,"thuốc/kem làm se khít lỗ chân lông"
11,Autonomous,a,/ɔ:'tɒnəməs/,"tự chủ, tự trị"
12,Bad-tempered,a,/ˌbæd'tempəd/,"xấu tính, dễ nổi nóng"
13,Short-tempered,a,/ʃɔ:t'tempəd/,"hay cáu giận một cách vô cớ"
14,Even-tempered,a,/ˌi:vən'tempəd/,"bình tĩnh, ôn hòa, điềm đạm"
15,Good-tempered,a,/gʊd'tempəd/,"tốt tính"
16,Boundary,n,/'baʊndəri/,"đường biên giới, ranh giới"
17,Bulletin,n,/'bʊlətɪn/,"thông cáo, tập san"
18,Bumpy,a,/'bʌmpi/,"mấp mô, gập ghềnh, xóc"
19,Comprehension,n,/ˌkɒmprɪ'henʃən/,"sự nhận thức, lĩnh hội"
20,Constructive,a,/kən'strʌktɪv/,"có tính xây dựng,"
21,Corridor,n,/'kɒrɪdɔr/,"hành lang"
22,Cuisine,n,/kwɪ'zi:n/,"cách nấu nướng, ẩm thực"
23,Destination,n,/ˌdestɪ'neɪʃən/,"đích đến, nơi đến"
24,Engagement,n,/ɪn'geɪdʒmənt/,"sự đính hôn"
25,Exhilarate,v,/ɪg'zɪləreɪt/,"làm vui vẻ, hân hoan"
26,Gambling,n,/'gæmblɪŋ/,"đánh bài bạc"
27,Heirloom,n,/'eəlu:m/,"vật gia truyền, gia bảo"
28,Home-based,a,/həʊm beɪst/,"làm việc tại nhà"
29,Homemade,a,/ˌhəʊm'meɪd/,"làm tại nhà"
30,Home-loving,a,/'həʊmˌlʌvɪŋ/,"thích ở nhà"
31,Homegrown,a,/ˌhəʊm'grəʊn/,"trồng tại nhà"
32,Illuminating,a,/ɪ'lu:mɪneɪtɪŋ/,"chiếu sáng, làm sáng tỏ"
33,Illustrate,v,/'ɪləstreɪt/,"minh họa"
34,Illustration,n,/ˌɪlə'streɪʃən/,"hình minh họa, sự minh họa"
35,Illustrative,a,/'ɪləstrətɪv/,"minh họa"
36,Inspirational,a,/ˌɪnspɪ'reɪʃənəl/,"truyền cảm hứng"
37,Inspiration,n,/ˌɪnspɪ'reɪʃən/,"nguồn cảm hứng"
38,Instructive,a,/ɪn'strʌktɪv/,"truyền kiến thức bổ ích và lý thú"
39,Invisible,a,/ɪn'vɪzəbəl/,"vô hình, tàng hình"
40,Loneliness,n,/'ləʊnlɪnəs/,"sự cô đơn"
41,Lonesome,a,/'ləʊnsəm/,"cô đơn"
42,Lonely,a,/'ləʊnli/,"bơ vơ, cô đơn, hiu quạnh"
43,Alone,a,/ə'ləʊn/,"một mình, trơ trọi, cô độc"
44,Memento,n,/mə'mentəʊ/,"vật kỷ niệm, vật lưu niệm"
45,Memorial,n,/mə'mɔ:riəl/,"đài kỷ niệm, tượng kỷ niệm"
46,Mind-boggling,a,/'maɪndbɒgəlɪŋ/,"kinh ngạc, khó tin"
47,Pastime,n,/'pɑ:staɪm/,"trò tiêu khiển, giải trí"
48,Leisure,n,/'leʒər/,"thời gian rảnh rỗi"
49,Recreation,n,/ˌrekri'eɪʃən/,"sự tiêu khiển"
50,Periodical,n,/ˌpɪəri'ɒdɪkəl/,"tạp chí xuất bản định kỳ"
51,Personnel,n,/ˌpɜ:sən'el/,"nhân sự, nhân viên"
52,Personage,n,/'pɜ:sənɪdʒ/,"nhân vật quan trọng"
53,Personality,n,/ˌpɜ:sən'æləti/,"nhân cách, tính cách"
54,Person,n,/'pɜ:sən/,"người"
55,Popular,a,/'pɒpjələr/,"nổi tiếng, phổ biến"
56,Popularity,n,/ˌpɒpjə'lærəti/,"tính đại chúng, tính phổ biến"
57,Popularize,v,/'pɒpjələraɪz/,"đại chúng hóa"
58,Popularization,n,/ˌpɒpjələraɪ'zeɪʃən/,"sự truyền bá, đại chúng hóa"
59,Reinvigorate,v,/ˌri:ɪn'vɪgəreɪt/,"hồi sinh, hồi sức"
60,Rollerblading,n,/'rəʊləˌbleɪdɪŋ/,"trượt pa-tin"
61,Romance,n,/rəʊ'mæns/,"sự lãng mạn"
62,Romantic,a,/rəʊ'mæntɪk/,"lãng mạn"
