id,tu_vung,tu_loai,phien_am,nghia
1,Aboriginal,a,/ˌæbəˈrɪdʒənəl/,"nguyên sơ, nguyên thủy"
2,Ancestor,n,/ˈænsestər/,"tổ tiên"
3,Anniversary,n,/ˌænɪˈvɜːsəri/,"lễ kỉ niệm, ngày lễ"
4,Ceremony,n,/ˈserəməni/,"nghi thức, nghi lễ"
5,Celebration,n,/ˌseləˈbreɪʃən/,"sự tổ chức"
6,Bicentenary,n,/ˌbaɪsenˈtiːnəri/,"lễ kỉ niệm cứ 200 năm tổ chức 1 lần"
7,Assimilation,n,/əˌsɪmɪˈleɪʃən/,"sự đồng hóa"
8,Bravery,n,/ˈbreɪvəri/,"sự dũng cảm"
9,Bridegroom,n,/ˈbraɪdɡruːm/,"chú rể"
10,Conflict,n,/ˈkɒnflɪkt/,"sự xung đột"
11,Contract,n,/ˈkɒntrækt/,"hợp đồng"
12,Contractual,a,/kənˈtræktʃuəl/,"thuộc hợp đồng"
13,Conversely,adv,/ˈkɒnvɜːsli/,"ngược lại"
14,Coordinator,n,/kəʊˈɔːdɪneɪtər/,"người phối hợp"
15,Currency,n,/ˈkʌrənsi/,"tiền tệ"
16,Custom,n,/ˈkʌstəm/,"phong tục"
17,Deliberately,adv,/dɪˈlɪbərətli/,"một cách có chủ ý, có toan tính"
18,Denounce,v,/dɪˈnaʊns/,"tố cáo, vạch mặt"
19,Depravity,n,/dɪˈprævəti/,"sự trụy lạc"
20,Dismiss,v,/dɪˈsmɪs/,"sa thải"
21,Dismissal,n,/dɪˈsmɪsəl/,"sự sa thải"
22,Dismissive,a,/dɪˈsmɪsɪv/,"gạt bỏ, xem thường"
23,Diversity,n,/daɪˈvɜːsəti/,"sự đa dạng"
24,Diverse,a,/daɪˈvɜːs/,"đa dạng"
25,Diversify,v,/daɪˈvɜːsɪfaɪ/,"đa dạng hóa"
26,Diversification,n,/daɪˌvɜːsɪfɪˈkeɪʃn/,"sự đa dạng hóa"
27,Extremely,adv,/ɪkˈstriːmli/,"cực kì"
28,Completely,adv,/kəmˈpliːtli/,"hoàn toàn"
29,Tremendously,adv,/trɪˈmendəsli/,"khủng khiếp, ghê gớm"
30,Dramatically,adv,/drəˈmætɪkəli/,"đột ngột"
31,Fate,n,/feɪt/,"vận mệnh, định mệnh"
32,Federation,n,/ˌfedəˈreɪʃən/,"liên đoàn"
33,Folktale,n,/ˈfəʊkˌteɪl/,"truyện dân gian"
34,Heritage,n,/ˈherɪtɪdʒ/,"di sản"
35,Hilarious,a,/hɪˈleəriəs/,"vui nhộn"
36,Homophone,n,/ˈhɒməfəʊn/,"từ đồng âm"
37,Identify,v,/aɪˈdentɪfaɪ/,"nhận diện, nhận dạng"
38,Identification,n,/aɪˌdentɪfɪˈkeɪʃən/,"sự đồng nhất hoá"
39,Identical,a,/aɪˈdentɪkəl/,"giống nhau"
40,Identity,n,/aɪˈdentəti/,"tính đồng nhất; đặc tính"
41,Incense,n,/ˈɪnsens/,"nhang, hương"
42,Indigenous,a,/ɪnˈdɪdʒɪnəs/,"bản xứ, bản địa"
43,Integration,n,/ˌɪntɪˈɡreɪʃən/,"sự hội nhập"
44,Isolation,n,/ˌaɪsəˈleɪʃən/,"sự cô lập, sự cách li"
45,Majority,n,/məˈdʒɒrəti/,"đa số"
46,Minority,n,/maɪˈnɒrəti/,"thiểu số"
47,Marriage,n,/ˈmærɪdʒ/,"sự kết hôn, hôn nhân"
48,Marital,a,/ˈmærɪtəl/,"thuộc hôn nhân"
49,Marriageable,a,/ˈmærɪdʒəbəl/,"có thể, đủ tư cách kết hôn"
50,Married,a,/ˈmærid/,"đã kết hôn"
51,Misinterpret,v,/ˌmɪsɪnˈtɜːprət/,"hiểu sai"
52,Mystery,n,/ˈmɪstəri/,"sự bí ẩn, sự huyền bí"
53,No-go,n,/ˌnəʊˈɡəʊ/,"tình trạng bế tắc"
54,Pamper,v,/ˈpæmpər/,"nuông chiều, cưng chiều"
55,Patriotism,n,/ˈpætriətɪzəm/,"chủ nghĩa yêu nước"
56,Perception,n,/pəˈsepʃən/,"sự nhận thức"
57,Perceive,v,/pəˈsiːv/,"nhận thấy, nhận thức"
58,Prestige,n,/presˈtiːʒ/,"thanh thế, uy thế"
59,Prevalence,n,/ˈprevələns/,"sự phổ biến, sự thịnh hành"
60,Privilege,n,/ˈprɪvəlɪdʒ/,"đặc quyền, đặc ân"
61,Racism,n,/ˈreɪsɪzəm/,"chủ nghĩa phân biệt chủng tộc"
62,Racial,a,/ˈreɪʃəl/,"thuộc chủng tộc"
63,Religion,n,/rɪˈlɪdʒən/,"tôn giáo"
64,Religious,a,/rɪˈlɪdʒəs/,"thuộc về tôn giáo"
65,Restrain,v,/rɪˈstreɪn/,"kiềm chế"
66,Revival,n,/rɪˈvaɪvəl/,"sự hồi phục, sự phục sinh"
67,Solidarity,n,/ˌsɒlɪˈdærəti/,"sự đoàn kết"
68,Superstition,n,/ˌsuːpəˈstɪʃən/,"sự mê tín dị đoan"
69,Superstitious,a,/ˌsuːpəˈstɪʃəs/,"mê tín dị đoan"
70,Symbol,n,/ˈsɪmbəl/,"biểu tượng"
71,Symbolize,v,/ˈsɪmbəlaɪz/,"biểu tượng hóa"
