id,tu_vung,tu_loai,phien_am,nghia
1,Abuse,v,/əˈbjuːs/,"lạm dụng"
2,Alleviation,n,/əˌliːviˈeɪʃn/,"sự giảm nhẹ"
3,Attainment,n,/əˈteɪnmənt/,"sự đạt được"
4,Banner,n,/ˈbænər/,"biểu ngữ"
5,Logo,n,/ˈləʊɡəʊ/,"biểu tượng"
6,Motto,n,/ˈmɒtəʊ/,"châm ngôn"
7,Slogan,n,/ˈsləʊɡən/,"khẩu hiệu khẩu ngữ"
8,Bygone,a,/ˈbaɪɡɒn/,"đã qua, là quá khứ"
9,Catastrophe,n,/kəˈtæstrəfi/,"thảm họa"
10,Charter,n,/ˈtʃɑːrtər/,"hiến chương"
11,Diphtheria,n,/dɪfˈθɪəriə/,"bệnh bạch hầu"
12,Measles,n,/ˈmiːzlz/,"bệnh sởi"
13,Smallpox,n,/ˈsmɔːlpɒks/,"bệnh đậu mùa"
14,Fever,n,/ˈfiːvər/,"sốt"
15,Poliomyelitis,n,/ˌpəʊliəʊˌmaɪəˈlaɪtɪs/,"sốt bại liệt"
16,Tetanus,n,/ˈtetnəs/,"bệnh uốn ván"
17,Tuberculosis,n,/tjuːˌbɜːkjuˈləʊsɪs/,"bệnh lao"
18,Mumps,n,/mʌmps/,"bệnh quai bị"
19,Whooping cough,n,/ˈhuːpɪŋ kɒf/,"bệnh ho gà"
20,Committee,n,/kəˈmɪti/,"ủy ban"
21,Comprehensive,a,/ˌkɒmprɪˈhensɪv/,"bao hàm, toàn diện"
22,Deterioration,n,/dɪˌtɪəriəˈreɪʃn/,"sự sa đọa, trở nên xấu đi"
23,Disarm,v,/dɪsˈɑːm/,"tước vũ khí"
24,Disaster,n,/dɪˈzɑːstər/,"thảm họa"
25,Disastrous,a,/dɪˈzɑːstrəs/,"thảm khốc"
26,Disseminate,v,/dɪˈsemɪneɪt/,"khuếch tán, phân tán"
27,Earthquake,n,/ˈɜːθkweɪk/,"động đất"
28,Emergent,a,/ɪˈmɜːdʒənt/,"nổi lên"
29,Emergency,n,/ɪˈmɜːdʒənsi/,"tình trạng khẩn cấp"
30,Emergently,adv,/ɪˈmɜːdʒəntli/,"nổi bật lên một cách rõ nét"
31,Emergence,n,/ɪˈmɜːdʒəns/,"sự nổi lên, sự hiện ra"
32,Empty-handed,a,/ˌempti ˈhændɪd/,"tay trắng"
33,Ensuing,a,/ɪnˈsjuːɪŋ/,"tiếp theo, nảy sinh từ"
34,Epidemic,n,/ˌepɪˈdemɪk/,"bệnh dịch"
35,Exclusive,a,/ɪkˈskluːsɪv/,"độc quyền, riêng"
36,Exhaustively,adv,/ɪɡˈzɔːstɪvli/,"một cách thấu đáo, tường tận"
37,Famine,n,/ˈfæmɪn/,"nạn đói"
38,Fellowship,n,/ˈfeləʊʃɪp/,"tình bằng hữu"
39,Guiltlessness,n,/ˈɡɪltləsnɪs/,"sự vô tội"
40,Innocence,n,/ˈɪnəsns/,"sự ngây thơ, vô tội"
41,Human,n,/'hju:mən/,"con người"
42,Humanity,n,/hjuːˈmænəti/,"nhân loại"
43,Humanization,n,/ˈhjuːmənaɪˈzeɪʃn/,"sự nhân tính hóa"
44,Humanitarian,a,/hjuːˌmænɪˈteəriən/,"nhân đạo"
45,Immorality,n,/ˌɪməˈræləti/,"sự trái đạo đức"
46,Immunization,n,/ˌɪmjunaɪˈzeɪʃən/,"sự miễn dịch, sự chủng ngừa"
47,Imperceptibly,adv,/ˌɪmpəˈseptəbli/,"không thể nhận thấy"
48,Infectious,a,/ɪnˈfekʃəs/,"dễ lây nhiễm"
49,Infection,n,/ɪnˈfekʃən/,"sự lây nhiễm"
50,Infect,v,/ɪn'fek /,"lây nhiễm"
51,Inflectional,a,/ɪnˈfekʃənəl/,"(thuộc) chỗ cong"
52,Inflation,n,/ɪnˈfleɪʃn/,"sự lạm phát"
53,Deflation,n,/ˌdiːˈfleɪʃn/,"sự giảm phát"
54,Initiative,n,/ɪˈnɪʃətɪv/,"sự khởi xướng"
55,Initiator,n,/ɪˈnɪʃieɪtər/,"người khởi xướng"
56,Initiation,n,/ɪˌnɪʃiˈeɪʃn/,"sự bắt đầu, sự khởi đầu"
57,Initiate,v,/ɪˈnɪʃieɪt/,"bắt đầu, khởi xướng"
58,Motto,n,/ˈmɒtəʊ/,"châm ngôn, khẩu hiệu"
59,Notable,a,/ˈnəʊtəbl/,"đáng kể, đáng chú ý"
60,Phenomenon,n,/fəˈnɒmɪnən/,"hiện tượng"
61,Phenomena,n,/fəˈnɒmɪnən/,"hiện tượng ( số nhiều)"
62,Policy,n,/ˈpɒləsi/,"chính sách"
63,Poverty,n,/ˈpɒvəti/,"sự nghèo đói"
64,Predecessor,n,/ˈpredəsesər/,"người tiền nhiệm"
65,Principle,n,/ˈprɪnsəpl/,"nguyên lý"
66,Proliferate,v,/prəˈlɪfəreɪt/,"sinh sôi nảy nở"
67,Prosperity,n,/prɒˈsperəti/,"sự thịnh vượng"
68,Purity,n,/ˈpjʊərəti/,"sự thuần khiết"
69,Solidarity,n,/ˌsɒlɪˈdærəti/,"tình đoàn kết"
70,Supervise,v,/ˈsuːpəvaɪz/,"giám sát"
71,Supervision,n,/ˌsuːpəˈvɪʒn/,"sự giám sát"
72,Swap,n,/swɒp/,"trao đổi"
73,Symbolize,v,/ˈsɪmbəlaɪz/,"tượng trưng cho"
74,Symbol,n,/ˈsɪmbl/,"biểu tượng"
75,tackle,w,/ˈtækl/,"giải quyết, xử lí"
76,Tsunami,n,/tsuːˈnɑːmi/,"sóng thần"
77,Underprivileged,a,/ˌʌndəˈprɪvəlɪdʒd/,"thiệt thòi về quyền lợi"
78,Victim,n,/ˈvɪktɪm/,"nạn nhân"
79,Volcano,n,/vɒlˈkeɪnəʊ/,"núi lửa"
