id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"I ............... your brother at Green Street yesterday afternoon.",meet,met,have met,had met,B,"Dấu hiệu: 'Yesterday afternoon' (chiều qua) -> dùng thì Quá khứ đơn."
2,"He ............... a cigarette and ............... to the window.",light; walked,lit; walks,lighted; walked,lights; walks,C,"Diễn tả các hành động xảy ra nối tiếp nhau trong quá khứ -> dùng Quá khứ đơn."
3,"After she ............... for help, she ............... off her shoes and ............... in to save him.",shouted; took; jumped,had shouted; took; jumped,had shouted; had taken; jumped,shouted; had taken; jumped,B,"Cấu trúc: After + S + Quá khứ hoàn thành, S + Quá khứ đơn (hành động kêu cứu xảy ra trước)."
4,"I can't go with you because I ............... my homework yet.",haven't finished,had finished,finished,finish,A,"Dấu hiệu: 'Yet' -> dùng thì Hiện tại hoàn thành (dạng phủ định)."
5,"He ............... for London 2 years ago and since then I ............... him.",have left; didn't see,left; haven't seen,left; hadn't seen,had left; have't seen,B,"Dấu hiệu: '2 years ago' (QK đơn) và 'since then' (HT hoàn thành)."
6,"The performance ............... at 7 o'clock and ............... for 3 hours. We all ............... it very much.",had started; had lasted; enjoyed,had started; lasted; enjoyed,started; had lasted; enjoyed,started; lasted; enjoyed,D,"Tường thuật chuỗi sự việc nối tiếp nhau trong quá khứ -> dùng Quá khứ đơn cho tất cả động từ."
7,"Tell them to stop and take a rest. They ............... long enough.",have worked,had worked,have been working,had been working,C,"Nhấn mạnh quá trình làm việc liên tục kéo dài từ quá khứ đến hiện tại -> dùng Hiện tại hoàn thành tiếp diễn."
8,"""You ............... here before?"" - ""Yes, I ............... my holidays here last year.""",have you been; spended,have you been; spent,had you been; spent,were you; spent,B,"Câu đầu hỏi về trải nghiệm (HT hoàn thành), câu sau có mốc thời gian 'last year' (QK đơn)."
9,"We ............... our housework by tomorrow evening.",will finish,will have finished,will be finishing,are going to finish,B,"Dấu hiệu: 'By + mốc thời gian trong tương lai' -> dùng thì Tương lai hoàn thành."
10,"""Your face is dirty, Tom."" - ""All right, I ............... it.""",am washing,am going to wash,will wash,will have washed,C,"Quyết định làm ngay tại thời điểm nói -> dùng thì Tương lai đơn."
11,"Coming into the room, he ............... Mary where he ............... her.",see; left,saw; had left,had seen; left,saw; was leaving,B,"Hành động 'chia tay' (had left) xảy ra trước hành động 'nhìn thấy' (saw) trong quá khứ."
12,"I ............... from him since he ............... two years ago.",had hadn't heard; disappeared,haven't heard; disappeared,didn't hear; has disappeared,will not hear; disappears,B,"Quy tắc với since: S + HT hoàn thành + since + S + QK đơn."
13,"After the guests ............... she ............... back into the living-room and ............... off the light.",left; went; turned,had left; had gone; turned,have leftt; will got; turned,had left; went; turned,D,"Cấu trúc: After + S + Quá khứ hoàn thành, S + Quá khứ đơn (khách về trước, cô ấy quay lại sau)."
14,"By the time you finish cooking they ............... their homework.",will have finished,will finish,had finished,have finished,A,"Cấu trúc: By the time + S + Hiện tại đơn, S + Tương lai hoàn thành."
15,"""You have just missed the last train."" - ""Never mind. I ...............""",will be walking,am going to walk,will walk,am walking,C,"Quyết định tức thời ngay khi biết bị lỡ tàu -> dùng thì Tương lai đơn."
16,"""I ............... the way to the Globe Theater.""- ""OK. I ............... you.""",don't know; will show,won't know; will show,don't know; am showing,don't know; am going to show,A,"Vế đầu là trạng thái hiện tại, vế sau là lời hứa/quyết định tại chỗ -> dùng Tương lai đơn."
17,"Come in, please. I ............... for you long.",have waited,have been waiting,had been waiting,have been waited,B,"Diễn tả hành động đợi chờ kéo dài liên tục đến hiện tại -> dùng Hiện tại hoàn thành tiếp diễn."
18,"Who you ............... to the cinema with last night?",went,did you go,had gone,did you went,B,"Dấu hiệu: 'Last night' -> Câu hỏi thì Quá khứ đơn với trợ động từ 'did'."
19,"Detective: I'm afraid I must ask both of you. What ............... at 10.20 p.m yesterday? Mr. X: I ............... chess with my wife. Mr. Y: I ............... to a play on the radio.",were you doing; am playing; was listening,did you do; played; listened,were you doing; am playing; am listening,were you doing; was playing; was listening,D,"Dấu hiệu: 'Giờ cụ thể + thời gian quá khứ' (10.20 p.m yesterday) -> dùng thì Quá khứ tiếp diễn."
20,"You ............... my sister for a long time. ............... come to see us tonight?",haven't seen; Will you,won't see; Will you,had hadn't seen; Would you,haven't seen; Are you going,A,"Vế đầu dùng HT hoàn thành với 'for a long time', vế sau là lời mời cho tối nay -> dùng Will."
