id,tu_vung,tu_loai,phien_am,nghia
1,Aquatic,a,/ə'kwætɪk/,"sống dưới nước, thủy sinh"
2,Avalanche,n,/'ævəlɑ:ntʃ/,"tuyết lở"
3,Bequeath,v,/bɪ'kwi:ð/,"để lại, truyền lại"
4,Circulation,n,/ˌsɜ:kjə'leɪʃən/,"sự lưu thông, sự lưu hành"
5,Clean water,n,/kli:n'wɔ:tər/,"nước sạch"
6,Fresh water,n,/'freʃˌwɔ:tər/,"nước ngọt"
7,Spring water,n,/ˌsprɪŋ'wɔ:tər/,"nước nguồn, nước suối"
8,Mineral water,n,/'mɪnərəl ˌwɔ:tər/,"nước khoáng"
9,Combustion,n,/kəm'bʌstʃən/,"sự đốt cháy"
10,Commercial,a,/kə'mɜ:ʃəl/,"thuộc thương mại"
11,Commerce,n,/'kɒmɜ:s/,"thương mại"
12,Consequence,n,/'kɒnsɪkwəns/,"hậu quả"
13,Conservationist,n,/ˌkɒnsə'veɪʃənɪst/,"nhà bảo tồn"
14,Conservation,n,/ˌkɒnsə'veɪʃən/,"sự bảo tồn"
15,Conservational,a,/ˌkɒnsə'veɪʃənəl/,"thuộc bảo tồn"
16,Conserve,v,/kən'sɜ:v/,"bảo tồn"
17,Contaminated,a,/kən'tæmɪneɪtɪd/,"bị ô nhiễm"
18,Contaminant,n,/kən'tæmɪnənt/,"chất gây ô nhiễm"
19,Contamination,n,/kənˌtæmɪ'neɪʃən/,"sự ô nhiễm"
20,Contaminate,v,/kən'tæmɪneɪt/,"ô nhiễm"
21,Decontaminated,a,/ˌdi:kən'tæmɪneɪtɪd/,"được khử trùng, làm sạch"
22,Decomposed,a,/ˌdi:kəm'pəʊzd/,"phân hủy"
23,Depletion,n,/dɪ'pli:ʃən/,"sự trút ra, sự cạn kiệt"
24,Deplete,v,/dɪ'pli:t/,"trút ra, xả ra, rút hết"
25,Disastrous,a,/dɪ'zɑ:strəs/,"thảm khốc"
26,Domain,n,/də'meɪn/,"lãnh thổ"
27,Frequency,n,/'fri:kwənsi/,"tần số, tính thường xuyên"
28,Frequent,a,/'fri:kwənt/,"thường xuyên"
29,Highland,n,/'haɪlənd/,"cao nguyên"
30,Ice cap,np,/'aɪskæp/,"chỏm băng, mũ băng"
31,Polar ice,np,/'pəʊləraɪs/,"băng ở vùng cực"
32,Ozone layer,np,/'əʊzəʊn ˌleɪər/,"tầng ozon"
33,Greenhouse,np,/'gri:nhaʊs/,"nhà kính"
34,Iceberg,np,/'aɪsbɜ:g/,"tảng băng trôi"
35,Intensity,n,/ɪn'tensəti/,"cường độ"
36,Jeopardize,v,/'dʒepədaɪz/,"gây nguy hiểm"
37,Likelihood,n,/'laɪklɪhʊd/,"sự có khả năng xảy ra"
38,Non-biodegradable,a,/ˌnɒn baɪəʊdɪ'greɪdəbəl/,"không thể phân hủy"
39,Permanently,adv,/'pɜ:mənəntli/,"một cách vĩnh viễn"
40,Temporarily,adv,/'tempərəreli/,"một cách tạm thời"
41,Perpetuate,v,/pə'petʃueɪt/,"làm cho bất diệt, mãi duy trì"
42,Prairie,n,/'preəri/,"thảo nguyên"
43,Precautionary,a,/prɪ'kɔ:ʃənəri/,"phòng ngừa, đề phòng"
44,Precaution,n,/prɪ'kɔ:ʃən/,"sự đề phòng"
45,Probability,n,/ˌprɒbə'bɪləti/,"sự có thể có, xác suất"
46,Radiation,n,/ˌreɪdi'eɪʃən/,"phóng xạ"
47,Recycling,n,/ˌri:'saɪklɪŋ/,"sự tái chế"
48,Recycle,v,/ˌri:'saɪkəl/,"tái chế"
49,Recyclable,a,/ˌri:'saɪkləbəl/,"có thể tái chế"
50,Renewable,a,/rɪ'nju:əbəl/,"có thể tái tạo"
51,Non-renewable,a,/ˌnɒnrɪ'nju:əbəl/,"không thể tái tạo"
52,Respiratory,a,/rɪ'spɪrətəri/,"thuộc hô hấp"
53,Run-off,n,/'rʌnɒf/,"trận đấu phân thắng bại (sau trận hòa), dòng chảy"
54,Run-in,n,/'rʌnɪn/,"cuộc cãi vã, bất đồng"
55,Run-out,n,/'rʌnaʊt/,"sự lệch tâm, mất cân bằng"
56,Sector,n,/'sektər/,"khu vực"
57,Snowball,n,/'snəʊbɔ:l/,"nắm tuyết, bóng tuyết"
58,Soot,n,/sʊt/,"nhọ nồi, bồ hóng"
59,Speculate,v,/'spekjəleɪt/,"đầu cơ, tích trữ"
60,Spray,v,/spreɪ/,"phun"
61,Tenterhook,n,/'tentəhʊks/,"cái móc căng vải (ngành dệt)"
62,Territory,n,/'terɪtəri/,"địa hạt, khu vực"
63,Typhoon,n,/taɪ'fu:n/,"bão thái bình dương"
64,Hurricane,n,/'hʌrɪkən/,"lốc xoáy"
65,Unleaded,a,/ʌn'ledɪd/,"không chứa chì"
66,Unveil,v,/ʌn'veɪl/,"tiết lộ"
67,Utensil,n,/ju:'tensɪl/,"dụng cụ (nhà bếp)"
68,Wilderness,n,/'wɪldənəs/,"vùng hoang vu, hoang dã"
