id,tu_vung,tu_loai,phien_am,nghia
1,Conflict,Danh từ,/ˈkɒn.flɪkt/,"sự mâu thuẫn, tranh cãi"
2,Conflict,Động từ,/kənˈflɪkt/,"mâu thuẫn, tranh cãi"
3,Contest,Danh từ,/ˈkɒn.test/,"cuộc thi"
4,Contest,Động từ,/kənˈtest/,"tranh cãi, đấu tranh"
5,Contrast,Danh từ,/ˈkɒntrɑːst/,"sự mâu thuẫn"
6,Contrast,Động từ,/kənˈtrɑːst/,"mâu thuẫn, làm rõ sự tương phản"
7,Convert,Danh từ,/ˈkɒn.vɜːt/,"người cải đạo"
8,Convert,Động từ,/kənˈvɜːt/,"chuyển đổi, cải đạo"
9,Decrease,Danh từ,/ˈdiː.kriːs/,"sự giảm xuống"
10,Decrease,Động từ,/dɪˈkriːs/,"giảm, suy giảm"
11,Import,Danh từ,/ˈɪm.pɔːt/,"hàng nhập khẩu"
12,Import,Động từ,/ɪmˈpɔːt/,"nhập khẩu"
13,Increase,Danh từ,/ˈɪŋkriːs/,"sự tăng lên"
14,Increase,Động từ,/ɪnˈkriːs/,"tăng lên"
15,Insult,Danh từ,/ˈɪn.sʌlt/,"sự lăng mạ, sỉ nhục"
16,Insult,Động từ,/ɪnˈsʌlt/,"lăng mạ, sỉ nhục"
17,Perfect,Tính từ,/ˈpɜː.fekt/,"hoàn hảo"
18,Perfect,Động từ,/pəˈfekt/,"hoàn thiện, làm hoàn hảo"
19,Permit,Danh từ,/ˈpɜː.mɪt/,"giấy phép"
20,Permit,Động từ,/pəˈmɪt/,"cho phép"
21,Pervert,Danh từ,/ˈpɜː.vɜːt/,"kẻ hư hỏng, kẻ đồi bại"
22,Pervert,Động từ,/pəˈvɜːt/,"xuyên tạc, làm hư hỏng, sai lệch"
23,Present,Danh từ,/ˈprez.ənt/,"món quà"
24,Present,Động từ,/prɪˈzent/,"giới thiệu"
25,Produce,Danh từ,/ˈprɒd.juːs/,"nông sản, vật phẩm"
26,Produce,Động từ,/prəˈdjuːs/,"sản xuất, tạo ra"
27,Protest,Danh từ,/ˈprəʊ.test/,"sự phản kháng, kháng nghị"
28,Protest,Động từ,/prəˈtest/,"phản kháng"
29,Recall,Danh từ,/ˈriː.kɔːl/,"sự làm nhớ lại, hồi tưởng lại"
30,Recall,Động từ,/rɪˈkɔːl/,"hồi tưởng, làm nhớ lại"
31,Record,Danh từ,/ˈrek.ɔːd/,"bản lưu, bản ghi chép"
32,Record,Động từ,/rɪˈkɔːd/,"lưu trữ, ghi chép lại"
33,Reject,Danh từ,/ˈriː.dʒekt/,"phế phẩm"
34,Reject,Động từ,/rɪˈdʒekt/,từ chối
35,Suspect,Danh từ,/ˈsʌs.pekt/,"kẻ tình nghi",
36,Suspect,Động từ,/səˈspekt/,"nghi ngờ, hoài nghi điều gì đúng, xảy ra"
