id,tu_vung,tu_loai,phien_am,nghia
1,Add,v,/æd/,"cộng"
2,Subtract,v,/səbˈtrækt/,"trừ"
3,Multiply,v,/ˈmʌltɪplaɪ/,"nhân"
4,Divide,v,/dɪ'vɑɪd/,"chia"
5,Advent,n,/'ævent/,"sự đến, sự tới"
6,Artifact,n,/'ɑ:təfækt/,"đồ tạo tác (phân biệt với đồ từ thiên nhiên)"
7,Bacteriology,n,/bækˌtɪəriˈɒlədʒi/,"vi khuẩn học"
8,Carpet,n,/ˈka:pɪt/,"tấm thảm"
9,Chargeable,a,/ˈtʃɑːdʒəbl/,"phải chịu phí"
10,Charter,n,/ˈtʃɑːrtər/,"hiến chương"
11,Collaborate,v,/kəˈlæbəreɪt/,"cộng tác"
12,Composition,n,/ˌkɒmpəˈzɪʃn/,"sự sáng tác"
13,Condemn,v,/kənˈdem/,"kết án"
14,Detriment,n,/ˈdetrɪmənt/,"sự thiệt hại, sự tổn hại"
15,Drawback,n,/ˈdrɔːbæk/,"trở ngại, bất lợi"
16,Embrace,v,/ɪm'breɪs/,"nắm lấy (thời cơ...)"
17,Endorse,v,/ɪn'dɔːs/,"xác nhận, chứng thực"
18,Exploit,v,/ɪk'splɔɪt/,"khai thác"
19,Facilitate,v,/fə'sɪlɪteɪt/,"làm cho dễ dàng"
20,Fastener,n,/ˈfɑ:sənər/,"cái khóa, thiết bị khóa"
21,Hacking,n,/ˈhækɪŋ/,"việc đột nhập máy tính"
22,Hacker,n,/'hækər/,"kẻ xâm nhập máy tính"
23,Homology,n,/hɔ’mɔləddʒi/,"tính tương đồng"
24,Instant,a,/'ɪnstənt/,"Ăn/uống ngay được"
25,Instantaneous,a, /ˌɪnstən'teɪniəs/ ,"tức thời"
26,Instance,n,/'ɪnstəns/,"ví dụ"
27,Intrude,v,/ɪn'tru:d/,"xâm nhập"
28,Invention,n,/ɪnˈvenʃn/,"phát minh, sự phát minh"
29,Invent,v, /ɪn'vent/,"sáng chế"
30,Inventor,n,/'ɪn'ventər/,"nhà phát minh"
31,Inventive,a,/ɪn'ventɪv/,"có óc sáng tạo"
32,Mechanically,adv,/məˈkænɪkli/,"một cách máy móc"
33,Mishap,n,/ˈmɪshæp/,"việc rủi ro, không may"
34,Nanotechnology,n,/ˌnænəʊtekˈnɒlədʒi/,"công nghệ nano"
35,Paddle-wheel,n,/ ˈpædəlˌwi:l/,"bánh guồng (bộ phận tàu thủy)"
36,Patent,n,/peɪtənt/,"bằng công nhận đặc quyền chế tạo"
37,Permissible,a,/pə'mɪsəbəl/,"có thể chấp nhận, cho phép được"
38,Plantation,n,/plɑːnˈteɪʃn/,"khu đất trồng"
39,Portable,a,/ˈpɔːtəbəl/,"có thể mang theo"
40,Pottery,n,/potari/,"đồ gốm"
41,Precaution,n,/prɪˈkɔːʃn/,"sự phòng ngừa, sự đề phòng"
42,Protocol,n,/ˈprəʊtəkɒl/,"nghi thức ngoại giao"
43,Solar charger,n,/ˈsəʊlər ˈtʃɑːrdʒər/,"pin sạc bằng ánh sáng mặt trời"
44,Spaceship,n,/ˈspeɪsʃɪp/,"tàu không gian"
45,Spacesuit,n,/ˈspeɪssuːt/,"bộ quần áo cho các phi hành gia ngoài vũ trụ"
46,Spiritually,adv,/ˈspɪrɪtʃuəli/,"một cách có tâm hồn, tâm linh"
47,Submarine,n,/ˌsʌbməˈriːn/,"tàu ngầm"
48,Textile,n,/ˈtekstaɪl/,"hàng dệt"
49,Tool,n,/tu:l/,"công cụ (dùng bằng tay để làm hoặc sửa chữa đồ)"
50,Instrument,n,/ɪnstrəmənt/,"nhạc cụ"
51,Appliances,n,/ə'plaɪəns/,"thiết bị, dụng cụ (bằng điện)"
52,Equipment,n,/ɪ'kwɪpmənt/,"đồ trang bị cần thiết cho một mục đích đặc biệt"
53,Transferable,a,/trænsˈfɜːrəbl/,"có thể di chuyển từ nơi này sang nơi khác"
54,Unauthorized,a,/ʌnˈɔːθəraɪzd/,"không có quyền hạn, không được phép"
55,Vegetal,a,/ˈvedʒətl/,"thuộc thực vật"
56,Versatile,a,/ˈvɜːsətaɪl/,"linh hoạt"
57,Zipper,n,/ˈzɪpər/,"khóa kéo (trên áo quần)"
