id,tu_vung,tu_loai,phien_am,nghia
1,Acidification,n,/əˌsɪdɪfɪ'keɪʃən/,"sự axit hóa"
2,Adapt,v,/ə'dæpt/,"thích nghi"
3,Adaption,n,/ˌædəp'tʃən/,"sự thích nghi"
4,Adopt,v,/ə'dɒpt/,"nhận con nuôi"
5,Adoption,n,/ə'dɒpʃən/,"sự nhận con nuôi"
6,Aesthetic,a,/es'θetɪk/,"có thẩm mỹ"
7,Algae,n,/'ælgi:/,"tảo"
8,Aquatic,a,/ə'kwætɪk/,"sống ở môi trường nước, thủy sinh"
9,Biodiversity,n,/ˌbaɪəʊdaɪ'vɜ:səti/,"sự đa dạng sinh học"
10,Bramble,n,/'bræmbəl/,"bụi gai"
11,Breed,v,/bri:d/,"sinh sản"
12,Calf,n,/kɑ:f/,"con non"
13,Captivity,n,/kæp'tɪvəti/,"sự bắt giữ, sự giam cầm"
14,Carnivore,n,/'kɑ:nɪvɔ:r/,"động vật ăn thịt"
15,Contamination,n,/kənˌtæmɪ'neɪʃən/,"sự ô nhiễm"
16,Contend,v,/kən'tend/,"đấu tranh, tranh giành"
17,Corruption,n,/kə'rʌpʃən/,"sự tham nhũng"
18,Decibel,n,/'desɪbel/,"đơn vị đo đề-xi-mét"
19,Digest,v,/daɪ'dʒest/,"tiêu hóa"
20,Digestion,n,/daɪ'dʒestʃən/,"sự tiêu hóa"
21,Disappearance,n,/ˌdɪsə'pɪərəns/,"sự biến mất"
22,Appearance,n,/ə'pɪərəns/,"sự xuất hiện"
23,Dominant,a,/'dɒmɪnənt/,"thống trị"
24,Dominance,n,/'dɒmɪnəns/,"địa vị thống trị, sự áp đảo"
25,Dorsal,a,/'dɔ:səl/,"ở lưng, mặt lưng"
26,Enemy,n,/'enəmi/,"kẻ thù, thù địch"
27,Ensnared,a,/ɪn'sneərd/,"bị đánh bẫy, bị giăng bẫy"
28,Entangled,a,/ɪn'tæŋgəld/,"bị mắc bẫy"
29,Evolve,v,/ɪ'vɒlv/,"tiến hóa"
30,Evolution,n,/ˌi:və'lu:ʃən/,"sự tiến hóa"
31,Expression,n,/ɪk'spreʃən/,"sự thể hiện"
32,Expulsion,n,/ɪk'spʌlʃən/,"sự trục xuất"
33,Extinction,n,/ɪk'stɪŋkʃən/,"sự tuyệt chủng"
34,Extension,n,/ɪk'stenʃən/,"sự mở rộng"
35,Exterminate,v,/ɪk'stɜ:mɪneɪt/,"triệt tiêu, hủy diệt"
36,Fertilizer,n,/'fɜ:tɪlaɪzər/,"phân bón hóa học"
37,Frontal,a,/'frʌntəl/,"thuộc phần trán, phần trước"
38,Gargantuan,a,/gɑ:'gæntʃuən/,"to lớn, khổng lồ"
39,Gestation,n,/dʒes'teɪʃən/,"thời kì thai nghén"
40,Gigantic,a,/ˌdʒaɪ'gæntɪk/,"kếch xù"
41,Groove,n,/gru:v/,"đường rãnh"
42,Herbicide,n,/'hɜ:bɪsaɪd/,"thuốc diệt cỏ"
43,Herbivore,n,/'hɜ:bɪvɔ:r/,"động vật ăn cỏ"
44,Justification,n,/ˌdʒʌstɪfɪ'keɪʃən/,"sự bào chữa, sự biện hộ"
45,Lichen,n,/'laɪkən/,"địa y"
46,Low-frequency,a,/ləʊ 'fri:kwənsi/,"tần số thấp"
47,Maintenance,n,/'meɪntənəns/,"sự duy trì, sự gìn giữ"
48,Mammal,n,/'mæməl/,"động vật có vú"
49,Marine,a,/mə'ri:n/,"thuộc về biển, đại dương"
50,Maturity,n,/mə'tʃʊərəti/,"sự chín chắn, sự trưởng thành"
51,Migration,n,/maɪ'greɪʃən/,"sự di cư"
52,Migrate,v,/maɪ'greɪt/,"di cư"
53,Moss,n,/mɒs/,"rêu"
54,Navel,n,/'neɪvəl/,"rốn, trung tâm"
55,Omnivore,n,/'ɒmnɪvɔ:r/,"động vật ăn tạp"
56,Organism,n,/'ɔ:gənɪzəm/,"sinh vật"
57,Overexploitation,n,/'əʊvərˌeksplɔɪ'teɪʃən/,"sự khai thác quá mức"
58,Pesticide,n,/'pestɪsaɪd/,"thuốc trừ sâu"
59,Phytoplankton,n,/ˌfaɪtəʊ'plæŋktən/,"thực vật phù du"
60,Poacher,n,/'pəʊtʃər/,"kẻ săn trộm"
61,Precious,a,/'preʃəs/,"quý giá"
62,Predator,n,/'predətər/,"dã thú, kẻ săn mồi"
63,Prosperous,a,/'prɒspərəs/,"thịnh vượng"
64,Provision,n,/prə'vɪʒən/,"sự cung cấp"
65,Provide,v,/prə'vaɪd/,"cung cấp"
66,Resolve,v,/rɪ'zɒlv/,"quyết tâm, kiên quyết"
67,Resolution,n,/ˌrezə'lu:ʃən/,"sự quyết tâm, sự kiên quyết"
68,Resultantly,adv,/rɪ'zʌltəntli/,"hậu quả là, kết quả là"
69,Rostrum,n,/'rɒstrəm/,"bục phát biểu"
70,Sophisticated,a,/sə'fɪstɪkeɪtɪd/,"phức tạp"
71,Survive,v,/sə'vaɪv/,"sinh tồn"
72,Survival,n,/sə'vaɪvəl/,"sự sinh tồn"
73,Survivor,n,/sə'vaɪvər/,"người sống sót"
74,Timber,n,/'tɪmbər/,"gỗ xây dựng"
75,Tissue,n,/'tɪʃu:/,"mô, tế bào"
76,Trunk,n,/trʌŋk/,"thân cây"
77,Unprecedented,a,/ʌn'presɪdentɪd/,"chưa từng thấy, chưa từng có"
78,Ventral,a,/'ventrəl/,"ở bụng, phần bụng"
79,Vulnerable,a,/'vʌlnərəbəl/,"dễ bị tổn thương"
