id,nhom,tu_vung,nghia
1,Account,Account for = explain,giải thích
2,Ask,Ask about,hỏi về
3,Ask,Ask after,hỏi thăm
4,Ask,Ask for,xin
5,Ask,Ask sb out,mời ai đó đi ăn/đi chơi
6,Break,Break away,"trốn thoát, thoát khỏi"
7,Break,Break down,"hỏng hóc, sụp đổ, ngất xỉu"
8,Break,Break in,"xông vào, ngắt lời, cắt ngang câu chuyện"
9,Break,Break off with sb,"cắt đứt quan hệ với ai, tuyệt giao với ai"
10,Break,Break out,"bùng nổ, bùng phát"
11,Break,Break up,"chia lìa, chia li, chia tay"
12,Break,Break into,đột nhập vào
13,Bring,Bring about,"làm xảy ra, dẫn đến, gây ra"
14,Bring,Bring back,"đem trả lại, mang trả lại, gợi nhớ"
15,Bring,Bring down,"hạ xuống, làm tụt xuống"
16,Bring,Bring forward,"đưa ra, nêu ra, đề ra"
17,Bring,Bring in,"đưa vào, mang vào"
18,Bring,Bring off,thành công
19,Bring,Bring on,"dẫn đến, gây ra, làm cho phải bàn cãi"
20,Bring,Bring out,"đưa ra, làm nổi bật"
21,Bring,Bring over,"thuyết phục, làm cho thay đổi suy nghĩ"
22,Bring,Bring round,làm cho tỉnh lại
23,Bring,Bring round to,làm cho thay đổi ý kiến theo
24,Bring,Bring through,"giúp vượt qua khó khăn, hiểm nghèo"
25,Blow,Blow about,"lan truyền, tung ra"
26,Blow,Blow down,"thổi ngã, làm đổ rạp xuống"
27,Blow,Blow in,"thổi vào, đến bất chợt, đến thình lình"
28,Blow,Blow off,"thổi bay đi, làm xì hơi ra, tiêu phí, phung phí"
29,Blow,Blow out,thổi tắt
30,Blow,Blow over,"bỏ qua, quên đi"
31,Blow,Blow up,bơm căng lên
32,Catch,Catch on,"nổi tiếng, trở thành mốt, được ưa chuộng, hiểu"
33,Catch,Catch out,bất chợt bắt được ai đang làm gì
34,Catch,Catch up (with),"đuổi kịp, bắt kịp"
35,Call,Call out,gọi to
36,Call,Call on/upon,"kêu gọi, yêu cầu, tạt qua thăm"
37,Call,Call for,"gọi, tìm đến ai để lấy cái gì"
38,Call,Call at,"dừng lại, đỗ lại, ghé thăm"
39,Call,Call in,"mời đến, triệu đến"
40,Call,Call off,"hoãn lại, đình lại"
41,Call,Call up,"gọi tên, gọi điện, gọi dậy, gọi nhập ngũ"
42,Call,Call on,"đến thăm, đề nghị, yêu cầu"
43,Come,Come about,"xảy ra, xảy đến"
44,Come,Come across,tình cờ gặp
45,Come,Come after,"theo sau, nối dõi, nối nghiệp, kế tục"
46,Come,Come against,"đụng phải, va phải"
47,Come,Come apart,"tách lìa ra, bung ra"
48,Come,Come at,"nắm được, xông vào"
49,Come,Come away,"đi xa, đi khỏi"
50,Come,Come back,quay trở lại
51,Come,Come between,"can thiệp vào, xen vào"
52,Come,Come by,"đi qua, kiếm được, vớ được"
53,Come,Come down,"sa sút, xuống dốc"
54,Come,Come down on/upon,"mắng nhiếc, xỉ vả, trừng phạt"
55,Come,Come down with,mắc bệnh
56,Come,Come in,đi vào
57,Come,Come in for,"có phần, nhận lấy"
58,Come,Come into,"được hưởng, thừa kế"
59,Come,Come out,"lộ ra, xuất bản"
60,Come,Come over,"trùm lên, bao trùm"
61,Come,Come round,hồi phục
62,Come,Come up,xảy ra
63,Come,Come up with,"nảy ra, tìm ra ý tưởng"
64,Come,Come up to,đạt tới mong đợi
65,Cut,Cut away,"cắt, chặt đi"
66,Cut,Cut back,"tỉa bớt, cắt bớt"
67,Cut,Cut down,"chặt, đốn"
68,Cut,Cut in,"nói xen vào, chen ngang"
69,Cut,Cut off,"cắt, cúp, ngừng hoạt động"
70,Cut,Cut out,"cắt ra, bớt ra"
71,Cut,Cut up,"chỉ trích gay gắt, phê bình nghiêm khắc"
72,Cut,Cut down on,cắt giảm
73,Carry,Carry away,"mang đi, cuốn đi, bị làm cho mê say"
74,Carry,Carry off,"chiếm đoạt, làm cho chấp nhận được, làm cho thông qua được"
75,Carry,Carry on,tiếp tục
76,Carry,Carry out,"thực hiện, tiến hành"
77,Carry,Carry over,mang sang bên kia
78,Carry,Carry through,"hoàn thành, vượt qua"
79,Drop,Drop across,"tình cờ, ngẫu nhiên gặp"
80,Drop,Drop off,lần lượt bỏ đi
81,Drop,Drop in,"tạt vào thăm, nhân tiện đi qua ghé vào thăm"
82,Drop,Drop on,"mắng nhiếc, sỉ vả, trừng phạt"
83,Drop,Drop out,"bỏ cuộc, bỏ giữa chừng"
84,Die,Die of,chết vì bệnh gì
85,Die,Die for,hi sinh cho cái gì
86,Die,Die down,"chết dần, chết mòn"
87,Die,Die off,chết lần lượt
88,Die,Die out,tuyệt chủng
89,Do,Do away with,"bãi bỏ, thủ tiêu"
90,Do,Do by,"xử sự, đối xử"
91,Do,Do over,"làm lại, bắt đầu lại"
92,Do,Do up,"trang trí, sửa lại"
93,Fall,Fall out of,rơi ra khỏi
94,Fall,Fall back,"ngã ngửa, rút lui"
95,Fall,Fall back on,"phải cần đến, phải dùng đến"
96,Fall,Fall behind,"thụt lùi, tụt lại"
97,Fall,Fall down,"rơi xuống, thất bại"
98,Fall,Fall for,"mê tít, bị bịp, chơi xỏ"
99,Fall,Fall in with,tán đồng theo quan điểm của ai
100,Fall,Fall off,"giảm sút, suy đồi"
101,Fall,Fall on,tấn công
102,Fall,Fall out,"cãi nhau, bất hoà, xoã tóc"
103,Fall,Fall over,ngã lộn nhào
104,Fall,Fall through,"hỏng, dang dở, không đi đến kết quả nào"
105,Fall,Fall to,bắt đầu
106,Fall,Fall under,"được liệt vào, chịu ảnh hưởng của"
107,Fill,Fill in,điền đầy đủ thông tin
108,Fill,Fill out,"làm căng ra, làm to ra, mập ra"
109,Fill,Fill up,"đổ đầy, lấp đầy"
110,Get,Get across,giải thích rõ ràng
111,Get,Get around,đi vòng qua
112,Get,Get at,nắm được
113,Get,Get away,"đi khỏi, đi xa"
114,Get,Get back,"lùi lại, trở lại"
115,Get,Get behind with st,chưa hoàn thành một việc gì đó
116,Get,Get behind,ủng hộ
117,Get,Get by,xoay sở để sống/làm một việc gì đó
118,Get,Get down,đi xuống
119,Get,Get on,"đi lên, tiến bộ, lên xe"
120,Get,Get off,xuống xe
121,Get,Get off with sb,"làm thân, ve vãn ai"
122,Get,Get out,đi ra ngoài
123,Get,Get over,"vượt qua, khắc phục, khỏi"
124,Get,Get round,"bình phục, khỏi"
125,Get,Get through,"hoàn thành, làm xong"
126,Get,Get up,thức dậy
127,Get,Get down to V-ing,bắt đầu nghiêm túc làm gì
128,Give,Give away,"cho, trao, phát"
