id,tu_vung,tu_loai,phien_am,nghia
1,Additionally,adv,/ə'dɪʃənəli/,"thêm vào đó"
2,Alleviation,n,/əˌli:vi'eɪʃn/,"sự làm nhẹ đi, giảm nhẹ đi"
3,Beetle,n,/'bi:təl/,"bọ cánh cứng"
4,Bio-fertilizer,n,/baɪəʊ'fɜ:tɪlaɪzər/,"phân bón sinh học"
5,Catastrophe,n,/kə'tæstrəfi/,"tai ương, tai họa"
6,Catastrophic,a,/ˌkætə'strɒfɪk/,"tai ương, thảm khốc"
7,Climatology,n,/ˌklaɪmə'tɒlədʒi/,"khí hậu học"
8,Climate,n,/'klaɪmət/,"khí hậu"
9,Climatic,a,/klaɪ'mætɪk/,"thuộc khí hậu"
10,Climax,n,/'klaɪmæks/,"cao trào"
11,Clumsily,adv,/'klʌmzəli/,"một cách vụng về"
12,Commend,v,/kə'mend/,"tán dương, ca ngợi"
13,Condemn,v,/kən'dem/,"kết tội"
14,Denounce,v,/dɪ'naʊns/,"tố cáo, vạch mặt"
15,Converse,v,/'kɒnvɜ:s/,"nói chuyện"
16,Creativity,n,/ˌkrieɪ'tɪvəti/,"tính sáng tạo, óc sáng tạo"
17,Creation,n,/kri'eɪʃn/,"sự sáng tạo"
18,Creature,n,/'kri:tʃər/,"sinh vật"
19,Creative,a,/kri'eɪtɪv/,"sáng tạo"
20,Deposit,v,/dɪ'pɒzɪt/,"đặt cọc"
21,Ecological,a,/ˌi:kə'lɒdʒɪkəl/,"thuộc sinh thái"
22,Ecology,n,/i'kɒlədʒi/,"sinh thái"
23,Ecologist,n,/i'kɒlədʒɪst/,"nhà sinh thái"
24,Emission,n,/i'mɪʃən/,"sự phát ra, sự tỏa ra"
25,Emit,v,/i'mɪt/,"phát ra, tỏa ra"
26,Emissive,a,/i'mɪsɪv/,"phát ra, tỏa ra"
27,Enhancement,n,/ɪn'hɑ:nsmənt/,"sự nâng cao"
28,Evaporation,n,/ɪ'væpəreɪt/,"làm bay hơi, sự bốc hơi"
29,Exacerbate,v,/ɪg'zæsəbeɪt/,"làm trầm trọng thêm"
30,Exonerate,v,/ɪg'zɒnəreɪt/,"miễn tội cho ai"
31,Glacier,n,/'glæsiər/,"sông băng"
32,Heat-insulated,a,/hi:t 'ɪnsjəleɪtɪd/,"cách nhiệt"
33,Heat-released,a,/hi:t rɪ'li:sd/,"tỏa nhiệt"
34,Heat-related,a,/hi:t rɪ'leɪtɪd/,"liên quan đến nhiệt"
35,Heat-treated,a,/hi:t 'tri:tɪd/,"được xử lý bằng nhiệt, nhiệt luyện"
36,Heat-trapping,a,/hi:t 'træpɪŋ/,"giữ nhiệt"
37,Horribly,adv,/'hɒrəbli/,"một cách đáng sợ"
38,Incidence,n,/'ɪnsɪdəns/,"sự tác động vào, phạm vi ảnh hưởng"
39,Indication,n,/ˌɪndɪ'keɪʃən/,"dấu hiệu, sự chỉ dẫn"
40,Infectious,a,/ɪn'fekʃəs/,"dễ lây nhiễm"
41,Infection,n,/ɪn'fekʃən/,"sự lây nhiễm"
42,Inland,a,/'ɪnlənd/,"nội địa"
43,Mitigation,n,/ˌmɪtɪ'geɪʃən/,"sự làm nhẹ, làm dịu"
44,Mitigate,v,/'mɪtɪgeɪt/,"làm nhẹ, làm dịu"
45,Moderately,adv,/'mɒdərətli/,"một cách có mức độ"
46,Permafrost,n,/'pɜ:məfrɒst/,"sự đóng băng vĩnh viễn"
47,Potentially,adv,/pə'tenʃəli/,"một cách tiềm năng"
48,Possessively,adv,/pə'zesɪvli/,"chiếm hữu, sở hữu"
49,Imperatively,adv,/ɪm'perətɪvli/,"một cách khẩn cấp, cấp bách"
50,Crucially,adv,/'kru:ʃəlli/,"một cách quan trọng"
51,Prevalence,n,/'prevələns/,"sự thịnh hành"
52,Recklessly,adv,/'rekləsli/,"một cách liều lĩnh"
53,Reverse,v,/rɪ'vɜ:s/,"đảo ngược"
54,Reserve,v,/rɪ'zɜ:v/,"giữ gìn, bảo tồn"
55,Sparingly,adv,/'speərɪŋli/,"một cách dè xẻn, không hoang phí"
56,Substitute,a,/'sʌbstitju:t/,"thay thế"
57,Supremely,adv,/su:'pri:mli/,"tột cùng"
58,Suspect,v,/sə'spekt/,"nghi ngờ"
59,Inspection,n,/ɪn'spekʃən/,"sự thanh tra, xem xét kỹ"
60,Inspector,n,/ɪn'spektər/,"người thanh tra, kiểm tra"
61,Tactlessly,adv,/'tæktləsli/,"không khéo cư xử"
62,Thawing,a,/θɔ:ɪŋ/,"tan ra"
63,Timeframe,n,/'taɪm ˌfreɪm/,"khung thời gian, khoảng thời gian được lên lịch"
64,Whipping,n,/'wɪpɪŋ/,"trận đòn roi, sự đánh đập"
