level,grammar,listening,vocab,g_gap,l_gap,v_gap,trend_g,trend_l,trend_v,weak_grammar,weak_listening,weak_vocab,severity
5.0,0.8556787,0.93559563,0.73671347,-0.0130160805,-0.09293304,0.10594912,-0.09760663,0.0142085375,-0.12445561,0,0,0,0
3.0,0.72521114,0.55942255,0.6464961,-0.081501216,0.08428737,-0.0027861518,0.073562264,-0.05299238,-0.04778662,0,0,0,1
5.0,1.0,1.0,0.9456034,-0.01813221,-0.01813221,0.03626442,0.22906877,-0.09551411,-0.019664435,0,0,0,0
4.0,0.45344496,0.6304425,0.8162907,0.17994775,0.0029502227,-0.18289797,0.0027420535,-0.070031576,-0.037380673,1,0,0,1
1.0,0.38572973,0.37477645,0.31018502,-0.02883266,-0.017879387,0.04671205,-0.08112679,0.06333764,-0.12730922,1,1,1,2
6.0,0.8478963,0.7984897,0.8954568,-0.000615379,0.048791222,-0.04817584,-0.14706406,0.048970386,0.11064764,0,0,0,0
5.0,0.80228317,0.55597305,0.76080126,-0.09593069,0.15037943,-0.05444875,-0.056639906,-0.103526264,-0.025571648,0,0,0,0
5.0,0.5496982,0.7147239,0.74500704,0.12011153,-0.044914186,-0.07519735,0.017739143,-0.07869665,-0.15549026,0,0,0,1
1.0,0.0,0.37726262,0.08808971,0.15511745,-0.22214518,0.06702773,-0.05599754,-0.10335843,-0.088404104,1,1,1,2
3.0,0.17628941,0.29434705,0.3104074,0.08405854,-0.03399909,-0.050059453,-0.041043643,-0.021005355,-0.09055866,1,1,1,2
3.0,0.18123055,0.45524487,0.32390848,0.13889742,-0.13511692,-0.0037805059,-0.04846996,-0.04863653,-0.21346694,1,1,1,2
6.0,0.97634465,1.0,1.0,0.015770229,-0.007885114,-0.007885114,-0.049483772,-0.0069430643,-0.03847661,0,0,0,0
4.0,0.75284725,0.6968375,0.718014,-0.030281007,0.025728755,0.0045522526,-0.02044023,-0.120485194,0.11355054,0,0,0,0
5.0,0.79947627,0.78639174,0.6995271,-0.03767791,-0.024593385,0.062271293,-0.08770743,0.15492868,-0.03880316,0,0,0,0
3.0,0.4931491,0.52732706,0.66831267,0.069780506,0.035602532,-0.10538303,-0.012664275,0.002177087,-0.037600286,1,1,0,1
2.0,0.41062093,0.5470091,0.6850822,0.13694982,0.00056164246,-0.13751146,-0.0046508913,-0.08180977,0.036545184,0,1,0,1
4.0,0.46379438,0.89746654,0.3993776,0.12308512,-0.31058702,0.18750189,0.10841119,-0.08400649,-0.083766945,1,0,1,1
1.0,0.13878669,0.373167,0.18996084,0.09518482,-0.13919549,0.044010673,-0.11458871,-0.07663345,-0.14324328,1,1,1,2
5.0,0.6940185,0.55702347,0.69905555,-0.043985963,0.09300902,-0.049023055,0.063865185,0.09668423,0.06054366,0,0,0,1
4.0,0.7632512,0.5498601,0.78543913,-0.063734375,0.14965667,-0.0859223,0.07073975,0.12593995,-0.014503792,0,1,1,1
5.0,0.70118016,0.9804058,0.99257094,0.19020547,-0.08902016,-0.10118531,-0.037507456,-0.06552325,-0.17899828,0,0,0,0
3.0,0.6559734,0.59395486,0.65164727,-0.022114854,0.039903633,-0.01778878,-0.07816128,-0.068552874,0.02019401,0,1,0,1
6.0,0.9560103,0.80851746,0.9939722,-0.036510333,0.11098253,-0.0744722,0.13186504,-0.17742486,0.029869398,0,0,0,0
5.0,0.69965154,0.62902,0.72469366,-0.015196512,0.055435088,-0.040238574,-0.1411791,-0.17310229,-0.192426,0,0,0,0
5.0,0.41598192,0.68026865,0.69947815,0.18259431,-0.08169241,-0.100901894,-0.10551549,0.0017549965,-0.25222483,1,0,0,1
2.0,0.45121738,0.2544067,0.0672054,-0.19360757,0.003203138,0.19040443,-0.13578765,-0.06672186,-0.11058794,1,1,0,2
3.0,0.6244582,0.45643213,0.5873079,-0.068392135,0.09963394,-0.031241806,-0.09014647,-0.061785407,0.2367022,1,0,0,1
1.0,0.2480694,0.21228229,0.26541954,-0.0061456594,0.029641455,-0.023495797,-0.06274015,-0.08917028,0.20061338,1,1,1,2
2.0,0.2987777,0.2465226,0.39076433,0.013243833,0.06549894,-0.07874277,0.11149953,-0.0050283703,0.117458604,1,0,1,2
4.0,0.48849496,0.78502715,0.8729077,0.22698162,-0.069550544,-0.15743108,-0.061977662,-0.002730985,-0.07827203,0,0,1,1
4.0,0.5612036,0.54091835,0.7252583,0.04792315,0.06820841,-0.11613157,0.19494708,0.08429968,-0.095443204,0,0,1,1
6.0,0.83221364,0.92278695,1.0,0.08611989,-0.0044534337,-0.081666455,0.08458835,0.26013765,-0.13320018,0,0,0,0
2.0,0.39685482,0.28535396,0.0,-0.1694519,-0.057951022,0.22740293,-0.07706814,-0.13374448,-0.17288311,1,0,1,2
3.0,0.8706309,0.41175652,0.39082044,-0.31289494,0.14597943,0.16691552,-0.06391375,-0.14869933,0.035099253,0,1,1,1
3.0,0.38039958,0.35232463,0.38121486,-0.009086558,0.018988403,-0.009901845,-0.009757005,0.123015754,0.14400971,1,1,1,2
2.0,0.1664363,0.41149363,0.5445336,0.20771821,-0.037339117,-0.1703791,-0.029952986,-0.036628917,-0.049155794,0,1,1,2
1.0,0.1353142,0.0,0.069810554,-0.06693927,0.06837492,-0.0014356418,-0.16161704,0.031063898,-0.09904599,1,1,0,2
3.0,0.3905936,0.4013756,0.48237908,0.034189157,0.023407154,-0.05759631,-0.10801351,-0.14375155,-0.12156177,1,1,1,1
2.0,0.495021,0.53813356,0.4925996,0.013563721,-0.029548839,0.015985116,-0.17973572,-0.13329324,-0.048251793,1,0,1,1
4.0,0.63968813,0.6499224,0.7934263,0.054657448,0.044423252,-0.099080704,0.15993382,0.066260055,-0.09303791,1,0,1,1
3.0,0.40809602,0.49928194,0.3314781,0.004856014,-0.08632994,0.081473924,-0.021793133,-0.1541375,-0.1731968,1,1,1,1
5.0,0.8323033,0.7174724,0.8920341,-0.018366706,0.09646421,-0.07809751,-0.038810886,0.12895934,0.0133291185,1,0,0,0
4.0,0.8174697,0.62241405,0.44526833,-0.18908568,0.005969989,0.18311568,-0.08135299,0.06770064,-0.10221461,0,0,0,1
2.0,0.12484553,0.5966094,0.1599314,0.16894992,-0.30281395,0.13386405,-0.09849236,-0.09180427,-0.09862321,1,0,1,2
5.0,0.95759887,0.8319731,0.83171505,-0.083836555,0.04178924,0.042047314,-0.14919473,0.14994024,-0.0067990734,0,1,0,0
5.0,0.8479639,0.6325095,0.8612399,-0.067392826,0.14806162,-0.08066879,0.011323992,0.045289613,-0.21057563,0,1,0,0
3.0,0.61409885,0.8349139,0.6390632,0.08192646,-0.1388886,0.056962144,0.056285813,-0.027164888,-0.17003323,0,1,1,1
2.0,0.5319961,0.37349233,0.53299093,-0.052502956,0.10600079,-0.053497836,0.1289117,-0.017951675,-0.0067802053,1,1,0,1
4.0,0.5757378,0.58683836,0.37951076,-0.06170882,-0.0728094,0.13451822,0.05675626,-0.21103784,-0.14452992,1,0,1,1
1.0,0.33578718,0.16081293,0.0,-0.17025381,0.004720441,0.16553336,0.035430964,-0.17105271,-0.043911204,1,1,1,2
2.0,0.45480874,0.15730987,0.096514404,-0.21859773,0.07890113,0.1396966,0.087596215,0.03562331,-0.113088794,1,1,1,2
1.0,0.28852957,0.25922248,0.008834234,-0.10300081,-0.073693715,0.17669453,-0.058292426,-0.011732664,-0.02065745,1,1,1,2
5.0,0.797521,0.99359506,0.76306266,0.053871922,-0.14220218,0.08833026,-0.14599222,0.13759688,-0.17029433,0,0,0,0
4.0,0.59814864,0.73025113,0.69953793,0.07783059,-0.054271888,-0.0235587,0.061381284,0.024325931,-0.10635938,0,0,1,1
4.0,0.88719094,0.6376053,0.6758229,-0.15365121,0.09593442,0.057716794,-0.077613875,-0.13654238,0.14261869,0,0,0,1
5.0,0.81959414,0.6990392,0.7163174,-0.074610546,0.045944363,0.028666187,-0.009717087,-0.11574759,0.029975684,0,0,0,0
3.0,0.62963754,0.9589612,0.78899753,0.16289455,-0.1664291,0.0035345545,-0.11822147,-0.08167319,0.092708975,1,0,1,0
4.0,0.5601139,0.67083436,0.5441543,0.031586934,-0.0791335,0.04754657,0.092643775,-0.077196985,-0.021151615,1,0,0,1
1.0,0.0,0.27223307,0.30355915,0.19193074,-0.08030233,-0.11162841,0.040745795,-0.025862494,-0.16955549,0,1,1,2
1.0,0.0320152,0.055999134,0.020405577,0.00412477,-0.019859163,0.015734393,-0.19023275,0.07318333,-0.12160087,1,1,1,2
4.0,0.70777494,0.6335417,0.6272454,-0.051587597,0.022645663,0.028941933,-0.0061825034,0.04413804,-0.08589019,0,0,0,1
3.0,0.61321735,0.47715405,0.5739291,-0.058450513,0.07761276,-0.019162247,0.08294492,0.1030819,-0.08318561,0,1,0,1
4.0,0.7711936,0.7479463,0.68351674,-0.03697475,-0.013727405,0.050702155,-0.022989817,0.026070924,0.121297896,0,0,0,0
5.0,0.5413936,0.9971208,0.7913441,0.23522593,-0.2205013,-0.0147246355,-0.023506604,-0.041930713,-0.031257894,1,0,0,1
4.0,1.0,0.6456022,0.5504884,-0.2679698,0.08642798,0.1815418,0.09234677,-0.16126497,-0.16338515,0,1,0,1
4.0,0.8177734,0.74601334,0.6835596,-0.06865796,0.0031021019,0.065555856,-0.042664357,0.04690986,-0.08454048,0,0,0,0
4.0,0.53872716,0.44758847,0.40678093,-0.07436164,0.016777039,0.057584602,-0.029731037,-0.03546804,0.009294593,0,1,1,1
2.0,0.2853998,0.0058983094,0.08546945,-0.15981062,0.11969088,0.04011974,0.044329036,0.03563789,-0.19585621,1,1,1,2
1.0,0.1726442,0.0,0.48688698,0.04719952,0.21984373,-0.26704323,-0.14617445,-0.10099371,0.077516,1,1,1,2
3.0,0.66934174,0.65913874,0.60735786,-0.024062298,-0.013859309,0.037921607,-0.087174535,0.1472782,0.12457801,0,0,0,1
2.0,0.49895996,0.68141586,0.29519826,-0.0071019367,-0.18955784,0.19665977,-0.19997378,0.14776072,-0.123544134,1,0,1,2
3.0,0.49971053,0.45502356,0.49960214,-0.014931795,0.029755194,-0.014823399,0.17236876,-0.115158744,0.031980082,1,1,0,1
5.0,0.6878855,0.74146473,0.9183736,0.09468909,0.04110987,-0.13579896,-0.0034508626,0.02814661,0.0886155,1,0,0,0
2.0,0.2596941,0.2418727,0.43270722,0.051730577,0.06955197,-0.12128254,0.06968519,-0.1924414,-0.13327111,1,1,1,2
1.0,0.102306664,0.2824335,0.09427518,0.057365123,-0.122761734,0.065396614,-0.15909192,-0.11835103,-0.086135685,1,0,1,2
2.0,0.14745304,0.51218385,0.32608217,0.18111998,-0.18361083,0.0024908492,0.08201436,-0.11288514,-0.06865608,1,1,1,2
2.0,0.50194,0.56549007,0.64573896,0.06911635,0.0055662952,-0.07468264,-0.055937264,-0.087526046,0.013687848,1,1,1,1
4.0,0.6345722,0.73141426,0.74584544,0.06937177,-0.027470319,-0.04190145,0.11633581,-0.033289082,0.13388789,1,0,0,2
4.0,0.4923935,0.8506276,0.6957436,0.18719475,-0.17103937,-0.016155371,-0.041157026,-0.09667515,-0.038055923,0,0,0,1
5.0,0.7194378,0.5144879,0.53187436,-0.13083775,0.07411212,0.056725632,-0.116439044,0.0021537847,-0.17260234,0,0,0,1
4.0,0.54693323,0.84267426,0.42638788,0.058398575,-0.23734248,0.1789439,0.08552319,-0.16525583,-0.20231782,1,0,1,1
3.0,0.60743564,0.8445295,0.5442103,0.05795616,-0.1791377,0.12118154,-0.01835534,0.09176552,-0.09897734,1,1,0,1
5.0,0.91098875,0.79417324,0.6649042,-0.120966665,-0.004151202,0.12511787,-0.122397885,-0.122245274,-0.04698547,0,0,0,0
2.0,0.29504797,0.28825936,0.46169618,0.053286523,0.06007515,-0.11336167,-0.19531186,-0.052964635,0.089466944,1,0,1,2
1.0,0.21370316,0.72023636,0.0,0.097610004,-0.40892318,0.31131315,0.0029572803,-0.060556278,-0.2178158,1,0,1,2
1.0,0.28173456,0.17392336,0.2264172,-0.05437619,0.05343502,0.0009411684,-0.040109005,0.058440596,-0.05304296,1,1,1,2
4.0,0.5851641,0.615471,0.70684564,0.050662786,0.020355932,-0.07101872,0.005785261,-0.056045834,0.1267457,0,1,0,1
3.0,0.65307647,0.47444063,0.22603257,-0.20189323,-0.023257421,0.22515064,0.0005969642,0.122326665,-0.0018835954,1,1,1,2
2.0,0.35258874,0.46383458,0.3743631,0.04434006,-0.06690578,0.02256572,-0.047959685,0.015823646,-0.15793267,1,0,1,1
3.0,0.48372126,0.63347054,0.24502906,-0.029647637,-0.1793969,0.20904453,0.011622,-0.11483688,-0.020619012,1,0,1,2
2.0,0.34975192,0.33006376,0.64381295,0.091457635,0.11114577,-0.20260341,0.034580406,-0.055130724,-0.032631326,1,1,1,2
4.0,0.8728598,0.799347,0.57950836,-0.12228808,-0.048775285,0.17106336,-0.024204936,-0.015557584,0.105054796,0,0,0,0
3.0,0.39083245,0.4706361,0.5004587,0.06314331,-0.016660342,-0.04648297,0.026745213,0.040570956,0.04053449,1,1,1,1
3.0,0.6051246,0.68876046,0.5294783,0.0026632024,-0.08097267,0.07830947,0.03864955,0.002961176,-0.0009530465,1,0,1,1
2.0,0.23536763,0.5044907,0.6001213,0.21129224,-0.057830818,-0.15346143,0.07412245,-0.045082718,0.028904486,1,1,0,1
4.0,0.72413844,0.56758755,1.0,0.039770234,0.1963211,-0.23609133,-0.24002558,-0.09659294,-0.0070214197,0,0,0,1
3.0,0.4079808,0.25675192,0.38712877,-0.057360306,0.09386857,-0.036508262,-0.07675986,0.013673078,-0.10726049,1,1,1,1
1.0,0.10985821,0.0,0.025420543,-0.06476529,0.045092918,0.019672375,0.008214725,-0.08531763,0.020799402,1,1,1,2
1.0,0.31864083,0.26873714,0.57620287,0.06921946,0.11912314,-0.1883426,0.17460693,-0.11157025,-0.09701133,1,1,1,2
6.0,1.0,0.81648725,0.89160806,-0.097301565,0.086211205,0.011090356,0.118122816,-0.102855615,0.02141785,0,0,0,0
6.0,0.6634672,0.98361224,0.9902273,0.21563502,-0.10450999,-0.11112503,0.10664746,0.10050152,0.06451732,1,0,0,0
4.0,0.6619778,0.78548247,0.41867626,-0.039932296,-0.16343696,0.20336926,0.239858,-0.16752037,-0.1580284,1,0,1,1
2.0,0.15802553,0.27369088,0.3144432,0.09069434,-0.02497101,-0.06572333,-0.04523877,0.016771624,-0.063359186,1,1,1,2
6.0,0.79015726,0.7417599,0.7217852,-0.03892312,0.009474211,0.029448908,0.1987884,-0.0063475063,0.13816026,0,0,0,0
5.0,0.88758165,0.8597449,0.8268116,-0.029535566,-0.0016988552,0.031234419,0.060889382,-0.061361507,0.12102992,0,0,0,0
4.0,0.59505695,0.8404684,0.8353324,0.16189563,-0.083515845,-0.07837978,-0.116823494,-0.0790336,0.02818978,0,0,0,1
3.0,0.3799567,0.20588753,0.29202062,-0.087335065,0.08673409,0.0006009806,-0.20313285,-0.031285618,-0.059943974,1,1,0,2
2.0,0.24403168,0.36290273,0.35666248,0.07716728,-0.041703776,-0.03546351,-0.059009194,-0.081546836,-0.06381181,1,1,0,2
1.0,0.111745656,0.17932445,0.007776568,-0.012130097,-0.0797089,0.09183899,0.017096085,-0.10195997,-0.122983485,1,1,1,2
6.0,0.92823213,0.71973443,0.9246547,-0.0706917,0.137806,-0.0671143,-0.026527658,0.090819664,-0.0131244855,0,0,0,0
3.0,0.9779116,0.5549074,0.9192737,-0.16054738,0.26245683,-0.10190947,0.010617484,-0.037798334,0.12160777,0,1,0,1
2.0,0.6270578,0.43876165,0.1904005,-0.20831782,-0.020021664,0.22833948,0.16954304,-0.028853862,-0.09898934,0,1,1,1
2.0,0.644629,0.4716972,0.30035698,-0.17240126,0.0005305149,0.17187074,-0.013634516,-0.109649576,-0.16936167,0,1,1,2
4.0,0.63769764,0.64620745,0.60932547,-0.006620794,-0.015130593,0.021751387,0.1760003,0.08283763,0.07229031,0,0,1,1
2.0,0.353562,0.5431619,0.13391712,-0.010014985,-0.1996149,0.20962988,0.045225948,0.09857366,-0.0839209,1,1,1,2
5.0,1.0,0.9762753,0.76883346,-0.08496375,-0.061239053,0.1462028,0.103996225,0.0149753075,-0.11442525,0,0,0,0
5.0,0.74345946,0.4253036,0.45672017,-0.20163171,0.116524145,0.08510756,-0.030663446,0.119375914,-0.032008756,0,1,1,1
4.0,0.6948376,0.63701886,0.49813762,-0.08483961,-0.027020799,0.11186042,-0.024963599,-0.07416295,-0.066995196,0,0,1,1
3.0,0.36405525,0.68725544,0.63057023,0.19657172,-0.12662844,-0.06994327,-0.02781302,0.08425273,-0.017817369,1,0,0,1
4.0,0.7176765,0.8676231,0.73962045,0.05729681,-0.09264973,0.03535292,-0.029499434,-0.045613483,0.027628941,0,0,0,1
4.0,0.8914373,0.39794338,0.4785358,-0.3021318,0.19136213,0.11076969,0.056031033,-0.07496383,0.0017211671,0,1,1,1
4.0,0.7827475,0.6428606,0.8467904,-0.025281366,0.11460558,-0.08932422,0.116167784,0.12572534,0.028831372,0,0,0,0
1.0,0.10362924,0.24169356,0.1702412,0.06822543,-0.06983889,0.001613459,0.19626303,-0.07258883,-0.028799437,0,1,0,2
3.0,0.57614785,0.34867257,0.52672035,-0.09230094,0.13517435,-0.042873416,-0.09177819,-0.12552747,-0.21044236,0,1,1,1
1.0,0.012373015,0.14254804,0.1458495,0.08788384,-0.042291187,-0.045592647,-0.046154782,-0.22459687,-0.047551673,1,1,1,2
3.0,0.45537126,0.38778758,0.51978093,-0.0010579942,0.06652566,-0.06546767,0.072357334,-0.02319297,-0.16292845,1,0,1,1
2.0,0.40078706,0.35135597,0.8034367,0.11773952,0.1671706,-0.2849101,-0.023890989,-0.13590321,-0.09420702,1,1,1,1
1.0,0.054494075,0.17311966,0.0,0.02137717,-0.09724841,0.075871244,-0.17474678,0.15727821,-0.12899533,1,1,1,2
1.0,0.3417495,0.19679318,0.08931979,-0.13246201,0.012494302,0.11996771,0.045799322,0.13318646,0.0041824216,1,1,1,2
