id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"Faraday made many .............................. in the field of physics and chemistry.",discover,discoveries,discovered,discovering,B,"Sau 'many' cần danh từ số nhiều. Discoveries (n): những sự khám phá. Tạm dịch: Faraday đã có nhiều khám phá trong lĩnh vực vật lý và hóa học."
2,"Faraday was an .............................. in Davy's laboratory.",assistance,assist,assistant,assisted,C,"Sau mạo từ 'an' cần danh từ chỉ người. Assistant (n): trợ lý/người phụ tá. Tạm dịch: Faraday là người giúp việc trong phòng thí nghiệm của Davy."
3,The generator is one of Faraday's most important ..............................,achievements,achievement,achieve,achieving,A,"Cấu trúc 'one of + danh từ số nhiều'. Achievements (n): những thành tựu. Tạm dịch: Máy phát điện là một trong những thành tựu quan trọng nhất của Faraday."
4,His .............................. of the generator is very famous.,invent,inventive,invention,inventor,C,"Sau tính từ sở hữu 'His' cần danh từ chỉ sự vật/sự việc. Invention (n): sự phát minh. Tạm dịch: Phát minh về máy phát điện của ông ấy rất nổi tiếng."
5,We will .............................. our English vocabulary if we read English books every day.,rich,richness,enrich,richly,C,"Sau 'will' cần động từ nguyên thể. Enrich (v): làm giàu/làm phong phú. Tạm dịch: Chúng ta sẽ làm giàu vốn từ vựng nếu đọc sách tiếng Anh hàng ngày."
6,"You study very well. It's .............................. that you will fail the exam.",possible,impossible,possibility,impossibility,B,"Sau 'It is' cần tính từ. Dựa vào nghĩa: 'Học giỏi nên việc thi trượt là không thể'. Impossible (adj): không thể."
7,Lan always shares her .............................. with me.,sadness,sad,sadly,unsad,A,"Sau tính từ sở hữu 'her' cần danh từ. Sadness (n): nỗi buồn. Tạm dịch: Lan luôn chia sẻ nỗi buồn với tôi."
8,These children have the .............................. to imitate animals' voice.,able,ability,disable,disability,B,"Sau mạo từ 'the' cần danh từ. Ability (n): năng lực/khả năng. Tạm dịch: Những đứa trẻ này có khả năng bắt chước giọng động vật."
9,Money doesn't bring .............................. to man.,happy,happiness,happily,unhappy,B,"Sau động từ 'bring' cần danh từ. Happiness (n): niềm hạnh phúc. Tạm dịch: Tiền bạc không mang lại hạnh phúc cho con người."
10,Good students aren't .............................. intelligent students.,necessary,necessity,necessarily,unnecessary,C,"Bổ nghĩa cho tính từ 'intelligent' cần một trạng từ. Necessarily (adv): nhất thiết/tất yếu."
11,I don't believe what he has just said. It is ..............................,reason,unreasonable,reasonably,reasoning,B,"Sau 'It is' cần tính từ. Dựa vào nghĩa 'không tin' nên chọn Unreasonable (adj): vô lý/phi lý."
12,The teacher does everything in order to .............................. her students.,courage,encourage,encouragement,encouraged,B,"Cấu trúc 'in order to + V-bare'. Encourage (v): khuyến khích/khích lệ. Tạm dịch: Giáo viên làm mọi thứ để khích lệ học sinh."
13,"What is his ..............................? Is he American or English?",national,nationality,nationalize,international,B,"Sau tính từ sở hữu 'his' cần danh từ. Nationality (n): quốc tịch. Tạm dịch: Quốc tịch của anh ấy là gì?"
14,You should spend your free time ..............................,useful,useless,usefully,uselessly,C,"Bổ nghĩa cho động từ 'spend' cần trạng từ. Usefully (adv): một cách hữu ích."
15,Please decide what you want to do. You must make a ..............................,decide,decision,decisive,decisively,B,"Cụm từ cố định 'make a decision': đưa ra quyết định. Tạm dịch: Bạn phải đưa ra quyết định."
16,He is interested in the .............................. of old buildings.,preserve,preservation,preservative,preserved,B,"Sau 'the' và trước 'of' cần danh từ. Preservation (n): sự gìn giữ/bảo tồn. Tạm dịch: Anh ấy quan tâm đến việc bảo tồn các tòa nhà cổ."
17,He has very high .............................. of his only son.,expect,expectation,expected,expectedly,B,"Sau tính từ 'high' cần danh từ. Expectation (n): sự kì vọng. Tạm dịch: Anh ấy kì vọng cao vào con trai duy nhất."
18,All of us need the .............................. of fresh air.,provide,provided,provision,provisions,C,"Cần danh từ sau 'the'. Provision (n): sự cung cấp. Tạm dịch: Tất cả chúng ta đều cần nguồn cung cấp không khí sạch."
19,Farmers need to .............................. crops.,rotation,rotate,rotational,rotationally,B,"Sau 'need to' cần động từ nguyên thể. Rotate (v): luân canh/xoay vòng. Tạm dịch: Nông dân cần luân canh mùa vụ."
20,We are discussing about a problem of great ..............................,important,importance,importantly,import,B,"Sau tính từ 'great' cần danh từ. Importance (n): tầm quan trọng. Tạm dịch: Chúng tôi đang thảo luận một vấn đề rất quan trọng."
21,He doesn't have a job. He is ..............................,employed,unemployed,employer,employee,B,"Sau 'is' cần tính từ. Không có việc làm nghĩa là thất nghiệp. Unemployed (adj): thất nghiệp."
22,The cost of .............................. must be paid by the buyer.,carry,carriage,carrying,carried,B,"Sau giới từ 'of' cần danh từ. Carriage (n): sự chuyên chở hàng hóa. Tạm dịch: Phí vận chuyển phải được trả bởi người mua."
23,We have to .............................. the natural resources of our country.,conservation,conserve,conserved,conservational,B,"Sau 'have to' cần động từ nguyên thể. Conserve (v): bảo tồn/gìn giữ. Tạm dịch: Chúng ta phải bảo tồn tài nguyên thiên nhiên."
24,The industrial .............................. will lead to the country's prosperity.,develop,development,developing,developed,B,"Sau tính từ 'industrial' cần danh từ. Development (n): sự phát triển. Tạm dịch: Sự phát triển công nghiệp dẫn đến phồn vinh."
25,Forests must be managed ..............................,careless,careful,carefully,care,C,"Bổ nghĩa cho động từ 'managed' cần trạng từ. Carefully (adv): một cách cẩn thận. Tạm dịch: Rừng cần được quản lý cẩn thận."
26,Her .............................. from school without any excuse made the teacher angry.,absent,absence,absently,absences,B,"Sau tính từ sở hữu 'Her' cần danh từ. Absence (n): sự vắng mặt. Tạm dịch: Việc vắng mặt không phép của cô ấy làm thầy giáo giận."
27,The little boy felt very .............................. because his parents did not let him go with them.,disappoint,disappointment,disappointed,disappointing,C,"Sau 'felt' cần tính từ chỉ cảm xúc con người (đuôi -ed). Disappointed (adj): cảm thấy thất vọng."
28,Your new dress makes you more ..............................,beauty,beautiful,beautify,beautifully,B,"Cấu trúc 'make sb + adj'. Beautiful (adj): xinh đẹp. Tạm dịch: Chiếc váy mới làm bạn xinh đẹp hơn."
29,There are a lot of .............................. differences in England.,region,regional,regionally,regions,B,"Trước danh từ 'differences' cần tính từ. Regional (adj): thuộc về vùng miền. Tạm dịch: Có nhiều sự khác biệt vùng miền ở Anh."
30,"The surgeons tried their best to save his life, but unfortunately the operation was ..............................",success,successful,unsuccessful,sucsessfully,C,"Sau 'was' cần tính từ. Dựa vào 'unfortunately' (không may) chọn Unsuccessful (adj): không thành công."
31,During his .............................. the family lived in Cornwall.,child,childlike,childish,childhood,D,"Sau tính từ sở hữu 'his' cần danh từ. Childhood (n): tuổi thơ. Tạm dịch: Suốt thời thơ ấu, gia đình anh sống ở Cornwall."
32,How many .............................. were there in all?,compete,competitions,competitive,competitors,B,"Sau 'many' cần danh từ số nhiều. Competitions (n): các cuộc thi. Tạm dịch: Có tổng cộng bao nhiêu cuộc thi?"
33,We won't buy the car until the .............................. arises.,necessary,necessity,necessarily,unnecessary,B,"Sau 'the' cần danh từ. Necessity (n): sự cần thiết. Tạm dịch: Chúng tôi sẽ không mua xe cho đến khi thực sự cần thiết."
34,.............................. waste is one of the causes of air pollution.,Industrious,Industrial,industry,industrialization,B,"Trước danh từ 'waste' cần tính từ. Industrial (adj): thuộc về công nghiệp. Tạm dịch: Rác thải công nghiệp gây ô nhiễm không khí."
