id,cau_hoi,A,B,C,D,dap_an,giai_thich
35,Mount Vesuvius is an .............................. volcano.,act,active,action,activity,B,"Trước danh từ 'volcano' cần tính từ. Active (adj): đang hoạt động. Tạm dịch: Núi Vesuvius là một núi lửa đang hoạt động."
36,He is confident enough to express his opinion ..............................,comfortable,comfort,comfortably,uncomfortable,C,"Bổ nghĩa cho động từ 'express' cần trạng từ. Comfortably (adv): một cách thoải mái/tự tin."
37,She is so busy with .............................. activities that she has no time for entertainment.,society,social,sociable,socialization,B,"Cụm từ 'social activities': các hoạt động xã hội. Tạm dịch: Cô ấy bận rộn với các hoạt động xã hội."
38,"One day, young Faraday attended a lecture given by a .............................. scientist, Sir Humphry Davy.",famous,fame,famously,infamous,A,"Trước danh từ 'scientist' cần tính từ. Famous (adj): nổi tiếng. Tạm dịch: Faraday dự buổi học của một nhà khoa học nổi tiếng."
39,He has been very interested in doing research on .............................. since he was at high school.,Biology,biological,biologist,biologically,A,"Sau giới từ 'on' cần danh từ chỉ lĩnh vực. Biology (n): môn Sinh học. Tạm dịch: Anh ấy thích nghiên cứu sinh học từ cấp 3."
40,You are old enough to take .............................. for what you have done.,responsible,responsibility,responsibly,irresponsible,B,"Cụm từ 'take responsibility for': chịu trách nhiệm về. Tạm dịch: Bạn đủ tuổi để chịu trách nhiệm việc mình làm."
41,"These quick and easy .............................. can be effective in the short term, but they have a cost.",solve,solvable,solutions,solvability,C,"Sau các tính từ 'quick and easy' cần danh từ số nhiều (do động từ 'can be'). Solutions (n): các giải pháp."
42,"He was looking at his parents .............................., waiting for recommendations.",obey,obedience,obedient,obediently,D,"Bổ nghĩa cho cụm động từ 'looking at' cần trạng từ. Obediently (adv): một cách ngoan ngoãn."
43,The interviews with parents showed that the vast majority were .............................. of teachers.,support,supportive,supporter,supporting,B,"Cấu trúc 'be supportive of sb': ủng hộ ai đó. Tạm dịch: Đại đa số phụ huynh ủng hộ giáo viên."
44,It is .............................. of you to leave the medicine where the children could reach it.,care,caring,careless,careful,C,"Dựa vào ngữ cảnh 'để thuốc nơi trẻ em với tới' là hành động bất cẩn. Careless (adj): bất cẩn."
45,For .............................. reasons passengers are requested not to leave any luggage unattended.,secure,securely,security,securing,C,"Cụm danh từ 'security reasons': vì lý do an ninh. Tạm dịch: Vì lý do an ninh, khách không được bỏ mặc hành lý."
46,The leader of the explorers had the great .............................. in his native guide.,confident,confidence,confidential,confidentially,B,"Sau tính từ 'great' cần danh từ. Confidence (n): sự tin tưởng/tự tin. Tạm dịch: Trưởng đoàn rất tin tưởng người dẫn đường."
47,We are impressed by his .............................. to help us with the hard mission.,will,willing,willingness,willingly,C,"Sau tính từ sở hữu 'his' cần danh từ. Willingness (n): sự sẵn lòng. Tạm dịch: Chúng tôi ấn tượng bởi sự sẵn lòng của anh ấy."
48,"Although they are twins, they have almost the same appearance but they are seldom in ..............................",agree,agreeable,agreement,agreeably,C,"Cụm từ 'in agreement': đồng ý/đồng thuận. Tạm dịch: Dù là sinh đôi nhưng họ hiếm khi đồng quan điểm."
49,"The more .............................. and positive you look, the better you will feel.",confide,confident,confidently,confidence,B,"Sau 'look' cần tính từ (cân bằng với positive). Confident (adj): tự tin. Tạm dịch: Càng tự tin và tích cực, bạn càng thấy tốt hơn."
50,"It is reported that humans are the main reason for most species' declines and habitat .............................. and degradation are the leading threats.",destroy,destructive,destructor,destruction,D,"Sau cụm 'habitat' cần danh từ để tạo cụm 'habitat destruction': sự phá hủy môi trường sống."
51,Many Vietnamese people .............................. their lives for the revolutionary cause of the nation.,sacrifice,sacrificed,sacritical,sacrificially,B,"Cần động từ chia ở thì quá khứ cho sự kiện lịch sử. Sacrificed (v): đã hy sinh. Tạm dịch: Nhiều người Việt đã hy sinh vì tổ quốc."
52,They had a .............................. candlelit dinner last night and she accepted his proposal of marriage.,romance,romantic,romantically,romanticize,B,"Trước danh từ 'dinner' cần tính từ. Romantic (adj): lãng mạn. Tạm dịch: Họ có bữa tối lãng mạn dưới ánh nến."
53,Are there any .............................. between Vietnamese and American culture?,differences,different,differently,differential,A,"Sau 'any' cần danh từ (số nhiều do có between). Differences (n): sự khác biệt. Tạm dịch: Có sự khác biệt nào giữa hai văn hóa không?"
54,Some people are concerned with physical .............................. when choosing a wife or husband.,attractive,attraction,attractiveness,attractively,C,"Sau tính từ 'physical' cần danh từ. Attractiveness (n): sự quyến rũ/ngoại hình. Tạm dịch: Một số người coi trọng ngoại hình khi chọn bạn đời."
55,What could be more .............................. than a wedding on a tropical island?,romance,romantic,romanticize,romanticism,B,"Sau 'be more' cần tính từ. Romantic (adj): lãng mạn. Tạm dịch: Còn gì lãng mạn hơn một đám cưới ở đảo nhiệt đới?"
56,In my hometown many people still believe in .............................. marriage.,contract,contractual,contracts,contracting,B,"Trước danh từ 'marriage' cần tính từ. Contractual marriage (n): hôn nhân sắp đặt/hợp đồng. Tạm dịch: Quê tôi nhiều người tin vào hôn nhân sắp đặt."
57,Though their performance was not perfect yet the students held the audience's .............................. until the end.,attentive,attention,attentively,attentional,B,"Sau sở hữu cách 'audience's' cần danh từ. Attention (n): sự chú ý. Tạm dịch: Học sinh đã giữ được sự chú ý của khán giả."
58,The survey will cover various ways of .............................. the different attitudes toward love and marriage of today’s youth.,determination,determine,determined,determining,D,"Sau giới từ 'of' cần danh từ hoặc V-ing. Determining (v-ing): việc xác định. Tạm dịch: Cuộc khảo sát về các cách xác định thái độ yêu đương."
59,Both Asian and Western students seem .............................. about how to answer the questionnaire of the survey.,confusedly,confused,confusing,confusion,B,"Sau 'seem' cần tính từ chỉ cảm xúc (đuôi -ed). Confused (adj): cảm thấy bối rối."
60,She was .............................. unaware of the embarrassing situation due to her different cultural background.,complete,completed,completing,completely,D,"Bổ nghĩa cho tính từ 'unaware' cần trạng từ. Completely (adv): hoàn toàn. Tạm dịch: Cô ấy hoàn toàn không hay biết về tình huống đó."
61,"What is more important to you, intelligence or ..............................?",attraction,attractiveness,attractive,attract,B,"Sau 'or' cần danh từ để tương ứng với 'intelligence'. Attractiveness (n): sự hấp dẫn/duyên dáng."
