id,tu_vung,tu_loai,phien_am,nghia
1,Abandon,v,/ə'bændən/,"ruồng bỏ, bỏ rơi"
2,Abandoned,a,/ə'bændənd/,"bị ruồng bỏ"
3,Accusation,n,/ˌækju'zeɪʃən/,"sự kết tội, sự buộc tội"
4,Accuse,v,/ə'kju:z/,"kết tội, buộc tội"
5,Amputate,v,/'æmpjəteɪt/,"cắt cụt"
6,Anonymous,a,/ə'nɒnɪməs/,"nặc danh, ẩn danh, giấu tên"
7,Character,n,/'kærəktər/,"tính cách"
8,Characteristic,n,/ˌkærəktə'rɪstɪk/,"nét riêng biệt, đặc thù"
9,Charity,n,/'tʃærəti/,"lòng khoan dung, lòng từ thiện, việc thiện"
10,Charitable,a,/'tʃærətəbəl/,"khoan dung, từ thiện"
11,Create,v,/kri'eɪt/,"tạo ra, sáng tạo ra"
12,Creative,a,/kri'eɪtɪv/,"đầy sáng tạo"
13,Creation,n,/kri'eɪʃən/,"sự sáng tạo"
14,Creativity,n,/ˌkrieɪ'tɪvɪti/,"tính sáng tạo, óc sáng tạo"
15,Determine,v,/dɪ'tɜ:mɪn/,"quyết định"
16,Determination,n,/dɪˌtɜ:mɪ'neɪʃən/,"sự quyết định"
17,Determined,a,/dɪ'tɜ:mɪnd/,"nhất quyết, đã được xác định rõ, quyết tâm"
18,Devote,v,/dɪ'vəʊt/,"cống hiến"
19,Devotion,n,/dɪ'vəʊʃən/,"sự cống hiến"
20,Diagnose,v,/'daɪəgnəʊz/,"chẩn đoán"
21,Diagnosis,n,/ˌdaɪəg'nəʊsɪs/,"sự chẩn đoán"
22,Distinguish,v,/dɪ'stɪŋgwɪʃ/,"phân biệt"
23,Distinguished,a,/dɪ'stɪŋgwɪʃt/,"đặc biệt, khác biệt, xuất sắc, lỗi lạc, ưu tú"
24,Encyclopaedist,n,/ensaɪkləʊ'pi:dɪst/,"nhà bách khoa"
25,Encyclopedic,a,/ɪnˌsaɪklə'pi:dɪk/,"thuộc kiến thức chung, bách khoa toàn thư"
26,Generous,a,/'dʒenərəs/,"rộng lượng"
27,Generosity,n,/ˌdʒenə'rɒsəti/,"sự rộng lượng"
28,Hospitalization,n,/hɒspɪtəlaɪ'zeɪʃən/,"sự nằm viện"
29,Hospitality,n,/ˌhɒspɪ'tæləti/,"lòng mến khách"
30,Hospital,n,/'hɒspɪtəl/,"bệnh viện"
31,Hospitalize,v,/'hɒspɪtəlaɪz/,"nằm viện"
32,Hospitable,a,/hɒs'pɪtəbəl/,"hiếu khách"
33,Humble,a,/'hʌmbəl/,"khiêm nhường"
34,Identity,n,/aɪ'dentəti/,"tính đồng nhất, sự giống hệt"
35,Indifference,n,/ɪn'dɪfərəns/,"sự thờ ơ, lãnh đạm"
36,Indifferent,a,/ɪn'dɪfərənt/,"thờ ơ, dửng dưng"
37,Influence,n/v,/'ɪnfluəns/,"ảnh hưởng, tác động lên"
38,Influential,a,/ˌɪnflu'enʃəl/,"có ảnh hưởng"
39,Initiate,v,/ɪ'nɪʃieɪt/,"bắt đầu, khởi đầu"
40,Initiation,n,/ɪˌnɪʃi'eɪʃən/,"sự khởi đầu"
41,Initiative,n,/ɪ'nɪʃətɪv/,"bước đầu"
42,Innovate,v,/'ɪnəveɪt/,"đổi mới"
43,Innovator,n,/'ɪnəveɪtər/,"nhà cải cách"
44,Innovation,n,/ˌɪnə'veɪʃən/,"sự đổi mới"
45,Inspire,v,/ɪn'spaɪər/,"truyền cảm hứng"
46,Inspiration,n,/ˌɪnspɪ'reɪʃən/,"cảm hứng"
47,Mission,n,/'mɪʃən/,"nhiệm vụ, sứ mệnh"
48,Observe,v,/əb'zɜ:v/,"quan sát"
49,Observation,n,/ˌɒbzə'veɪʃən/,"sự quan sát"
50,Orphanage,n,/'ɔ:fənɪdʒ/,"trại trẻ mồ côi"
51,Orphan,n,/'ɔ:fən/,"trẻ mồ côi"
52,Patriotism,n,/'pætriətɪzəm/,"chủ nghĩa yêu nước"
53,Patriotic,a,/ˌpætri'ɒtɪk/,"yêu nước"
54,Patriot,n,/'pætriət/,"người yêu nước"
55,Patrol,v,/pə'trəʊl/,"tuần tra"
56,Philosophy,n,/fɪ'lɒsəfi/,"triết học"
57,Philosopher,n,/fɪ'lɒsəfər/,"triết gia"
58,Presentation,n,/ˌprezən'teɪʃən/,"sự bày ra, sự trình bày"
59,Present,v,/'prezənt/,"bày ra, thể hiện ra"
60,Presence,n,/'prezəns/,"sự hiện diện, sự có mặt"
61,Representative,n,/ˌreprɪ'zentətɪv/,"người đại diện"
62,Prodigy,n,/'prɒdɪdʒi/,"người phi thường"
63,Prosperity,n,/prɒs'perəti/,"sự thịnh vượng"
64,Prosper,v,/'prɒspər/,"làm cho thịnh vượng"
65,Prosperous,a,/'prɒspərəs/,"thịnh vượng, phát đạt"
66,Prosperously,adv,/'prɒspərəsli/,"một cách thịnh vượng"
67,Prosthetic,a,/prɒs'θetɪk/,"lắp bộ phận giả"
68,Repute,v,/rɪ'pju:t/,"cho là, đồn là"
69,Reputed,a,/rɪ'pju:tɪd/,"được cho là"
70,Reputation,n,/ˌrepjʊ'teɪʃən/,"tiếng tăm, danh tiếng"
71,Reputable,a,/'repjətəbəl/,"có tiếng tăm"
72,Disrepute,n,/ˌdɪsrɪ'pju:t/,"sự tai tiếng, tiếng xấu"
73,Respect,n/v,/rɪ'spekt/,"sự kính trọng"
74,Respectable,a,/rɪ'spektəbəl/,"đáng kính"
