id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"Any list of the greatest thinkers in history contains the name of the brilliant _________ Albert Einstein.",physicist,physician,physical,physics,A,"A. physicist /'fɪzɪsɪst/ (n): nhà vật lý | B. physician /fɪ'zɪʃn/ (n): thầy thuốc | C. physical /'fɪzɪkl/ (a): (thuộc) vật chất, cơ thể | D. physics /'fɪzɪks/ (n): môn vật lý. Sau tính từ “brilliant” ta cần một danh từ nên ta loại đáp án C. Căn cứ vào nghĩa của câu ta chọn đáp án A. Tạm dịch: Bất kỳ danh sách các nhà tư tưởng vĩ đại nhất trong lịch sử đều có tên của nhà vật lý lỗi lạc Albert Einstein."
2,"The film was so successful that the main actor became a _________ name afterwards.",housework,household,homework,housewife,B,"A. housework /'hauswɜ:k/ (n): việc nhà | B. household /'haushəuld/ (n): hộ gia đình | C. homework /'həumwɜ:k/ (n): bài tập về nhà | D. housewife /'hauswaif/ (n): bà nội trợ. Ta có cụm từ: household name nghĩa là người nổi tiếng mà ai cũng biết. Tạm dịch: Bộ phim đó đã thành công tới mức mà nam diễn viên chính đã trở thành một người nổi tiếng sau đó."
3,"Despite all the obstacles, Mariah's determination to become a famous singer never _________.",fades,wavers,lessens,reduces,B,"A. fade /feid/ (v): mờ nhạt (màu sắc, âm thanh) | B. waver /'weivər/ (v): lung lay, giảm đi (sức mạnh, quyết tâm) | C. lessen /'lesən/ (v): giảm bớt (mức độ) | D. reduce /rɪ'dzu:s/ (v): giảm (số lượng). Tạm dịch: Mặc tất cả những trở ngại, quyết tâm trở thành một ca sĩ nổi tiếng của Mariah không bao giờ lung lay."
4,"Martin Luther King devoted his life to the _________ of voting right for black people.",effort,realization,achievement,performance,C,"A. effort /'efət/ (n): sự nỗ lực | B. realization /,rɪəlaɪ'zeɪʃn/ (n): sự thực hiện | C. achievement /,ri:ə'laɪzmənt/ (n): sự giành được | D. performance /pə'fɔ:məns/ (n): sự trình diễn. Tạm dịch: Martin Luther King đã cống hiến cả cuộc đời mình để giành quyền bầu cử cho người da đen."
5,"The magazine asked its readers to send in their comments about the new style of _________.",present,presentative,presentation,representative,C,"A. present /'prezənt/ (n): hiện tại | B. presentative /prɪ'zentətɪv/ (a): biết trực tiếp sự vật bằng giác quan | C. presentation /,prezən'teɪʃən/ (n): sự trình bày | D. representative /,reprɪ'zentətɪv/ (a): đại diện. Sau giới từ “of” ta cần một danh từ nên loại đáp án B, D. Căn cứ vào nghĩa của câu ta chọn đáp án C. Tạm dịch: Tạp chí này đã yêu cầu người đọc gửi lại bình luận về kiểu trình bày mới."
6,"His father used to be a _________ professor at the university. Many students worshipped him.",distinct,distinctive,distinguishing,distinguished,D,"A. distinct /dɪ'stɪŋkt/ (a): khác biệt | B. distinctive /dɪ'stɪŋktɪv/ (a): đặc biệt | C. distinguishing /dɪ'stɪŋgwɪʃɪŋ/ (a): khác biệt | D. distinguished /dɪ'stɪŋgwɪʃt/ (a): nổi tiếng. Tạm dịch: Bố anh ấy đã từng là một giáo sư nổi tiếng ở trường đại học. Nhiều sinh viên tôn thờ ông ấy."
7,"The wound had become so infected that the doctors had no choice but _________ the soldier's arm.",operated,resolved,amputated,amended,C,"A. operate /'ɒpəreɪt/ (v): hoạt động | B. resolve /rɪ'zɒlv/ (v): giải quyết | C. amputate /'æmpjəteɪt/ (v): cắt bỏ | D. amend /ə'mend/ (v): sửa đổi. Tạm dịch: Vết thương đã bị nhiễm trùng nặng đến mức bác sĩ không còn sự lựa chọn nào khác ngoại trừ cắt bỏ cánh tay của người lính."
8,"From _________ beginnings, sales have rocketed and are set for further high growth in the next three years.",humble,reserved,modest,impoverished,A,"A. humble /'hʌmbl/ (a): mờ nhạt, khiêm tốn, thấp kém | B. resevered /rɪ'zɜ:v/ (a): giữ gìn, kín đáo | C. modest /'mɒdɪst/ (a): khiêm tốn | D. impoverished /ɪm'pɒvərɪʃt/ (a): rất nghèo. Tạm dịch: Từ một sự khởi đầu mờ nhạt, doanh số bán hàng đã tăng rất nhanh và tạo ra một sự phát triển cao hơn trong 3 năm kế tiếp."
9,"A musical diva, according to many, should be able to have a(n) _________ on the next generations of artists.",inspiration,decision,reliance,impact,D,"A. inspiration /,ɪnspɪ'reɪʃən/ (n): nguồn cảm hứng | B. decision /dɪ'sɪʒən/ (n): quyết định | C. reliance /rɪ'laɪəns/ (n): sự tin cậy | D. impact /'ɪmpækt/ (n): ảnh hưởng. Cấu trúc: Have a(n) impact/influence on sb/st: có ảnh hưởng tới ai/cái gì. Tạm dịch: Theo nhiều người, một nữ danh ca có thể sẽ có ảnh hưởng đến những thế hệ nghệ sĩ tiếp theo."
10,"The new teaching method is supposed to _________ students' creativity.",dedicate,inspire,stimulate,distinguish,C,"A. dedicate /'dedɪkeɪt/ (v): cống hiến | B. inspire /ɪn'spaɪər/ (v): truyền cảm hứng | C. stimulate /'stɪmjəleɪt/ (v): khuyến khích, kích thích | D. distinguish /dɪ'stɪŋgwɪʃ/ (v): phân biệt. Be supposed to do st: được cho là. Tạm dịch: Phương pháp giảng dạy mới được cho rằng sẽ kích thích sự sáng tạo của học sinh."
