id,tu_vung,tu_loai,phien_am,nghia
1,Accommodation,n,/əˌkɒməˈdeɪʃn/,"chỗ ở"
2,Biotechnology,n,/ˌbaɪəʊtekˈnɒlədʒi/,"công nghệ sinh học"
3,Capitalism, n,/'kæpitəlizəm/,"chủ nghĩa tư bản"
4,Capitalist, n,/ˈkæpɪtəlɪst/,"nhà tư bản"
5,Capital,n,/ˈkæpɪtəl/,"thủ đô, tiền vốn, tư bản"
6,Combat,v,/'kɒmbæt/,"chiến đấu"
7,Commodity,n,/kəˈmɒdəti/,"hàng hóa, mặt hàng"
8,Commuter,n,/kəˈmjuːtər/,"người đi làm bằng xe buýt, tàu (vé theo tháng)"
9,Compatibility,n,/kəmˌpætəˈbɪləti/,"tính tương thích"
10,Congeniality,n,/kənˌdʒiːniˈæləti/,"sự ăn ý"
11,Congruity,n,/kɒŋˈgru:əti/,"sự thích hợp, sự tương đồng"
12,Constrained,a,/kənˈstreɪnd/,"ngượng nghịu, bối rối"
13,Contemporaneously,adv,/kənˌtempəˈreɪniəsli/,"cùng thời"
14,Crunch,v,/krʌntʃ/,"nghiên"
15,Durability,n,/ˌdjʊərəˈbɪləti/,"sự lâu bền"
16,Dweller,n,/ˈdwelər/,"người ở"
17,Embryo,n,/ˈembriəʊ/,"phôi thai"
18,Endurance,n,/ɪnˈdjʊərəns/,"sức chịu đựng"
19,Exponentially,adv,/ˌekspəˈnenʃəli/,"theo hàm mũ"
20,Fantasy,n,/ˈfæntəsi/,"ý nghĩ kì quặc kì quái, dị thường"
21,Fantastic,n, /fænˈtæstɪk/,"ý nghĩ kì quặc kì quái, dị thường"
22,Genetic,a,/dʒəˈnetɪk/,"thuộc di truyền học"
23,Gene,n,/dʒiːn/,"gen"
24,Genus,n,/ˈdʒiːnəs/,"giống, loài"
25,Immorality,n,/ˌɪməˈræləti/,"sự trái đạo đức"
26,Infernally,adv,/ɪnˈfɜːnəli/,"một cách ghê gớm"
27,Innovation,n,/ˌɪnəˈveɪʃn/,"sự đổi mới, sự cải tiến"
28,Instigate,v,/ˈɪnstɪɡeɪt/,"xúi giục, xúi bẩy"
29,Intuition,n,/ˌɪntjuˈɪʃn/,"trực giác"
30,Manipulate,v,/məˈnɪpjuleɪt/,"lôi kéo, vận động (bằng mánh khóe)"
31,Measure,n,/ˈmeʒər/,"biện pháp, cách xử trí, đo lường"
32,Measurement,n,/ˈmeʒəmənt/,"sự đo lường, kích thước"
33,Mechanization,n,/ˌmekənaɪˈzeɪʃn/,"sự cơ giới hóa"
34,Mechanism,n,/ˈmekənɪzəm/,"thuyết cơ giới"
35,Machinery,n,/məˈʃiːnəri/,"cơ cấu máy móc"
36,Machine,n,/məˈʃiːn/,"máy móc"
37,Melodramatic,a,/ˌmelədrəˈmætɪk/,"cường điệu"
38,Miniature,,/ˈmɪnətʃər/,"vật thu nhỏ, thu nhỏ lại"
39,Optimistic,a,/ˌɒptɪˈmɪstɪk/,"lạc quan"
40,Optimist,n,/ˈɒptɪmɪst/,"người lạc quan"
41,Optimism,n,/ˈɒptɪmɪzəm/,"chủ nghĩa lạc quan"
42,Pessimistic,a,/ˌpesɪˈmɪstɪk/,"bi quan"
43,Pessimist,n,/ˈpesɪmɪst/,"người bi quan"
44,Pessimism,n,/ˈpesɪmɪzəm/,"chủ nghĩa bi quan"
45,Photovoltaic, a,/ˌfəʊtəʊvɒlˈteɪɪk/,"thuộc quang điện có lớp chặn"
46,Planetary,n,/ˈplænətri/,"thuộc hành tinh"
47,Prediction,n,/prɪˈdɪkʃn/,"sự tiên đoán"
48,Predict,v,/prɪ'dikt/,"tiên đoán"
49,Predictable,a,/prɪˈdɪktəbəl/,"có thể tiên đoán"
50,Prospective,a,/prəˈspektɪv/,"thuộc tương lai, về sau"
51,Real,a,/rɪəl/,"thật"
52,Realize,v,/riəlaɪz/,"nhận ra"
53,Realization,n,/ˌrɪəlaɪ'zeɪʃən/,"sự nhận ra"
54,Reality,n,/ri'æləti/,"sự chân thật"
55,Senselessly,adv,/ˈsensləsli/,"điên rồ, vô nghĩa"
56,Sentimentally,adv,/ˌsentɪˈmentəli/,"một cách ủy mị, đa sầu đa cảm"
57,Shelter,n,/ˈʃeltər/,"chỗ nương tựa"
58,Slum,n,/slʌm/,"khu ổ chuột"
59,Starship,n,/ˈstɑːʃɪp/,"tàu vũ trụ"
60,Terrorist,n,/ˈterərɪst/,"quân khủng bố"
61,Terrorism,n,/ˈterərɪzəm/,"chủ nghĩa khủng bố"
62,Terrorize,v,/ˈterəraɪz/,"khủng bố, hăm dọa"
63,Terror,n,/ˈterər/,"sự kinh hoàng, sự khiếp sợ"
64,Theoretical,a,/ˌθɪəˈretɪkl/,"thuộc lý thuyết"
65,Underpin,v,/ˌʌndəˈpɪn/,"ỉàm cơ sở cho"
66,Weapon,n,/ˈwepən/,"trang bị"
