id,tu_vung,tu_loai,phien_am,nghia
1,Ablate,v,/əˈbleɪt/,"cắt bỏ"
2,Affordability,n,/əˌfɔːdəˈbɪləti/,"có khả năng chi trả"
3,Algorithm,n,/ˈælɡərɪðəm/,"thuật toán"
4,Align,v,/əˈlaɪn/,"xếp hàng"
5,Alignment,n,/əˈlaɪnmənt/,"sự xếp hàng"
6,Assumption,n,/əˈsʌmpʃn/,"sự thừa nhận"
7,Automatic,a,/ˌɔːtəˈmætɪk/,"tự động"
8,Automate,v,/ˈɔːtəmeɪt/,"tự động hóa"
9,Automation,n,/ˌɔːtəˈmeɪʃn/,"sự tự động"
10,Automatically,adv,/ˌɔːtəˈmætɪkli/,"một cách tự động"
11,Bewildering,a,/bɪˈwɪldərɪŋ/,"bối rối, hoang mang"
12,Breakthrough,n,/ˈbreɪkθruː/,"bước đột phá"
13,Cargo,n,/ˈkɑːɡəʊ/,"hàng hóa trên những phương tiện vận chuyển lớn"
14,Cascade,v,/kæˈskeɪd/,"đổ xuống như thác"
15,Case-based,a,/ keɪs-beɪst/,"dựa trên các trường hợp"
16,Catalyst,n,/'kætəlɪst/,"chất xúc tác"
17,Cognition,n,/kɒɡˈnɪʃn/,"nhận thức"
18,Collaborative,a,/kəˈlæbərətɪv/,"có tính cộng tác"
19,Collaboration,n,/kəˌlæbəˈreɪʃn/,"sự cộng tác"
20,Collaborate,v,/kəˈlæbəreɪt/,"cộng tác"
21,Commercial,a,/kəˈmɜːʃl/,"thuộc thương mại"
22,Commerce,n,/ˈkɒmɜːs/,"thương mại"
23,Complexity,n,/kəmˈpleksəti/,"sự phức tạp"
24,Complication,n,/ˌkɒmplɪˈkeɪʃn/,"sự phức tạp"
25,Computation,n,/ˌkɒmpjuˈteɪʃn/,"sự tính toán"
26,Computing,n,/kəmˈpjuːtɪŋ/,"điện toán"
27,Computer,n,/kəmˈpjuːtər/,"máy tính"
28,Computerize,v,/kəmˈpjuːtəraɪz/,"trang bị máy tính"
29,Digital,a,/ˈdɪdʒɪtl/,"kỹ thuật số"
30,Diplomacy,n,/dɪˈpləʊməsi/,"tài ngoại giao"
31,Disposable,a,/dɪˈspəʊzəbl/,"dùng 1 lần"
32,Downside,n,/ˈdaʊnsaɪd/,"khuyết điểm, bất lợi"
33,Electronic,a,/ɪˌlekˈtrɒnɪk/,"điện tử"
34,Exterminate,v,/ɪkˈstɜːmɪneɪt/,"tiêu diệt"
35,Futurist,n,/ˈfjuːtʃərɪst/,"người theo thuyết vị lai"
36,Genuine,a,/ˈdʒenjuɪn/,"xác thực"
37,Hazardous,a,/ˈhæzədəs/,"nguy hiểm"
38,Infancy,n,/ˈɪnfənsi/,"thời kỳ sơ khai"
39,Interact,v,/ˌɪntərˈækt/,"tương tác"
40,Interactive,a,/ˌɪntərˈæktɪv/,"có tính tương tác"
41,Interactional,a,/ˌɪntərˈækʃənl/,"chịu ảnh hưởng lẫn nhau"
42,Interaction,n,/ˌɪntərˈækʃn/,"sự tương tác"
43,Intervene,v,/ˌɪntəˈviːn/,"can thiệp, chen vào"
44,Intervention,n,/ˌɪntəˈvenʃn/,"sự can thiệp"
45,Interventionist,n,/ˌɪntəˈvenʃənɪst/,"người can thiệp"
46,Man-made,a,/ˌmæn ˈmeɪd/,"do con người làm ra"
47,Mannered,a,/ˈmænəd/,"kiểu cách, cầu kì"
48,Unmanned,a,/ˌʌnˈmænd/,"không người (lái...)"
49,Manned,a,/mænd/,"có người (lái...)"
50,Martyr,n,/ˈma:ntər/,"người tử vì đạo, liệt sĩ"
51,Combatant,n,/ˈkɒmbətənt/,"chiến sĩ"
52,Soldier,n,/ˈsəʊldʒər/,"người lính"
53,Warrior,n,/ˈwɔːriər/,"chiến binh"
54,Mechanize,v,/mekənaɪz/,"cơ khí hóa, cơ giới hóa"
55,Mechanic,n,/mə'kænɪk/,"thợ máy, công nhân cơ khí"
56,Mechanism,n,/mekənɪzəm/,"kỹ thuật máy móc"
57,Machinery,n,/mə'ʃi:nəri/,"bộ máy"
58,Machine,n,/mə'ʃi:n/,"máy móc"
59,Militant,n,/mɪlɪtənt/,"chiến sĩ"
60,Military,n,/ˈmɪlɪtəri/,"quân đội"
61,Modular,a,/ˈmɑːdʒələr/,"theo mô-đun"
62,Module,n,/ˈmɑːdʒu:l/,"mô-đun"
63,Navigation,n,/ˌnævɪˈɡeɪʃn/,"nghề hàng hải"
64,Navigate,v,/ˈnævɪɡeɪt/,"lái tàu, vượt biển"
65,Polarization,n,/ˌpəʊləraɪˈzeɪʃn/,"sự phân cực"
66,Prosthetic,a,/prɒsˈθetɪk/,"(thuộc) sự lắp bộ phận giả"
67,Recognition,n, /ˌrekəɡˈnɪʃn/,"sự công nhận"
68,Reconnaissance,n, /rɪˈkɒnɪsns/,"sự do thám"
69,Revolution,n, /ˌrevəˈluːʃn/,"cuộc cách mạng"
70,Rigidity,n, /rɪˈdʒɪdəti/,"tính cứng, sự cứng nhắc"
71,Robotics,n, /rəʊˈbɒtɪks/,"khoa học người máy"
72,Robot,n, /'rəʊˈbɒt/,"người máy"
73,Robotic,a, / rəʊˈbɒtɪk/,"như người máy, máy móc"
74,Subcutaneous,a, /ˌsʌbkjuˈteɪniəs/,"dưới da"
75,Sub-discipline,n, / səbˈdɪsəplɪn/,"sự huấn luyện thêm, rèn luyện thêm"
76,Substantially,adv, /səbˈstænʃəli/,"về vật chất, về căn bản"
77,Surpass,v, /səˈpɑːs/,"vượt trội hơn"
78,Surveillance,n, /sɜːˈveɪləns/,"sự quản thúc, sự quản đốc"
79,Theory,n, /ˈθɪəri/,"lý thuyết"
80,Transact,v, /trænˈzækt/,"tiến hành, thực hiện"
81,Transfer,v, /træns'fɜ:r/,"chuyển đổi, dời chỗ"
82,Transmit,v, /trænz'mɪt/,"chuyển phát"
83,Transportation,n, /ˌtrænspɔːˈteɪʃn/,"sự vận tải"
84,Transport,n, /ˈtrænspɔːt/,"phương tiện vận tải"
85,Usurp,v, /juːˈzɜːp/,"chiếm quyền, đoạt quyền"
86,Versatility,n, /ˌvɜːsəˈtɪləti/,"sự linh hoạt"
87,Warehousing,n, /ˈweəhaʊzɪŋ/,"sự xếp hàng vào kho"
88,Workforce,n, /ˈwɜːkfɔːs/,"nguồn nhân lực, nguồn lao động"
