id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,George wouldn't have met Mary ........................ to his brother's graduation party.,if he has not gone,had not he gone,had he not gone,if he shouldn't have gone,C,"Đảo ngữ câu điều kiện loại 3: Had + S + (not) + Vp2. Tạm dịch: George đã không gặp Mary nếu anh ấy không tham dự tiệc tốt nghiệp của anh trai."
2,........................ ten minutes earlier you would have got a better seat.,Were you arrived,If you arrived,If you hadn't arrived,Had you arrived,D,"Đảo ngữ câu điều kiện loại 3: Had + S + Vp2. Tạm dịch: Nếu cậu đã đến sớm hơn mười phút, cậu hẳn đã có được chỗ ngồi tốt hơn."
3,If she ........................ a car she would go out in the evening.,have,has,has had,had,D,"Câu điều kiện loại 2 (giả định không có thật ở hiện tại): If + S + V-ed. Tạm dịch: Nếu cô ấy có xe, cô ấy sẽ đi chơi vào buổi tối."
4,"Without your help, I ........................ the technical problem with my computer the other day.",can't solve,couldn't have solved,Couldn't solve,Weren't solved,B,"Cấu trúc 'Without + N' tương đương câu điều kiện loại 3 (giả định quá khứ): S + couldn't have + Vp2."
5,The joke would not be funny if it ........................ into French.,has been translated,be translated,was be translated,were translated,D,"Câu điều kiện loại 2 (bị động): If + S + were + Vp2. Tạm dịch: Câu nói đùa đó sẽ không vui nếu được dịch sang tiếng Pháp."
6,We ........................ on the beach now if we hadn't missed the plane.,might have lain,would lie,could be lying,would have lain,C,"Câu điều kiện hỗn hợp (loại 3 - loại 2): Giả thiết quá khứ nhưng kết quả ở hiện tại (now). Cấu trúc: If + had Vp2, S + would/could be V-ing."
7,I think you should stop smoking.,If I am you I will stop smoking.,If I had been you I would stop smoking.,If I were you I would stop smoking.,If I were you I will stop smoking.,C,"Lời khuyên dùng câu điều kiện loại 2: If I were you, I would + V."
8,If he had been more careful he ........................ .,won't fall,wouldn't fall,wouldn't have fallen,would haven't fallen,C,"Câu điều kiện loại 3: If + S + had Vp2, S + would have + Vp2. 'Not' phải đứng sau 'would'."
9,His health would be improved ........................ .,if he continued to smoke heavily,unless he stopped smoking heavily,if he gave up smoking,if only he doesn't smoke any more.,C,"Căn cứ vế kết quả loại 2 (would + V), chọn vế điều kiện phù hợp nghĩa: Nếu anh ấy bỏ thuốc lá."
10,He was driving very fast because he didn't know the road was icy.,If he knew the road was icy he wouldn't drive so fast.,He hadn't been driving very fast if he would have known the road was icy.,If he had known the road was icy he wouldn't have been driving so fast.,He wasn't driving very fast if he would know the road was icy.,C,"Sự việc trong quá khứ nên dùng điều kiện loại 3: If + S + had Vp2, S + wouldn't have Vp2/been V-ing."
11,I didn't know that you were at home. I didn't visit you.,If I knew that you were at home I would visit you.,If I had known that you were at home I would have visited you.,If I knew that you had been at home I would have visited you.,If I would know that you were at home I visited you.,B,"Viết lại sự việc quá khứ dùng điều kiện loại 3: Nếu tôi đã biết bạn ở nhà, tôi đã đến thăm bạn."
12,If Nam had passed the GCSE examination he ........................ to take the entrance examination to the university.,would have been allowed,would have allowed,will have allowed,would allow,A,"Câu điều kiện loại 3 (bị động): would have been + Vp2. Tạm dịch: Anh ta đã được phép thi vào đại học."
13,If it had not rained last night the roads in the city ........................ so slippery now.,would not be,must not be,could not have been,would not have been,A,"Câu điều kiện hỗn hợp (quá khứ - hiện tại): If + had Vp2, S + would/could (not) + V (căn cứ vào từ 'now')."
14,She helped us a lot with our project. We couldn't continue without her.,Unless we had her contribution we could continue with the project.,But for her contribution we could have continued with the project.,If she hadn't contributed positively we couldn't have continued with the project.,Provided her contribution wouldn't come we couldn't continue with the project.,C,"Cấu trúc câu điều kiện loại 3: Nếu cô ấy không đóng góp tích cực, chúng tôi đã không thể tiếp tục."
15,What noisy neighbors you've got! If my neighbors ........................ as bad as yours I ........................ crazy.,are; will go,were; would go,had been; would have gone,are; would go,B,"Câu điều kiện loại 2: giả định trái với hiện tại. If + S + were, S + would + V."
16,If he ........................ the lesson yesterday he could do the test better today.,has reviewed,had reviewed,will review,Reviewed,B,"Câu điều kiện hỗn hợp: If + S + had Vp2 (quá khứ), S + would/could + V (hiện tại)."
17,If I hadn't had so much work to do I would have gone to the movies.,I never go to the movies if I had work to do.,Because I had to do so much work I couldn't go to the movies.,I would go to the movies when I had done so much work.,A lot of work couldn't prevent me from going to the movies.,B,"Câu gốc là điều kiện loại 3 (giả định quá khứ) tương đương với sự thật: Vì có nhiều việc nên không thể đi xem phim."
18,Unless you ........................ well-trained you ........................ to the company.,aren't; will never be admitted,aren't; will never admit,are; will never be admitted,are; will never admit,C,"Unless = If not. Mệnh đề Unless ở dạng khẳng định. Câu mang nghĩa bị động: 'không được nhận vào'."
19,If the prisoners attempt to escape from prison ........................ immediately.,they will have caught,they will catch,they will be caught,they would be caught,C,"Câu điều kiện loại 1: If + S + V(s/es), S + will be Vp2 (bị động). Tạm dịch: Họ sẽ bị bắt ngay lập tức."
20,If it ........................ warm yesterday we would have gone to the beach.,was,were,had been,could be,C,"Căn cứ vào 'yesterday' và vế 'would have gone' -> Câu điều kiện loại 3: If + S + had Vp2."
