FileAudio,Transcripts,Question,Option A,Option B,Option C,Option D,Correct Answer
T1_1.mp3,"Thanks for calling Riverside Auto Repair.
How can I help you?
Hi. I got my car repaired last week and
used your shuttle service to get a ride back
to my office. Can you tell me why there's
a service charge on my invoice for using
the shuttle? I've never had to pay that
before.
Yes, unfortunately the cost of auto fuel
has risen quite a bit, so the company now
requires us to charge for the shuttle.
Well, I wasn't expecting that.
I'm sorry we didn't inform you of this
ahead of time. 341'11 waive the fee now, but
please be aware that you'll have to pay for
rides in the future. ","Why is the woman calling?
(A) To make an appointment
(B) To rent a car
(C) To ask about a fee
(D) To apply for a position ",To make an appointment,To rent a car,To ask about a fee,To apply for a position ,C
,,"According to the man, what has recent ly changed?
(A) Office hours
(B) Job requirements
(C) A computer system
(D) A company policy",Office hours,Job requirements,A computer system,A company policy,D
,,"What does the man agree to do?
(A) Waive a fee
(B) Reschedule a meeting
(C) Sign a contract
(D) Repair a vehicle ",Waive a fee,Reschedule a meeting,Sign a contract,Repair a vehicle ,A
T1_2.mp3,"In sports news, our own Easton Jaguars
won today's soccer match against the
Portville Lions. Here t o tell us about the
game is Aaron Parker, the goalkeeper for
the Jaguars. Mr. Parker, thanks for joining
us.
Thanks for having me. Today 's gam e was
challenging it started to rain early on,
and the storm didn't let up for nearly an
hour. There were several times when w e
lost control of the ball because the field
was so wet and slippery.
Well, you all played really well despite the
weather. Now, it's time for a commercial
break, but stay tuned-we' ll soon be back
with Aaron Parker to talk about the game's
most exciting moments. ","What is the t opic of the conversation?
(A) Health
(B) Traffic
(C) Sports
(D) Finance",Health,Traffic,Sports,Finance,C
,,"What caused a problem?
(A) A staffing change
(B) A rainstorm
(C) A typographical error
(D) A road closure ",A staffing change,A rainstorm,A typographical error,A road closure ,B
,,"What will the listeners hear next?
(A) A commercial
(B) A song
(C) A weather report
(D) A reading from a book ",A commercial,A song,A weather report,A reading from a book ,A
T1_3.mp3,"Hi Paul, I know we were planning to
work at the trade show together next
week, but something has come up. Do you
think you could find someone else to go in
my place?
Sure, that can probably be arranged. Can I
ask why you're unable to go?
My department recently hired several
new people, and I want to be here to make
sure that their training goes smoothly.
M-Cn I understand. I'II call Ramona and ask
her if she'd be able to attend the show
instead. ","What does the woman notify the man about?
(A) She is unable to meet a deadline.
(B) She needs a replacement laptop.
(C) She cannot attend a business trip.
(D) She is planning to give a speech. ",She is unable to meet a deadline.,She needs a replacement laptop.,She cannot attend a business trip.,She is planning to give a speech. ,C
,,"According to the woman, what recently happened
in her department?
(A) A corporate policy was updated.
(B) A supply order was mishandled.
(C) Client contracts were renewed.
(D) New employees were hired. ",A corporate policy was updated.,A supply order was mishandled.,Client contracts were renewed.,"New employees were hired. ",D
,,"What does the man say he will do next?
(A) Speak with a colleague
(B) Conduct an interview
(C) Calculate a budget
(D) Draft a travel itinerary ",Speak with a colleague,Conduct an interview,Calculate a budget,Draft a travel itinerary ,A
T1_4.mp3,"1'd like to book two tickets for tonight 's
city bus tour.
Sure, w e still have seats on the bus. Thi s
tour will stop at five different sites and end
up at the Seven Stars Restaurant.          Oh. That sounds good. A friend of mine is
visiting from out of town. He' ll like that.
Yes, but we have to put in the order
for the restaurant in advance. You have
a choice between the chicken with
vegetables or the beef with rice.
We' ll both have the chicken. 
","What does the man want to do?
(A) Purchase an area map
(B) See an event schedule
(C) Cancel a hotel reservation
(D) Book a bus tour",Purchase an area map,See an event schedule,Cancel a hotel reservation,Book a bus tour,D
,,"What is the man asked to choose?
(A) When to arrive
(B) What to vi sit
(C) How to pay
(D) What to eat ",When to arrive,What to vi sit,How to pay,What to eat ,D
,,"What does the woman suggest doing?
(A) Wearing a jacket
(B) Using a credit card
(C) Bringing a camera
(D) Looking for a coupon ",Wearing a jacket,Using a credit card,Bringing a camera,Looking for a coupon ,C
T1_5.mp3,"Hi, Siba.Do you need help taking those
files up to our office? It looks like you have
your hands full.
If you don't mind, that'd be great. The
elevator is still out of order, so we'll have
to use the stairs.
But that broke last week- the
maintenance crew should have repaired
that by now.
Well, apparently a piece of hardware had
to be custom made.
Ah, I see. Well, at least our office is only on
the second floor, so we don't have to climb
too many stairs.
That's true. Thanks again for carrying
some of these files-it would have taken
two trips to get them all without your help.","What does the man offer to do?
(A) Meet in the lobby
(B) Contact a receptionist
(C) Carry some files
(D) Delay a meeting ",Meet in the lobby,Contact a receptionist,Carry some files,Delay a meeting ,C
,,"According to the man, what happened last week?
(A) An office door would not lock.
(B) A sink was installed incorrectly.
(C) An elevator stopped working.
(D) A document was lost.",An office door would not lock.,A sink was installed incorrectly.,An elevator stopped working.,A document was lost.,C
,,"Why does the woman say, ""a piece of hardware
had to be custom made""?
(A) To justify a price
(B) To explain a delay
(C) To illustrate a product's age
(D) To express regret for a purchase
",To justify a price,To explain a delay,To illustrate a product's age,"To express regret for a purchase",B
T1_6.mp3,"All right, Let's start the meeting. How
were our clothing sales for June?
Well, sales went up three percent from last
month. But customers didn't respond as
well as usual to our big semiannual sale.
I was hoping for a five percent increase ...
Donna, why do you think the increase
was so small?
I think clothing sales weren't as strong
because the advertising budget was cut
this year. I'd like to see that money put
back into our budget.
Hmm ... Let's wait another month. If sales
are still low, we may have to increase the
advertising budget, but I prefer to wait on
that decision. ","What product are the speakers discussing?
(A) Electronics
(B) Office furniture
(C) Calendars
(D) Clothing",Electronics,Office furniture,Calendars,Clothing,D
,,"What does Donna suggest?
(A) Hiring additional staff
(B) Revising a budget
(C) Posting some photos online
(D) Reducing prices",Hiring additional staff,Revising a budget,Posting some photos online,Reducing prices,B
,,"What does the man propose?
(A) Postponing a decision
(B) Conducting a survey
(C) Developing new products
(D) Opening another location",Postponing a decision,Conducting a survey,Developing new products,Opening another location,A
T1_7.mp3,"Hello, Dan. sovou've been training with
us for a couple of months now as
your mentor, I'd like to hear how your
apprenticeship's been going.
It's been going well. I've enjoyed learning
the different techniques for metal welding,
and like seeing the finished products.
I'm glad to hear that. There're still a few
weeks left in your training program - but
you know, your work is so good that
we've decided to offer you a promotion
when your training is complete.
That's great news ! I'd be happy to be part
of the team here. ","Who most likely is the man?
(A) A manager
(B) A consultant
(C) A client
(D) A trainee ",A manager,A consultant,A client,A trainee ,D
,,"What does the woman ask the man for?
(A) Some feedback
(B) Some assistance
(C) Some references
(D) Some dates",Some feedback,Some assistance,Some references,Some dates,A
,,"What will the man receive?
(A) Extra time off
(B) A promotion
(C) Bonus pay
(D) An award",Extra time off,A promotion,Bonus pay,An award,B
T1_8.mp3,"Well, Dietrich, we're looking forward to
seeing you here in our Munich office next
Tuesday. We can't wait to see the latest
design plans for the company's new,
lightweight tablet.
Thanks, There's one feature of the
tablet that I'm especially pleased with.
Really? What is it?
This model has our best battery life ever.
It can now operate for three full days on a
single charge.
That's incredible-I'm excited to hear more
about this during your presentation. By the
way, we made a dinner reservation for
our department that evening.
Actually, my favorite singer is performing
that night.
That's OK. We' ll see you soon.","What t ype of product is being discussed?
(A) A musical instrument
(B) A kitchen appliance
(C) A power tool
(D) A tablet computer ",A musical instrument,A kitchen appliance,A power tool,"A tablet computer ",D
,,"Which product feature is the man most proud of?
(A) The battery life
(B) The color selection
(C) The sound quality
(D) The size ",The battery life,The color selection,The sound quality,The size ,A
,,"Why does the man say, ""my favorite singer is
performing that night""?
(A) To request a schedule change
(B) To explain a late arrival
(C) To decline an invitation
(D) To recommend a musician",To request a schedule change,To explain a late arrival,To decline an invitation,To recommend a musician,C
