id,tu_vung,tu_loai,phien_am,nghia
1,Accountability,n,/əˌkaʊntəˈbɪləti/,"trách nhiệm giải trình"
2,Athlete,n,/ˈæθliːt/,"vận động viên"
3,Athletics,n,/æθˈletɪks/,"điền kinh"
4,Athletic,a,/æθˈletɪk/,"thuộc điền kinh"
5,Capacity,n,/kəˈpæsəti/,"khả năng"
6,Capacitate,v,/kəˈpæsitəti/,"làm có khả năng"
7,Capacitance,n,/kəˈpæsɪtəns/,"điện dung"
8,Cement,v,/sɪ'ment/,"trát xi-măng"
9,Champion,n,/ˈtʃæmpiən/,"nhà vô địch"
10,Championship,n,/ˈtʃæmpiənʃɪp/,"chức vô địch"
11,Collaboration,n,/kəˌlæbəˈreɪʃn/,"sự cộng tác"
12,Concussion,n,/kənˈkʌʃn/,"sự chấn động"
13,Crossbar,n,/ˈkrɒsbɑːr/,"thanh ngang"
14,Defeat,v,/dɪˈfiːt/,"đánh bại"
15,Depressive,a,/dɪˈpresɪv/,"suy nhược, suy yếu"
16,Elimination,n,/ɪˌlɪmɪˈneɪʃən/,"vòng loại"
17,Engross,v,/ɪnˈɡrəʊs/,"mải mê"
18,Flexible,a,/ˈfleksəbl/,"linh hoạt"
19,Flexile,a,/'fleksil/,"dễ uốn, mềm dẻo"
20,Flexibility,n,/ˌfleksəˈbɪləti/,"tính dẻo"
21,Flextime,n,/ˈfleksitaɪm/,"thời gian làm việc linh hoạt"
22,Fortitude,n,/ˈfɔːtɪtjuːd/,"sự chịu đựng"
23,Foul,n,/faʊl/,"lỗi (thể thao)"
24,Goalie,n,/'gəʊlˌli:/,"người bắt gôn"
25,Host nation,np,/həʊst ˈneɪʃn/,"nước chủ nhà"
26,Imperceptible,a,/ˌɪmpəˈseptəbl/,"không thể cảm thấy, không thể nhận thấy"
27,Intercultural,a,/ˌɪntəˈkʌltʃərəl/,"đa văn hóa"
28,Intrinsic,a,/ɪnˈtrɪnzɪk/,"thuộc bản chất bên trong"
29,Irrefutable,a,/ˌɪrɪˈfjuːtəbl/,"không thể phản bác được"
30,Leading,a,/ˈliːdɪŋ/,"dẫn đầu"
31,Leader,n,/ˈliːdər/,"người lãnh đạo"
32,Leadership,n,/ˈliːdəʃɪp/,"khả năng lãnh đạo"
33,Leaden,a,/ˈledən/,"bằng chì, xám xịt, nặng nề"
34,Nutrient-dense,a,/ˈnjuːtriənt dens/,"giàu dinh dưỡng"
35,Close-season,n,/ˈkləʊz siːzn/,"mùa cấm săn bắt"
36,Home-made,a,/ˌhəʊm ˈmeɪd/,"nhà làm"
37,Ready-made,a,/ˌredi ˈmeɪd/,"làm sẵn"
38,Opponent,n,/əˈpəʊnənt/,"đối thủ"
39,Patron,v,/ˈpeɪtrən/,"bảo trợ"
40,Penalty,n,/ˈpenəlti/,"cú phạt đền"
41,Penalize,n,/ˈpiːnəlaɪz/,"phạt đền"
42,Physique,n,/fɪˈziːk/,"vóc người, dáng người"
43,Record-breaking,a,/ˈrekɔːd breɪkɪŋ/,"phá kỉ lục"
44,Refute,v,/rɪˈfjuːt/,"phản bác, bác bỏ"
45,Remuneration,n,/rɪˌmjuːnəˈreɪʃn/,"sự trả công"
46,Runner-up,n,/ˌrʌnər ˈʌp/,"á quân"
47,Sedentary,a,/ˈsedntri/,"tĩnh tại, ít vận động"
48,Stamina,n,/ˈstæmɪnə/,"khả năng chịu đựng"
49,Stimulation,n,/ˌstɪmjuˈleɪʃən/,"sự kích thích, sự kích động"
50,Stimulate,v,/ˈstɪmjuleɪt/,"kích thích, kích động"
51,Stimulus,n,/ˈstɪmjələs/,"tác nhân kích thích"
52,Stimulant,n,/ˈstɪmjələnt/,"chất kích thích"
53,Top-ranking,a,/ˌtɒp ˈræŋkɪŋ/,"xếp hạng cao"
54,Tournament,n,/ˈtʊənəmənt/,"giải đấu"
55,Trophy,n,/ˈtrəʊfi/,"cúp"
56,Vertical posts,np,/ ˈvɜːtɪkl/ pəʊsts/,"cột dọc"
57,Vigor,n,/ˈvɪɡər/,"sự mãnh liệt"
