id,tu_vung,tu_loai,phien_am,nghia
1,Aeolian,a,/iːˈəʊliən/,"thông gió"
2,Aeronautics,n,/ˌeərəˈnɔːtɪks/,"hàng không học"
3,Alien,n,/ˈeɪliən/,"người ngoài hành tinh"
4,Asteroid,n,/ˈæstərɔɪd/,"tiểu hành tinh"
5,Astounding,a,/əˈstaʊndɪŋ/,"kinh ngạc, sửng sốt"
6,Axial,a,/ˈæksiəl/,"thuộc trục, quanh trục"
7,Blast,n,/blɑːst/,"sự nổ"
8,Blockade,n,/blɒˈkeɪd/,"sự phong tỏa"
9,Hindrance,n,/ˈhɪndrəns/,"sự cản trở"
10,Impediment,n,/ɪmˈpedɪmənt/,"sự trở ngại"
11,Hurdle,n,/ˈhɜːdəl/,"hàng rào, rào cản"
12,Chunk,n,/tʃʌŋk/,"khúc, khoanh (gỗ...)"
13,Collision,n,/kəˈlɪʒn/,"sự va chạm"
14,Colossal,a,/kəˈlɒsl/,"khổng lồ, to lớn"
15,Enormous,a,/ɪˈnɔːməs/,"khổng lồ"
16,Gigantic,a,/dʒaɪˈɡæntɪk/,"khổng lồ"
17,Diminutive,a,/dɪˈmɪnjətɪv/,"tí hon, siêu nhỏ"
18,Comet,n,/ˈkɒmɪt/,"sao chổi"
19,Cosmic,a,/ˈkɒzmɪk/,"thuộc vũ trụ"
20,Cosmological,a,/ˌkɒzməˈlɒdʒɪkl/,"thuộc vũ trụ học"
21,Cosmonaut,n,/ˈkɒzmənɔːt/,"nhà du hành vũ trụ (người Nga)"
22,Astronaut,n,/ˈæstrənɔːt/,"nhà du hành vũ trụ (người Mỹ)"
23,Denote,v,/dɪˈnəʊt/,"biểu thị"
24,Diameter,n,/daɪˈæmɪtər/,"đường kính"
25,Equatorial,a,/ˌekwəˈtɔːriəl/,"gần xích đạo"
26,Fungi,n,/ˈfʌŋɡəs/,"nấm"
27,Galaxy,n,/ˈɡæləksi/,"thiên hà"
28,Geologic,a,/ˌdʒiːəˈlɒdʒɪkl/,"thuộc địa chất"
29,Gravitational,a,/ˌɡrævɪˈteɪʃənl/,"hút, hấp dẫn"
30,Gravitation,n,/ˌɡrævɪˈteɪʃn/,"sự hấp dẫn"
31,Gravity,n,/ˈɡrævəti/,"trọng lực"
32,Heavenly,a,/ˈhevnli/,"ở trên trời, trên thiên đường"
33,Hurtling,a,/ˈhɜːtl/,"va đụng mạnh"
34,Imperceptible,a,/ˌɪmpəˈseptəbl/,"không thể cảm thấy, không thể nhận thấy"
35,Inclination,n,/ˌɪnklɪˈneɪʃn/,"sự nghiêng"
36,Indication,n,/ˌɪndɪˈkeɪʃn/,"sự chỉ ra"
37,Latitude,n,/ˈlætɪtjuːd/,"vĩ độ"
38,Longitude,n,/ˈlɒŋɡɪtjuːd/,"kinh độ"
39,Manipulation,n,/məˌnɪpjuˈleɪʃn/,"sự lôi kéo, sự vận động"
40,Manned,a,/mænd/,"có người lái"
41,Man-made,a,/ˌmæn ˈmeɪd/,"nhân tạo"
42,Mannered,a,/ˈmænəd/,"kiểu cách, cầu kì"
43,Meridian,n,/məˈrɪdiən/,"kinh tuyến"
44,Meteorite,n,/ˈmiːtiəraɪt/,"thiên thạch"
45,Moss,n,/mɒs/,"rêu"
46,Orbital,a,/ˈɔːbɪtəl/,"thuộc quỹ đạo"
47,Orbit,n/v,/ˈɔːbɪt/,"quỹ đạo"
48,Outshine,v,/ˌaʊtˈʃaɪn/,"sáng, chiếu sáng (hơn)"
49,Perpendicular,n,/ˌpɜːpənˈdɪkjələr/,"sự vuông góc"
50,Satellite,n,/ˈsætəlaɪt/,"vệ tinh"
51,Shuttle,n,/ˈʃʌtəl/,"tàu con thoi"
52,Spacecraft,n,/ˈspeɪskrɑːft/,"con tàu vũ trụ"
53,Space-suit,n,/ˈspeɪssuːt/,"bộ quần áo vũ trụ"
54,Subsequently,adv,/ˈsʌbsɪkwəntli/,"sau đó"
55,Consequently,adv,/ˈkɒnsɪkwəntli/,"do đó, vì vậy"
56,Eloquently,adv,/ˈeləkwəntli/,"một cách hùng hồn"
57,Frequently,adv,/ˈfriːkwəntli/,"một cách thường xuyên"
58,Topographic,a,/ˌtɒpəˈɡræfɪkl/,"thuộc phép đo địa hình"
59,Variety,n,/vəˈraɪəti/,"sự đa dạng"
60,Variation,n,/ˌveəriˈeɪʃən/,"sự thay đổi"
61,Variability,n,/ˌveəriəˈbɪləti/,"tính biến động"
62,Variegation,n,/ˌveəriˈgeɪʃən/,"tình trạng có đốm màu"
63,Weightlessness,n,/ˈweɪtləsnəs/,"sự không trọng lượng"

