id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"Drastic measures should be taken to tackle the problems _____ child abuse.",involved,to involve,involving,are involving,C,Kiến thức về giản lược mệnh đề quan hệ ở thể chủ động ta dùng V_ing. Tạm dịch: Các biện pháp quyết liệt nên được thực hiện để giải quyết các vấn đề liên quan đến lạm dụng trẻ em.
2,"These new laws have laid legal grounds for _____ inefficient co operatives.",dissolving,analyzing,dividing,disarming,A,"A. dissolving /dɪˈzɒlvɪŋ/ (v-ing): giải thể, giải tán | B. analyzing /ˈænəlaɪzɪŋ/ (v-ing): phân tích | C. dividing /dɪˈvaɪdɪŋ/ (v-ing): phân chia | D. disarming /dɪsˈɑːmɪŋ/ (v-ing): làm nguôi giận. Tạm dịch: Những luật mới này tạo ra hành lang pháp lí để giải tán những hợp tác xã không hiệu quả."
3,"The charity aims to _____ food and shelter for underprivileged in the remote areas of the country.",present,assist,provide,offer,C,"A. present /'prezənt/ (v): trình bày | B. assist /ə'sɪst/ (v): hỗ trợ | C. provide /prə'vaɪd/ (v): cung cấp | D. offer /'ɑfər/ (v): đề nghị, đưa ra. Cấu trúc: provide sb with st = provide st for sb: cung cấp cho ai cái gì. Tạm dịch: Hoạt động từ thiện hướng tới cung cấp thực phẩm và nơi ở cho những người nghèo ở những khu vực hẻo lánh trong đất nước."
4,"As an ASEAN member, Vietnam has actively participated in the groups programs and has also created new _____ and cooperation mechanics.",initiatives,initiators,initiations,initiates,A,"A. initiative /ɪˈnɪʃətɪv/ (n): sáng kiến | B. initiator /ɪˈnɪʃieɪtər/ (n): người đưa ra sáng kiến | C. initiation /ɪˌnɪʃiˈeɪʃn/ (n): sự khởi xướng, sự bắt đầu | D. initiate /ɪˈnɪʃieɪt/ (v): khởi xướng. Tạm dịch: Là một thành viên của ASEAN, Việt Nam đã tham gia tích cực vào các chương trình của nhóm và đồng thời đưa ra những sáng kiến mới và hợp tác cơ khí."
5,"As soon as the supplies arrive, they will be _____ to the starving people in the _____ flooded areas.",distributed,attributed,contributed,submitted,A,A. distributed /dɪˈstrɪbjuːtid/ (v-ed): phân phát | B. attributed /əˈtrɪbjuːtid/ (v-ed): quy cho | C. contributed /kənˈtrɪbjuːtid/ (v-ed): đóng góp | D. submitted /səbˈmɪtid/ (v-ed): nộp. Tạm dịch: Ngay khi hàng cứu trợ tới chúng sẽ được phân phát tới những người đang chết đói ở những khu vực lũ lụt.
6,"""Excuse me. Where is the _____ office of OXFAM located?""",leading,head,central,summit,B,"A. leading /ˈliːdɪŋ/ (v-ing): hàng đầu | B. head /hed/ (n): đầu, chính | C. central /'sentrəl/ (a): trung tâm | D. summit /'sʌmɪt/ (n): đỉnh, chóp. Cụm từ: head office: cơ quan đầu não, trụ sở chính. Tạm dịch: Làm ơn cho hỏi trụ sở chính của OXFAM nằm ở đâu vậy?"
7,"The International Red Cross helps people in need without any discrimination based on _____ race, religion, class or political opinions.",nation,national,nationality,native,C,"A. nation /ˈneɪʃn/ (n): quốc gia | B. national /ˈnæʃnəl/ (a): thuộc quốc gia | C. nationality /ˌnæʃəˈnæləti/ (n): quốc tịch | D. native /ˈneɪtɪv/ (a): bản địa. Tạm dịch: Hội chữ thập đỏ giúp đỡ những người đang cần giúp đỡ mà không phân biệt về quốc tịch, chủng tộc, tôn giáo, tầng lớp hay quan điểm chính trị."
8,"The Government has brought _____ a new law in an effort to prevent further environmental deterioration.",in,about,up,on,A,"A. bring in: ban hành (luật) | B. bring about: gây ra, đem lại | C. bring up: nuôi nấng | D. bring on: làm cho phải bàn cãi. Tạm dịch: Chính phủ vừa ban hành luật mới với nỗ lực ngăn chặn sự suy thoái môi trường."
9,"The firefighters’ single-minded devotion to the rescue of the victims of the fire _____ was _____",respecting,respective,respectful,respectable,D,"A. respecting /rɪˈspektɪŋ/ (v-ing): tôn trọng | B. respective /rɪˈspektɪv/ (a): lần lượt, tương ứng | C. respectful /rɪˈspektfl/ (a): lễ phép | D. respectable /rɪˈspektəbəl/ (a): đáng kính trọng. Tạm dịch: Sự cống hiến tận tâm của những người lính cứu hỏa trong việc giải cứu những nạn nhân của vụ hỏa hoạn là đáng được kính trọng."
10,"The opposition will be elected into government at the next election, without a _____ of a doubt.",shade,shadow,benefit,hue,B,Cụm từ: without a shadow of doubt: không mảy may nghi ngờ gì. Tạm dịch: Đảng đối lập sẽ được bầu chọn vào chính phủ tại phiên bầu cử tới mà không có sự nghi ngờ gì.
11,"The management committee will meet several times this week to reach _____ decisions about the future of the factory.",obvious,direct,brief,sensible,D,A. obvious /ˈɒbviəs/ (a): rõ ràng | B. direct /daɪ'rekt/ (a): trực tiếp | C. brief /bri:f/ (a): nhanh | D. sensible /'sensəbəl/ (a): hợp lí. Tạm dịch: Ban Giám đốc sẽ họp một vài lần trong tuần này để đi tới quyết định hợp lí nhất về tương lai của nhà máy.
12,"It's a shame that these two plans are _____ exclusive. Implementing one will automatically rule out the other.",imperceptibly,respectively,mutually,exhaustively,C,"A. imperceptibly /ˌɪmpəˈseptəbli/ (adv): không thể cảm nhận thấy | B. respectively /rɪˈspektɪvli/ (adv): lần lượt, tương ứng | C. mutually /ˈmjuːtʃuəli/ (adv): lẫn nhau | D. exhaustively /ɪɡˈzɔːstɪvli/ (adv): toàn diện. Tạm dịch: Thật đáng tiếc khi hai kế hoạch này không hỗ trợ lẫn nhau. Tiến hành một cái sẽ tự động loại trừ đi cái còn lại."
13,"Once _____ as the World Natural Heritage by UNESCO, Phong Nha - Ke Bang National Park attracts a great number of visitors worldwide.",having recognized,recognized,recognizing,is recognized,B,"Sau once phải cộng với mệnh đề (S V O), câu này ta lược mệnh đề ở dạng bị động nên giữ lại Vp2. → | B. organized /ˈɔːɡənaɪzd/ (v-ed): được công nhận. Tạm dịch: Khi được công nhận là Di sản thiên nhiên Thế giới bởi UNESCO, công viên quốc gia Phong Nha - Kẻ Bàng thu hút số lượng lớn khách du lịch toàn thế giới."
14,"The Red Cross organizes and leads relief assistance missions after _____ such as natural disasters, man-made disasters, and epidemics.",emergent,emergencies,emergently,emergence,B,"A. emergent /ɪˈmɜːdʒənt/ (a): khẩn cấp | B. emergencies /ɪˈmɜːdʒənsi/ (n): những trường hợp khẩn cấp | C. emergently / ɪˈmɜːdʒəntli/ (a): khẩn cấp | D. emergency /ɪˈmɜːdʒənsi/ (n): trường hợp khẩn cấp. Tạm dịch: Hội Chữ thập đỏ tổ chức và dẫn dắt những sứ mệnh hỗ trợ cứu viện trong những trường hợp khẩn cấp như những thảm họa thiên nhiên, thảm họa do con người gây ra và các dịch bệnh."
15,"One of the tasks of the Red Cross is also to support local _____ care projects.",health,healthy,healthful,healthily,A,A. health /helθ/ (n): sức khỏe | B. healthy /helθi/ (a): khỏe mạnh | C. healthful /'helθfəl/ (a): lành mạnh | D. healthily /helθili/ (adv): một cách khỏe mạnh. Tạm dịch: Một trong những nhiệm vụ của Hội Chữ thập đỏ là hỗ trợ những dự án chăm sóc sức khỏe địa phương.
16,"The World Health Organization is the United Nations specialized agency for _____ health.",a,an,the,∅,D,"Không sử dụng mạo từ trước danh từ chung, không xác định. Tạm dịch: Tổ chức Y tế Thế giới là cơ quan chuyên môn về sức khỏe của Liên Hợp Quốc."
17,"One of the core tasks of the Red Cross is to organize nursing and _____ for those who are wounded on the battlefield.",care,attention,victim,catastrophe,A,"A. care /keər/ (v): quan tâm | B. attention /əˈtenʃn/ (v): chú ý | C. victim /ˈvɪktɪm/ (n): nạn nhân | D. catastrophe /kəˈtæstrəfi/ (n): thảm họa, tai ương. Tạm dịch: Một trong những nhiệm vụ cốt lõi của Hội Chữ thập đỏ là tổ chức điều dưỡng và chăm sóc cho những người bị thương trên chiến trường."
18,"The International Red Cross and Red Crescent _____ occurs once every four years.",Globe,Society,Conference,Nations,C,A. Globe /gləʊb/ (n): toàn cầu | B. Society /səˈsaɪəti/ (n): xã hội | C. Conference /ˈkɒnfərəns/ (n): hội nghị | D. Nations /ˈneɪʃn/ (n): quốc gia. Tạm dịch: Hội chữ thập đỏ quốc tế và hội nghị trăng lưỡi liềm đỏ diễn ra bốn năm một lần.
19,"The mission of the Red Cross is also to supervise the _____ of prisoners of war.",education,encouragement,treatment,runaway,C,A. education /ˌedʒuˈkeɪʃn/ (n): sự giáo dục | B. encouragement /ɪnˈkʌrɪdʒmənt/ (n): sự khuyến khích | C. treatment /ˈtriːtmənt/ (n): sự điều trị | D. runaway /ˈrʌnəweɪ/ (n): người bỏ trốn. Tạm dịch: Sứ mệnh của hội chữ thập đỏ là giám sát việc chữa trị cho các tù nhân chiến tranh.
20,"The Food and Agriculture Organization (FAO) _____ that leads international efforts to defeat hunger.",it is a specialized agency in the United Nations,as it is a specialized agency by the United Nations,is a specialized agency of the United Nations,a specialized agency of the United Nations,C,A. it is a specialized agency in the United Nations: nó là một cơ quan chuyên môn tại Liên Hợp Quốc | B. it is a specialized agency by the United Nations: nó là một cơ quan chuyên môn bởi Liên Hợp Quốc | C. is a specialized agency of the United Nations: nó là một cơ quan chuyên môn của Liên Hợp Quốc | D. a specialized agency of the United Nations: một cơ quan chuyên môn của Liên hợp quốc. Tạm dịch: Tổ chức Lương thực và Nông nghiệp (FAO) là một cơ quan chuyên môn của Liên hợp quốc dẫn đầu các nỗ lực quốc tế để đánh bại nạn đói.
21,"Established on 7 April, 1948, and headquartered in Geneva, Switzerland, the World Health Organization inherited the mandate and resources of its _____ the Health Organization.",ancestor,predecessor,father,origin,B,"A. ancestor /ˈænsestər/ (n): tổ tiên | B. predecessor /ˈpredəsesər/ (n): ông cha, người tiền nhiệm | C. father /ˈfɑːðər/ (n): cha | D. origin /ˈɒrɪdʒɪn/ (n): nguồn gốc. Tạm dịch: Được thành lập vào ngày mùng 7 tháng 4 năm 1948 và đặt trụ sở chính tại Geneva, Switzerland, Tổ chức Y tế Thế giới (WHO) kể thừa sự ủy nhiệm và các nguồn lực từ tổ chức tiền nhiệm, tổ chức sức khỏe thế giới."
22,"The WHO's constitution _____ that its objective is the attainment by all peoples of the highest possible level of health.",declares,claims,states,announces,C,A. declare /dɪˈkleər/ (v): công bố | B. claim /kleɪm/ (v): khẳng định | C. State /steɪt/ (v): tuyên bố | D. announce /əˈnaʊns/ (v): thông báo. Tạm dịch: Hiến pháp của WHO tuyên bố mục tiêu của nó là đạt được thể trạng chăm sóc sức khỏe tốt nhất cho tất cả mọi người.
23,"The _____ is a legal agreement among the ten ASEAN member states.",charter,motto,policy,principle,A,A. charter /ˈtʃɑːrtər/ (n): hiến chương | B. motto /ˈmɒtəʊ/ (n): khẩu hiệu | C. policy /ˈpɒləsi/ (n): chính sách | D. principle /ˈprɪnsəpl/ (n): nguyên tắc. Tạm dịch: Hiến chương là sự đồng thuận hợp pháp giữa mười nước thành viên của ASEAN.
24,"The WHO's major task is to combat diseases, especially key _____ diseases, and to promote the general health of the people of the world.",infectious,infection,infect,inflectional,A,"A. infectious /ɪnˈfekʃəs/ (a): truyền nhiễm | B. infection /ɪnˈfekʃn/ (n): sự truyền nhiễm | C. infect /ɪn'fek/ (v): lây nhiễm | D. inflectional /ɪn'flekʃənəl/ (a): chỗ cong. Tạm dịch: Nhiệm vụ chính của WHO là tiêu diệt những căn bệnh, đặc biệt là những bệnh truyền nhiễm và thúc đẩy tình trạng sức khỏe chung của mọi người trên thế giới."
25,"The WHO also sponsors programs to prevent and treat serious _____ such as SARS, malaria, and AIDS.",disasters,catastrophes,phenomena,epidemics,D,"A. disaster /dɪˈzɑːstər/ (n): thảm họa | B. catastrophe /kəˈtæstrəfi/ (n): tai ương, thảm họa | C. phenomena /fəˈnɒmɪnən/ (n): hiện tượng lạ | D. epidemic /ˌepɪˈdemɪk/ (n): bệnh dịch. Tạm dịch: Tổ chức WHO cũng tài trợ cho những chương trình ngăn chăn và điều trị những bệnh dịch truyền nhiễm như SARS, bệnh sốt rét và bệnh AIDS."
26,"The organization believes that immunization, which prevents the six major diseases of childhood - diphtheria, measles, poliomyelitis, tetanus, tuberculosis, and whooping cough-should be _____ to all children who need it.",prepared,concerned,interested,available,D,"A. prepared /prɪˈpeəd/ (v-ed): chuẩn bị | B. concerned /kənˈsɜːnd/ (v-ed): quan tâm | C. interested /ˈɪntrəstɪd/ (v-ed): hứng thú | D. available /əˈveɪləbl/ (a): có sẵn. Tạm dịch: Tổ chức này tin rằng tiêm chủng, ngăn ngừa sáu bệnh chính của trẻ em - bạch hầu, sởi, viêm đa cơ, uốn ván, lao và ho gà - nên có sẵn cho tất cả trẻ em cần điều trị."
27,"Not all the winners will receive great prizes, but nobody leaves _____",blank-handed,clear-handed,empty-handed,white-handed,C,"Chỉ có từ empty-handed /empti'hændɪd/ (a): ra về trắng tay Các đáp án A, B, D không có nghĩa. Tạm dịch: Không phải tất cả những người chiến thắng sẽ nhận được những giải thưởng lớn nhưng không có ai phải ra về trắng tay cả."
28,"Over the past decade, Vietnam-ASEAN _____ have been growing fast in all areas, particularly in politics and the economy.",relates,relatives,relations,relationships,C,"A. relate /rɪ'leɪt/ (v): liên quan | B. relatives /'relətɪvz/ (n): họ hàng | C. relations /rɪˈleɪʃnz/ (n): mối quan hệ (giữa hai nước, hai tổ chức) | D. relationships /rɪˈleɪʃnʃɪps/ (n): mối quan hệ. Tạm dịch: Trong thập kỷ qua, quan hệ Việt Nam-ASEAN đã phát triển nhanh chóng trong tất cả các lĩnh vực, đặc biệt là về chính trị và kinh tế."
29,"In former days, after the battles soldiers on both sides died or were left wounded on the field without any _____ attendance and basic care.",medicine,medical,medication,medically,B,"A. medicine /'medɪsən/ (n): thuốc uống, y học | B. medical /'medɪkəl/ (a): thuộc y học, y khoa | C. medication /medɪ'keiʃən/ (n): dược phẩm, sự cho thuốc | D. medically /'medɪkəli/ (adv): về mặt y học. Tạm dịch: Trước đây, sau những trận chiến, những người lính ở cả hai phe sẽ chết hoặc bị bỏ rơi trong tình trạng bị thương trên chiến trường mà không có sự can thiệp của y học hay sự chăm sóc cơ bản nào."
30,"The International Committee of the Red Cross is a private _____ institution founded in 1863 in Geneva, Switzerland.",human,humanity,humanization,humanitarian,D,"A. human /'hju:mən/ (n): con người | B. humanity /hju:'mænəti/ (n): nhân loại | C. humanization /hju:mənaɪ'zeɪʃən/ (n): sự nhân tính hoá | D. humanitarian /hju:mænɪ'teəriən/ (a): nhân đạo. Tạm dịch: Hội chữ thập đỏ quốc tế là tổ chức nhân đạo tư nhân được thành lập năm 1863 ở Geneva, Switzerland."
