id,tu_vung,tu_loai,phien_am,nghia
1,Adoption,n,/ə'dɒpʃən/,"sự nhận con nuôi"
2,Alienated,a,/'eɪliəneɪtɪd/,"bị bệnh tâm thần"
3,Amend,v,/ə'mend/,"cải thiện, sửa lại cho tốt"
4,Repair,v,/rɪ'peər/,"sửa chữa"
5,Impair,v,/ɪm'peər/,"làm hư hỏng, làm suy yếu"
6,Ancestry,n,/'ænsestri/,"dòng họ, tổ tông"
7,Ancestor,n,/'ænsestər/,"tổ tiên"
8,Anthropology,n,/ˌænθrə'pɒlədʒi/,"nhân loại học"
9,Anthropological,a,/ˌænθrə'pɒlədʒɪkəl/,"thuộc nhân loại học"
10,Automatically,adv,/ˌɔ:tə'mætɪkəli/,"một cách tự động"
11,Spontaneously,adv,/spɒn'teɪniəsli/,"một cách tự ý, tự phát"
12,Ironically,adv,/aɪ'rɒnɪkli/,"một cách trớ trêu, mỉa mai"
13,Immediately,adv,/ɪ'mi:diətli/,"ngay lập tức"
14,Bound,n,/baʊnd/,"biên giới"
15,Breadwinner,n,/'bredˌwɪnər/,"trụ cột gia đình"
16,Caring,a,/'keərɪŋ/,"quan tâm"
17,Careless,a,/'keələs/,"bất cẩn"
18,Careful,a,/'keəfəl/,"cẩn thận"
19,Celibacy,n,/'seləbəsi/,"việc không lập gia đình"
20,Child-rearing,a,/'tʃaɪldˌrɪərɪŋ/,"nuôi con"
21,Child-bearing,a,/'tʃaɪldˌbeərɪŋ/,"sinh con"
22,Collaborate,v,/kə'læbəreɪt/,"cộng tác"
23,Collaboration,n,/kəˌlæbə'reɪʃən/,"sự công tác"
24,Collaborative,a,/kə'læbərətɪv/,"có tính cộng tác"
25,Conjugal,a,/'kɒndʒʊgəl/,"thuộc vợ chồng"
26,Consanguinity,n,/ˌkɒnsæŋ'gwɪnəti/,"quan hệ máu mủ"
27,Contumacious,a,/ˌkɒntju'meɪʃəs/,"bướng bỉnh, ngang ngạnh"
28,Cooperate,v,/kəʊ'ɒpəreɪt/,"hợp tác"
29,Cooperation,n,/kəʊˌɒpə'reɪʃən/,"sự hợp tác"
30,Cooperative,a,/kəʊ'ɒpərətɪv/,"có tính hợp tác"
31,Dependent,a,/dɪ'pendənt/,"phụ thuộc"
32,Independent,a,/ˌɪndɪ'pendənt/,"không phụ thuộc, độc lập"
33,Dependable,a,/dɪ'pendəbəl/,"có thể tin cậy được"
34,Dependence,n,/dɪ'pendəns/,"sự phụ thuộc"
35,Independence,n,/ˌɪndɪ'pendəns/,"sự độc lập, tự chủ"
36,Dependant,n,/dɪ'pendənt/,"người phụ thuộc"
37,Disaffected,a,/ˌdɪsə'fektɪd/,"không bằng lòng, bất mãn"
38,Embody,v,/ɪm'bɒdi/,"hiện thân của"
39,Exogamy,n,/ɪk'sɒgəmi/,"chế độ ngoại hôn"
40,Extended family,np,/ɪkˌstendɪd 'fæməli/,"đại gia đình"
41,Nuclear family,np,/ˌnju:klɪə 'fæməli/,"gia đình hạt nhân"
42,Financial,a,/faɪ'nænʃəl/,"thuộc tài chính"
43,Financially,adv,/faɪ'nænʃəli/,"về mặt tài chính"
44,Finance,n,/'faɪnəns/,"tài chính"
45,Financier,n,/fɪ'nænsiər/,"chuyên gia tài chính"
46,Genitor,n,/'dʒenɪtə/,"cha, ba, bố (từ hiếm)"
47,Homemaker,n,/'həʊmˌmeɪkər/,"người nội trợ"
48,Illuminate,v,/ɪ'lu:mɪneɪt/,"soi sáng, tỏa sáng"
49,Insertion,n,/ɪn'sɜ:ʃən/,"sự thêm vào, sự lồng vào"
50,Integrate,v,/'ɪntɪgreɪt/,"hội nhập"
51,Integration,n,/ˌɪntɪ'greɪʃən/,"sự hội nhập"
52,Integrative,a,/'ɪntɪgreɪtɪv/,"có tính hội nhập"
53,Kinship,n,/'kɪnʃɪp/,"mối quan hệ họ hàng"
54,Laundry,n,/'lɔ:ndri/,"(tiệm) giặt ủi"
55,Lineage,n,/'lɪniɪdʒ/,"dòng dõi"
56,Matrilineal,a,/ˌmætrɪ'lɪniəl/,"theo mẫu hệ"
57,Mischievous,a,/'mɪstʃɪvəs/,"nghịch ngợm"
58,Nurture,v,/'nɜ:tʃər/,"nuôi dưỡng"
59,Obey,v,/əʊ'beɪ/,"nghe lời, vâng lời"
60,Obedient,a,/ə'bi:diənt/,"biết nghe lời"
61,Obedience,n,/ə'bi:diəns/,"sự nghe lời"
62,Offspring,n,/'ɒfsprɪŋ/,"con cái"
63,Parenthood,n,/'peərənthʊd/,"bậc cha mẹ"
64,Fatherhood,n,/'fɑ:ðəhʊd/,"bậc làm cha"
65,Motherhood,n,/'mʌðəhʊd/,"bậc làm mẹ"
66,Parents in law,n,/'peərənts ɪn lɔ:/,"bố mẹ chồng"
67,Patrilineal,a,/ˌpætrɪ'lɪniəl/,"theo phụ hệ"
68,Permanence,n,/'pɜ:mənəns/,"sự lâu dài"
69,Perpetuation,n,/pəˌpetʃu'eɪʃən/,"sự làm cho bất diệt, kéo dài mãi mãi"
70,Predominant,a,/prɪ'dɒmɪnənt/,"chiếm ưu thế, nổi bật"
71,Prioritize,v,/praɪ'ɒrɪtaɪz/,"dành ưu tiên"
72,Prior,a,/'praɪər/,"trước, bề trên"
73,Priority,n,/praɪ'ɒrəti/,"sự ưu thế, ưu tiên"
74,Response,n,/rɪ'spɒns/,"sự trả lời"
75,Respond,v,/rɪ'spɒnd/,"trả lời"
76,Responsive,a,/rɪ'spɒnsɪv/,"sẵn sàng đáp lại, đáp ứng nhiệt tình, phản ứng nhanh"
77,Security,n,/sɪ'kjʊərəti/,"sự bảo vệ, sự an toàn"
78,Secure,a,/sɪ'kjʊər/,"bảo vệ, bảo đảm"
79,Separate,v,/'sepərət/,"chia ra, phân chia"
80,Separation,n,/ˌsepə'reɪʃən/,"sự phân chia, sự chia ra"
81,Sibling,n,/'sɪblɪŋ/,"anh chị em ruột"
82,Sociology,n,/ˌsəʊsi'ɒlədʒi/,"xã hội học"
83,Stepparents,n,/'stepˌpeərənts/,"bố mẹ kế"
84,Uncomplimentary,a,/ˌʌnˌkɒmplɪ'mentəri/,"không khen ngợi"
85,Variability,n,/ˌveəriə'bɪləti/,"tính biến động"
